DBN,School Name,Year,Total Enrollment,Grade 3K,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M064,P.S. 064 Robert Simon,2018-19,223,0,19,42,32,40,29,28,33,0,0,0,0,0,0,0,93,41.7%,130,58.3%,7,3.1%,41,18.4%,159,71.3%,4,1.8%,0,0.0%,12,5.4%,0,0.0%,64,28.7%,6,2.7%,193,86.5%,89.5%
01M064,P.S. 064 Robert Simon,2019-20,236,0,34,23,44,30,41,31,33,0,0,0,0,0,0,0,107,45.3%,129,54.7%,7,3.0%,40,16.9%,174,73.7%,2,0.8%,3,1.3%,10,4.2%,0,0.0%,67,28.4%,4,1.7%,215,91.1%,91.6%
01M064,P.S. 064 Robert Simon,2020-21,220,0,18,28,24,43,32,43,32,0,0,0,0,0,0,0,97,44.1%,123,55.9%,7,3.2%,40,18.2%,160,72.7%,2,0.9%,1,0.5%,9,4.1%,1,0.5%,61,27.7%,4,1.8%,202,91.8%,90.3%
01M064,P.S. 064 Robert Simon,2021-22,215,12,15,25,24,24,41,31,43,0,0,0,0,0,0,0,99,46.0%,116,54.0%,6,2.8%,42,19.5%,159,74.0%,2,0.9%,1,0.5%,4,1.9%,1,0.5%,56,26.0%,3,1.4%,201,93.5%,86.3%
01M110,P.S. 110 Florence Nightingale,2017-18,379,0,30,64,52,55,48,57,73,0,0,0,0,0,0,0,166,43.8%,213,56.2%,64,16.9%,37,9.8%,168,44.3%,10,2.6%,1,0.3%,99,26.1%,0,0.0%,48,12.7%,14,3.7%,237,62.5%,58.0%
01M110,P.S. 110 Florence Nightingale,2018-19,372,0,34,59,66,59,52,45,57,0,0,0,0,0,0,0,168,45.2%,204,54.8%,59,15.9%,37,9.9%,168,45.2%,11,3.0%,1,0.3%,96,25.8%,0,0.0%,45,12.1%,8,2.2%,211,56.7%,59.4%
01M110,P.S. 110 Florence Nightingale,2019-20,396,0,35,68,63,74,52,54,50,0,0,0,0,0,0,0,173,43.7%,223,56.3%,64,16.2%,38,9.6%,180,45.5%,11,2.8%,2,0.5%,101,25.5%,0,0.0%,48,12.1%,10,2.5%,241,60.9%,62.7%
01M110,P.S. 110 Florence Nightingale,2020-21,373,0,26,61,63,59,63,49,52,0,0,0,0,0,0,0,160,42.9%,213,57.1%,59,15.8%,40,10.7%,163,43.7%,7,1.9%,1,0.3%,102,27.3%,1,0.3%,54,14.5%,7,1.9%,219,58.7%,65.1%
01M110,P.S. 110 Florence Nightingale,2021-22,330,0,25,51,53,54,48,51,48,0,0,0,0,0,0,0,154,46.7%,176,53.3%,40,12.1%,35,10.6%,156,47.3%,9,2.7%,1,0.3%,89,27.0%,0,0.0%,52,15.8%,7,2.1%,207,62.7%,66.3%
01M134,P.S. 134 Henrietta Szold,2017-18,297,0,20,36,27,47,52,57,58,0,0,0,0,0,0,0,131,44.1%,166,55.9%,33,11.1%,64,21.5%,182,61.3%,2,0.7%,3,1.0%,11,3.7%,2,0.7%,124,41.8%,26,8.8%,273,91.9%,90.1%
01M134,P.S. 134 Henrietta Szold,2018-19,281,0,14,43,37,35,45,53,54,0,0,0,0,0,0,0,126,44.8%,155,55.2%,27,9.6%,73,26.0%,169,60.1%,1,0.4%,2,0.7%,9,3.2%,0,0.0%,121,43.1%,24,8.5%,263,93.6%,91.6%
01M134,P.S. 134 Henrietta Szold,2019-20,245,0,10,28,43,34,35,45,50,0,0,0,0,0,0,0,116,47.3%,129,52.7%,23,9.4%,65,26.5%,146,59.6%,3,1.2%,2,0.8%,6,2.4%,0,0.0%,105,42.9%,18,7.3%,Above 95%,Above 95%,94.6%
01M134,P.S. 134 Henrietta Szold,2020-21,217,0,13,21,30,39,37,35,42,0,0,0,0,0,0,0,100,46.1%,117,53.9%,21,9.7%,57,26.3%,131,60.4%,3,1.4%,2,0.9%,3,1.4%,0,0.0%,94,43.3%,12,5.5%,206,94.9%,94.2%
01M134,P.S. 134 Henrietta Szold,2021-22,177,6,14,20,25,23,31,30,28,0,0,0,0,0,0,0,87,49.2%,90,50.8%,13,7.3%,51,28.8%,103,58.2%,5,2.8%,1,0.6%,3,1.7%,1,0.6%,67,37.9%,8,4.5%,Above 95%,Above 95%,Above 95%
01M140,P.S. 140 Nathan Straus,2017-18,371,0,18,28,29,24,24,28,29,60,65,66,0,0,0,0,182,49.1%,189,50.9%,21,5.7%,46,12.4%,292,78.7%,0,0.0%,2,0.5%,10,2.7%,0,0.0%,122,32.9%,36,9.7%,328,88.4%,91.3%
01M140,P.S. 140 Nathan Straus,2018-19,385,0,12,30,32,32,26,25,29,64,67,68,0,0,0,0,188,48.8%,197,51.2%,17,4.4%,54,14.0%,305,79.2%,0,0.0%,0,0.0%,9,2.3%,0,0.0%,145,37.7%,43,11.2%,333,86.5%,90.0%
01M140,P.S. 140 Nathan Straus,2019-20,372,0,8,26,27,31,27,30,30,67,61,65,0,0,0,0,175,47.0%,197,53.0%,11,3.0%,60,16.1%,293,78.8%,0,0.0%,1,0.3%,7,1.9%,0,0.0%,147,39.5%,27,7.3%,333,89.5%,93.3%
01M140,P.S. 140 Nathan Straus,2020-21,358,0,12,20,26,26,33,25,32,58,66,60,0,0,0,0,167,46.6%,191,53.4%,7,2.0%,76,21.2%,261,72.9%,0,0.0%,1,0.3%,13,3.6%,0,0.0%,135,37.7%,26,7.3%,340,95.0%,92.5%
01M140,P.S. 140 Nathan Straus,2021-22,340,8,8,27,24,26,25,29,22,57,50,64,0,0,0,0,157,46.2%,183,53.8%,8,2.4%,67,19.7%,246,72.4%,3,0.9%,1,0.3%,14,4.1%,1,0.3%,130,38.2%,27,7.9%,294,86.5%,91.7%
01M142,P.S. 142 Amalia Castro,2017-18,340,0,32,68,56,49,44,50,41,0,0,0,0,0,0,0,152,44.7%,188,55.3%,8,2.4%,43,12.6%,281,82.6%,0,0.0%,6,1.8%,1,0.3%,1,0.3%,127,37.4%,27,7.9%,Above 95%,Above 95%,91.1%
01M142,P.S. 142 Amalia Castro,2018-19,353,0,51,48,55,49,51,44,55,0,0,0,0,0,0,0,153,43.3%,200,56.7%,13,3.7%,55,15.6%,273,77.3%,1,0.3%,4,1.1%,5,1.4%,2,0.6%,130,36.8%,26,7.4%,Above 95%,Above 95%,91.2%
01M142,P.S. 142 Amalia Castro,2019-20,329,3,48,56,43,48,44,45,42,0,0,0,0,0,0,0,147,44.7%,182,55.3%,4,1.2%,54,16.4%,253,76.9%,2,0.6%,6,1.8%,8,2.4%,2,0.6%,110,33.4%,22,6.7%,Above 95%,Above 95%,90.2%
01M142,P.S. 142 Amalia Castro,2020-21,317,0,43,53,49,37,45,44,46,0,0,0,0,0,0,0,137,43.2%,180,56.8%,1,0.3%,57,18.0%,242,76.3%,2,0.6%,5,1.6%,7,2.2%,3,0.9%,92,29.0%,21,6.6%,301,95.0%,90.7%
01M142,P.S. 142 Amalia Castro,2021-22,330,26,34,52,51,40,42,43,42,0,0,0,0,0,0,0,155,47.0%,175,53.0%,1,0.3%,54,16.4%,251,76.1%,2,0.6%,5,1.5%,15,4.5%,2,0.6%,83,25.2%,18,5.5%,307,93.0%,89.7%
01M184,P.S. 184m Shuang Wen,2017-18,684,0,35,72,69,54,72,65,53,94,83,87,0,0,0,0,341,49.9%,343,50.1%,475,69.4%,25,3.7%,92,13.5%,35,5.1%,6,0.9%,50,7.3%,1,0.1%,113,16.5%,103,15.1%,465,68.0%,65.3%
01M184,P.S. 184m Shuang Wen,2018-19,678,0,36,63,64,64,50,65,62,101,88,85,0,0,0,0,337,49.7%,341,50.3%,468,69.0%,27,4.0%,89,13.1%,39,5.8%,3,0.4%,51,7.5%,1,0.1%,109,16.1%,99,14.6%,461,68.0%,67.2%
01M184,P.S. 184m Shuang Wen,2019-20,707,0,36,76,58,63,62,51,62,101,107,91,0,0,0,0,355,50.2%,352,49.8%,498,70.4%,24,3.4%,84,11.9%,45,6.4%,3,0.4%,52,7.4%,1,0.1%,117,16.5%,99,14.0%,469,66.3%,67.1%
01M184,P.S. 184m Shuang Wen,2020-21,721,0,36,75,71,55,61,61,51,96,104,111,0,0,0,0,351,48.7%,370,51.3%,500,69.3%,23,3.2%,83,11.5%,49,6.8%,3,0.4%,61,8.5%,2,0.3%,109,15.1%,113,15.7%,486,67.4%,65.5%
01M184,P.S. 184m Shuang Wen,2021-22,717,15,35,86,70,68,50,57,55,89,96,96,0,0,0,0,347,48.4%,370,51.6%,501,69.9%,14,2.0%,83,11.6%,56,7.8%,2,0.3%,59,8.2%,2,0.3%,105,14.6%,95,13.2%,449,62.6%,62.1%
01M188,P.S. 188 The Island School,2017-18,433,0,19,37,40,43,43,47,42,47,55,60,0,0,0,0,185,42.7%,248,57.3%,8,1.8%,127,29.3%,286,66.1%,0,0.0%,0,0.0%,12,2.8%,0,0.0%,135,31.2%,69,15.9%,399,92.1%,Above 95%
01M188,P.S. 188 The Island School,2018-19,407,0,16,24,37,32,49,39,55,48,54,53,0,0,0,0,181,44.5%,226,55.5%,6,1.5%,134,32.9%,249,61.2%,1,0.2%,2,0.5%,15,3.7%,0,0.0%,148,36.4%,30,7.4%,Above 95%,Above 95%,Above 95%
01M188,P.S. 188 The Island School,2019-20,398,0,13,29,24,50,33,50,39,55,48,57,0,0,0,0,181,45.5%,217,54.5%,11,2.8%,125,31.4%,250,62.8%,0,0.0%,3,0.8%,9,2.3%,0,0.0%,135,33.9%,39,9.8%,Above 95%,Above 95%,Above 95%
01M188,P.S. 188 The Island School,2020-21,370,0,9,19,33,29,42,36,47,46,60,49,0,0,0,0,163,44.1%,207,55.9%,14,3.8%,120,32.4%,221,59.7%,2,0.5%,2,0.5%,11,3.0%,0,0.0%,126,34.1%,33,8.9%,Above 95%,Above 95%,Above 95%
01M188,P.S. 188 The Island School,2021-22,390,14,9,31,28,37,34,41,37,59,42,58,0,0,0,0,161,41.3%,229,58.7%,16,4.1%,124,31.8%,233,59.7%,5,1.3%,4,1.0%,8,2.1%,0,0.0%,130,33.3%,41,10.5%,Above 95%,Above 95%,Above 95%
01M292,Orchard Collegiate Academy,2017-18,171,0,0,0,0,0,0,0,0,0,0,0,72,40,30,29,81,47.4%,90,52.6%,19,11.1%,43,25.1%,97,56.7%,0,0.0%,2,1.2%,8,4.7%,2,1.2%,41,24.0%,23,13.5%,157,91.8%,89.9%
01M292,Orchard Collegiate Academy,2018-19,197,0,0,0,0,0,0,0,0,0,0,0,67,70,35,25,91,46.2%,106,53.8%,19,9.6%,53,26.9%,112,56.9%,0,0.0%,5,2.5%,6,3.0%,2,1.0%,57,28.9%,23,11.7%,163,82.7%,87.5%
01M292,Orchard Collegiate Academy,2019-20,226,0,0,0,0,0,0,0,0,0,0,0,65,64,65,32,101,44.7%,125,55.3%,27,11.9%,58,25.7%,127,56.2%,0,0.0%,4,1.8%,6,2.7%,4,1.8%,65,28.8%,21,9.3%,191,84.5%,87.8%
01M292,Orchard Collegiate Academy,2020-21,296,0,0,0,0,0,0,0,0,0,0,0,108,57,66,65,143,48.3%,153,51.7%,30,10.1%,75,25.3%,174,58.8%,1,0.3%,6,2.0%,3,1.0%,7,2.4%,79,26.7%,22,7.4%,227,76.7%,83.4%
01M292,Orchard Collegiate Academy,2021-22,290,0,0,0,0,0,0,0,0,0,0,0,79,91,54,66,127,43.8%,163,56.2%,44,15.2%,68,23.4%,161,55.5%,1,0.3%,5,1.7%,6,2.1%,5,1.7%,79,27.2%,16,5.5%,230,79.3%,84.2%
01M315,The East Village Community School,2017-18,318,0,36,46,50,50,48,40,48,0,0,0,0,0,0,0,161,50.6%,157,49.4%,32,10.1%,17,5.3%,64,20.1%,21,6.6%,1,0.3%,183,57.5%,0,0.0%,56,17.6%,4,1.3%,86,27.0%,36.9%
01M315,The East Village Community School,2018-19,333,0,36,50,49,50,50,53,45,0,0,0,0,0,0,0,174,52.3%,159,47.7%,32,9.6%,15,4.5%,77,23.1%,17,5.1%,1,0.3%,191,57.4%,0,0.0%,54,16.2%,5,1.5%,94,28.2%,34.9%
01M315,The East Village Community School,2019-20,330,0,36,50,47,45,52,46,54,0,0,0,0,0,0,0,164,49.7%,166,50.3%,32,9.7%,15,4.5%,76,23.0%,18,5.5%,1,0.3%,188,57.0%,0,0.0%,59,17.9%,3,0.9%,99,30.0%,38.2%
01M315,The East Village Community School,2020-21,297,0,34,50,44,43,40,46,40,0,0,0,0,0,0,0,144,48.5%,153,51.5%,33,11.1%,12,4.0%,77,25.9%,19,6.4%,1,0.3%,155,52.2%,0,0.0%,51,17.2%,4,1.3%,98,33.0%,39.8%
01M315,The East Village Community School,2021-22,302,0,35,43,51,48,41,38,46,0,0,0,0,0,0,0,148,49.0%,154,51.0%,32,10.6%,16,5.3%,89,29.5%,27,8.9%,1,0.3%,136,45.0%,1,0.3%,55,18.2%,7,2.3%,119,39.4%,43.8%
01M332,University Neighborhood Middle School,2017-18,203,0,0,0,0,0,0,0,0,69,65,69,0,0,0,0,88,43.3%,115,56.7%,18,8.9%,47,23.2%,128,63.1%,2,1.0%,0,0.0%,8,3.9%,0,0.0%,89,43.8%,11,5.4%,180,88.7%,84.8%
01M332,University Neighborhood Middle School,2018-19,209,0,0,0,0,0,0,0,0,69,77,63,0,0,0,0,90,43.1%,119,56.9%,18,8.6%,41,19.6%,131,62.7%,2,1.0%,0,0.0%,17,8.1%,0,0.0%,94,45.0%,7,3.3%,176,84.2%,81.6%
01M332,University Neighborhood Middle School,2019-20,218,0,0,0,0,0,0,0,0,71,72,75,0,0,0,0,82,37.6%,136,62.4%,16,7.3%,43,19.7%,137,62.8%,2,0.9%,0,0.0%,20,9.2%,0,0.0%,91,41.7%,11,5.0%,181,83.0%,81.7%
01M332,University Neighborhood Middle School,2020-21,207,0,0,0,0,0,0,0,0,66,71,70,0,0,0,0,78,37.7%,129,62.3%,11,5.3%,41,19.8%,133,64.3%,0,0.0%,1,0.5%,21,10.1%,0,0.0%,90,43.5%,8,3.9%,166,80.2%,85.3%
01M332,University Neighborhood Middle School,2021-22,196,0,0,0,0,0,0,0,0,66,64,66,0,0,0,0,74,37.8%,122,62.2%,8,4.1%,41,20.9%,122,62.2%,2,1.0%,1,0.5%,22,11.2%,0,0.0%,86,43.9%,5,2.6%,157,80.1%,84.9%
01M361,The Children's Workshop School,2017-18,315,0,36,57,61,48,46,35,32,0,0,0,0,0,0,0,146,46.3%,169,53.7%,31,9.8%,29,9.2%,124,39.4%,19,6.0%,1,0.3%,111,35.2%,0,0.0%,73,23.2%,9,2.9%,144,45.7%,50.5%
01M361,The Children's Workshop School,2018-19,320,0,36,54,47,55,43,48,37,0,0,0,0,0,0,0,149,46.6%,171,53.4%,31,9.7%,33,10.3%,127,39.7%,16,5.0%,1,0.3%,112,35.0%,0,0.0%,81,25.3%,11,3.4%,157,49.1%,53.4%
01M361,The Children's Workshop School,2019-20,336,0,38,64,47,45,52,45,45,0,0,0,0,0,0,0,156,46.4%,180,53.6%,33,9.8%,35,10.4%,130,38.7%,20,6.0%,1,0.3%,116,34.5%,1,0.3%,85,25.3%,13,3.9%,159,47.3%,53.6%
01M361,The Children's Workshop School,2020-21,304,0,29,51,53,48,38,45,40,0,0,0,0,0,0,0,149,49.0%,155,51.0%,33,10.9%,30,9.9%,118,38.8%,23,7.6%,2,0.7%,97,31.9%,1,0.3%,75,24.7%,12,3.9%,160,52.6%,54.6%
01M361,The Children's Workshop School,2021-22,283,0,32,42,49,44,39,36,41,0,0,0,0,0,0,0,144,50.9%,139,49.1%,29,10.2%,31,11.0%,98,34.6%,26,9.2%,2,0.7%,97,34.3%,0,0.0%,57,20.1%,6,2.1%,137,48.4%,52.1%
01M363,Neighborhood School,2017-18,304,0,18,56,50,49,51,43,37,0,0,0,0,0,0,0,149,49.0%,155,51.0%,19,6.3%,28,9.2%,106,34.9%,8,2.6%,2,0.7%,140,46.1%,1,0.3%,69,22.7%,10,3.3%,133,43.8%,47.8%
01M363,Neighborhood School,2018-19,306,0,36,39,59,40,48,44,40,0,0,0,0,0,0,0,145,47.4%,161,52.6%,21,6.9%,27,8.8%,115,37.6%,11,3.6%,3,1.0%,129,42.2%,0,0.0%,72,23.5%,4,1.3%,126,41.2%,46.0%
01M363,Neighborhood School,2019-20,306,0,36,50,41,55,42,43,39,0,0,0,0,0,0,0,154,50.3%,152,49.7%,21,6.9%,31,10.1%,106,34.6%,25,8.2%,1,0.3%,122,39.9%,0,0.0%,67,21.9%,4,1.3%,128,41.8%,46.2%
01M363,Neighborhood School,2020-21,270,0,25,46,46,30,48,36,39,0,0,0,0,0,0,0,137,50.7%,133,49.3%,19,7.0%,32,11.9%,94,34.8%,23,8.5%,1,0.4%,101,37.4%,0,0.0%,66,24.4%,4,1.5%,121,44.8%,49.1%
01M363,Neighborhood School,2021-22,247,0,28,40,38,38,31,43,29,0,0,0,0,0,0,0,118,47.8%,129,52.2%,16,6.5%,21,8.5%,89,36.0%,24,9.7%,1,0.4%,95,38.5%,1,0.4%,60,24.3%,4,1.6%,105,42.5%,47.8%
01M364,Earth School,2017-18,355,0,35,62,53,47,55,51,52,0,0,0,0,0,0,0,161,45.4%,194,54.6%,24,6.8%,40,11.3%,139,39.2%,31,8.7%,0,0.0%,121,34.1%,0,0.0%,103,29.0%,21,5.9%,194,54.6%,55.4%
01M364,Earth School,2018-19,350,0,36,61,54,48,48,57,46,0,0,0,0,0,0,0,157,44.9%,193,55.1%,25,7.1%,38,10.9%,141,40.3%,28,8.0%,0,0.0%,118,33.7%,0,0.0%,102,29.1%,21,6.0%,198,56.6%,57.9%
01M364,Earth School,2019-20,344,0,31,61,54,51,49,45,53,0,0,0,0,0,0,0,147,42.7%,197,57.3%,18,5.2%,40,11.6%,136,39.5%,31,9.0%,0,0.0%,119,34.6%,0,0.0%,102,29.7%,12,3.5%,197,57.3%,57.2%
01M364,Earth School,2020-21,291,0,23,39,53,46,42,46,42,0,0,0,0,0,0,0,121,41.6%,170,58.4%,19,6.5%,36,12.4%,118,40.5%,33,11.3%,0,0.0%,85,29.2%,0,0.0%,85,29.2%,8,2.7%,162,55.7%,60.7%
01M364,Earth School,2021-22,239,0,24,26,30,43,36,40,40,0,0,0,0,0,0,0,106,44.4%,133,55.6%,15,6.3%,27,11.3%,107,44.8%,23,9.6%,0,0.0%,67,28.0%,0,0.0%,65,27.2%,8,3.3%,145,60.7%,65.3%
01M378,School for Global Leaders,2017-18,256,0,0,0,0,0,0,0,0,70,90,96,0,0,0,0,111,43.4%,145,56.6%,35,13.7%,70,27.3%,145,56.6%,1,0.4%,1,0.4%,4,1.6%,0,0.0%,100,39.1%,23,9.0%,212,82.8%,85.3%
01M378,School for Global Leaders,2018-19,250,0,0,0,0,0,0,0,0,63,86,101,0,0,0,0,103,41.2%,147,58.8%,32,12.8%,59,23.6%,141,56.4%,6,2.4%,2,0.8%,10,4.0%,0,0.0%,97,38.8%,25,10.0%,213,85.2%,84.9%
01M378,School for Global Leaders,2019-20,204,0,0,0,0,0,0,0,0,47,67,90,0,0,0,0,89,43.6%,115,56.4%,17,8.3%,50,24.5%,121,59.3%,4,2.0%,2,1.0%,10,4.9%,0,0.0%,83,40.7%,17,8.3%,174,85.3%,85.4%
