district,school,num_applications
Residential District 02,18K576,2
Residential District 02,19K660,3
Residential District 02,03M415,7
Residential District 02,06M348,2
Residential District 02,10X243,2
Residential District 02,03M291,154
Residential District 02,30Q445,6
Residential District 02,21K620,2
Residential District 02,14K558,8
Residential District 02,14K561,10
Residential District 02,12X684,2
Residential District 02,19K510,2
Residential District 02,25Q285,2
Residential District 02,10X353,3
Residential District 02,04M610,26
Residential District 02,28Q896,2
Residential District 02,14K614,3
Residential District 02,09X568,2
Residential District 03,02M047,7
Residential District 03,06M540,74
Residential District 03,13K499,2
Residential District 03,30Q301,16
Residential District 03,17K382,2
Residential District 03,18K637,2
Residential District 03,17K751,2
Residential District 03,09X365,3
Residential District 03,11X270,2
Residential District 03,02M546,113
Residential District 03,30Q575,3
Residential District 03,19K618,3
Residential District 03,27Q309,3
Residential District 03,07X600,3
Residential District 03,32K554,2
Residential District 03,08X367,3
Residential District 03,02M630,82
Residential District 03,11X299,2
Residential District 03,14K610,3
Residential District 03,24Q610,8
Residential District 03,30Q580,38
Residential District 03,01M696,268
Residential District 03,24Q299,228
Residential District 03,02M411,229
Residential District 03,03M479,560
Residential District 03,13K595,3
Residential District 03,10X434,3
Residential District 03,13K670,3
Residential District 03,16K455,3
Residential District 03,10X264,6
Residential District 03,11X290,3
Residential District 03,12X479,1
Residential District 03,09X260,10
Residential District 03,10X351,2
Residential District 03,09X227,2
Residential District 03,07X522,2
Residential District 03,09X324,2
Residential District 03,10X213,2
Residential District 03,12X511,2
Residential District 03,11X249,2
Residential District 03,10X439,2
Residential District 03,09X413,3
Residential District 03,11X253,2
Residential District 03,11X418,2
Residential District 03,09X412,2
Residential District 03,09X403,2
Residential District 03,12X267,2
Residential District 03,09X525,2
Residential District 03,07X527,2
Residential District 03,08X349,2
Residential District 03,09X505,2
Residential District 03,10X284,2
Residential District 03,08X269,2
Residential District 03,10X546,2
Residential District 03,11X508,2
Residential District 03,15K448,2
Residential District 03,22K555,2
Residential District 03,23K493,3
Residential District 03,13K412,3
Residential District 03,15K423,3
Residential District 03,16K498,3
Residential District 03,15K656,4
Residential District 03,13K439,2
Residential District 03,19K639,2
Residential District 03,14K449,408
Residential District 03,14K488,3
Residential District 03,13K430,564
Residential District 03,02M393,89
Residential District 03,26Q315,2
Residential District 03,31R047,2
Residential District 03,07X548,8
Residential District 03,10X442,6
Residential District 03,04M555,294
Residential District 03,02M615,37
Residential District 03,06M293,59
Residential District 03,13K674,8
Residential District 03,17K600,3
Residential District 03,09X564,3
Residential District 03,11X288,8
Residential District 03,05M362,366
Residential District 03,06M346,8
Residential District 03,07X427,2
Residential District 03,09X327,2
Residential District 03,31R450,3
Residential District 03,19K659,2
Residential District 03,10X440,2
Residential District 03,15K429,3
Residential District 03,10X549,2
Residential District 03,09X329,2
Residential District 03,32K545,2
Residential District 03,09X231,2
Residential District 03,23K644,3
Residential District 03,05M148,15
Residential District 03,12X271,2
Residential District 03,19K409,2
Residential District 03,01M450,71
Residential District 03,21K525,2
Residential District 03,14K685,2
Residential District 03,02M416,426
Residential District 03,30Q258,3
Residential District 03,04M372,15
Residential District 03,02M294,119
Residential District 03,09X250,3
Residential District 03,12X251,2
Residential District 03,02M303,53
Residential District 03,12X682,2
Residential District 03,02M288,122
Residential District 03,10X437,2
Residential District 03,10X438,2
Residential District 03,28Q440,3
Residential District 03,26Q430,3
Residential District 03,03M417,360
Residential District 03,30Q501,85
Residential District 03,05M499,48
Residential District 03,03M860,35
Residential District 03,09X517,3
Residential District 03,13K605,3
Residential District 03,02M374,23
Residential District 03,06M552,7
Residential District 03,24Q485,3
Residential District 03,07X259,2
Residential District 03,11X455,2
Residential District 03,02M534,263
Residential District 03,07X670,2
Residential District 03,08X405,2
Residential District 03,04M680,43
Residential District 03,24Q550,3
Residential District 03,11X544,3
Residential District 03,02M545,23
Residential District 03,10X565,2
Residential District 03,02M400,219
Residential District 03,06M423,3
Residential District 03,06M468,15
Residential District 03,02M420,62
Residential District 03,18K617,3
Residential District 03,03M492,54
Residential District 03,28Q690,2
Residential District 03,06M467,26
Residential District 03,05M692,598
Residential District 03,06M463,9
Residential District 03,17K546,3
Residential District 03,10X433,2
Residential District 03,09X543,3
Residential District 03,10X696,532
Residential District 03,03M494,79
Residential District 03,11X275,3
Residential District 03,02M489,83
Residential District 03,02M296,22
Residential District 03,11X509,2
Residential District 03,20K485,3
Residential District 03,28Q505,3
Residential District 03,07X500,2
Residential District 03,02M437,46
Residential District 03,02M605,25
Residential District 03,02M544,3
Residential District 03,02M407,30
Residential District 03,24Q530,3
Residential District 03,02M438,3
Residential District 03,24Q236,3
Residential District 03,10X342,2
Residential District 03,06M211,19
Residential District 03,02M529,12
Residential District 03,22K425,3
Residential District 03,14K071,2
Residential District 03,10X268,2
Residential District 03,10X374,9
Residential District 03,02M419,46
Residential District 03,02M425,15
Residential District 03,22K535,3
Residential District 03,21K559,2
Residential District 03,02M655,37
Residential District 03,08X530,2
Residential District 03,02M308,32
Residential District 03,14K586,3
Residential District 03,03M541,334
Residential District 03,02M427,6
Residential District 03,02M542,42
Residential District 03,02M392,89
Residential District 03,04M435,296
Residential District 03,02M280,21
Residential District 03,02M459,13
Residential District 03,02M439,173
Residential District 03,10X477,2
Residential District 03,01M509,6
Residential District 03,26Q435,2
Residential District 03,29Q492,2
Residential District 03,17K590,2
Residential District 03,12X248,3
Residential District 03,24Q520,3
Residential District 03,22K405,7
Residential District 03,08X312,3
Residential District 03,15K684,8
Residential District 03,02M418,493
Residential District 03,09X252,2
Residential District 03,05M304,30
Residential District 03,12X242,2
Residential District 03,07X473,2
Residential District 03,02M432,15
Residential District 03,02M520,6
Residential District 03,02M412,337
Residential District 03,02M414,285
Residential District 03,02M376,351
Residential District 03,02M543,49
Residential District 03,09X350,2
Residential District 03,01M539,356
Residential District 03,20K445,3
Residential District 03,11X513,1
Residential District 03,24Q455,2
Residential District 03,01M292,10
Residential District 03,02M298,152
Residential District 03,04M495,172
Residential District 03,15K464,2
Residential District 03,17K122,3
Residential District 03,08X320,2
Residential District 03,11X542,2
Residential District 03,02M408,59
Residential District 03,27Q302,3
Residential District 03,28Q687,340
Residential District 03,24Q600,4
Residential District 03,02M422,78
Residential District 03,31R600,2
Residential District 03,08X293,2
Residential District 03,02M531,15
Residential District 03,02M580,8
Residential District 03,10X141,2
Residential District 03,24Q560,3
Residential District 03,27Q308,2
Residential District 03,27Q323,2
Residential District 03,02M413,142
Residential District 03,13K419,3
Residential District 03,17K543,2
Residential District 03,07X221,3
Residential District 03,03M859,43
Residential District 03,31R605,305
Residential District 03,02M139,38
Residential District 03,02M475,549
Residential District 03,15K667,2
Residential District 03,02M519,44
Residential District 03,32K552,2
Residential District 03,15K497,2
Residential District 03,10X445,608
Residential District 03,11X514,2
Residential District 03,16K688,2
Residential District 03,12X478,3
Residential District 03,02M260,430
Residential District 03,06M462,16
Residential District 03,03M403,89
Residential District 03,02M399,10
Residential District 03,14K478,3
Residential District 03,02M600,48
Residential District 03,07X223,2
Residential District 03,10X237,2
Residential District 03,03M299,23
Residential District 03,07X551,2
Residential District 03,19K764,2
Residential District 03,02M135,7
Residential District 03,05M157,8
Residential District 03,03M402,56
Residential District 03,13K483,3
Residential District 03,14K454,3
Residential District 03,10X225,2
Residential District 03,28Q620,3
Residential District 03,05M670,29
Residential District 03,25Q525,37
Residential District 03,19K615,3
Residential District 03,02M533,22
Residential District 03,02M500,14
Residential District 03,07X495,9
Residential District 03,01M448,33
Residential District 03,18K642,3
Residential District 03,02M305,27
Residential District 03,02M507,131
Residential District 03,13K527,2
Residential District 03,02M282,23
Residential District 03,02M551,18
Residential District 03,09X241,2
Residential District 03,03M307,46
Residential District 03,13K350,3
Residential District 03,05M369,30
Residential District 03,02M316,11
Residential District 03,02M300,17
Residential District 03,09X263,1
Residential District 03,02M449,73
Residential District 03,03M415,21
Residential District 03,06M348,8
Residential District 03,10X243,2
Residential District 03,03M291,370
Residential District 03,08X558,2
Residential District 03,30Q445,3
Residential District 03,14K558,4
Residential District 03,12X684,2
Residential District 03,08X282,2
Residential District 03,10X353,3
Residential District 03,04M610,33
Residential District 03,14K614,3
Residential District 03,09X568,2
Residential District 04,02M047,30
Residential District 04,06M540,93
Residential District 04,21K410,3
Residential District 04,30Q301,12
Residential District 04,17K382,2
Residential District 04,09X365,2
Residential District 04,02M546,146
Residential District 04,24Q264,3
Residential District 04,19K618,3
Residential District 04,07X600,6
Residential District 04,32K554,2
Residential District 04,08X376,2
Residential District 04,08X367,3
Residential District 04,02M630,65
Residential District 04,14K610,3
Residential District 04,24Q610,7
Residential District 04,30Q580,7
Residential District 04,01M696,59
Residential District 04,24Q299,22
Residential District 04,02M411,119
Residential District 04,03M479,111
Residential District 04,13K595,3
Residential District 04,10X434,3
Residential District 04,13K670,3
Residential District 04,29Q313,3
Residential District 04,10X264,8
Residential District 04,11X290,3
Residential District 04,12X479,1
Residential District 04,09X260,14
Residential District 04,09X227,2
Residential District 04,07X522,2
Residential District 04,09X324,2
Residential District 04,12X511,2
Residential District 04,11X249,2
Residential District 04,10X439,2
Residential District 04,09X413,8
Residential District 04,11X253,2
Residential District 04,11X418,2
Residential District 04,09X412,2
Residential District 04,09X403,2
Residential District 04,11X265,2
Residential District 04,12X267,12
Residential District 04,09X525,2
Residential District 04,07X527,8
Residential District 04,08X349,2
Residential District 04,09X505,10
Residential District 04,10X284,2
Residential District 04,08X269,6
Residential District 04,10X546,6
Residential District 04,11X508,2
Residential District 04,15K448,2
Residential District 04,13K412,3
Residential District 04,18K566,2
Residential District 04,16K498,3
Residential District 04,15K656,4
Residential District 04,17K745,3
Residential District 04,14K449,155
Residential District 04,14K488,3
Residential District 04,13K430,177
Residential District 04,18K567,2
Residential District 04,02M393,112
Residential District 04,07X548,21
Residential District 04,10X442,2
Residential District 04,04M555,449
Residential District 04,02M615,61
Residential District 04,06M293,42
Residential District 04,13K674,4
Residential District 04,09X564,3
Residential District 04,11X288,7
Residential District 04,05M362,129
Residential District 04,06M346,3
Residential District 04,07X427,6
Residential District 04,09X327,2
Residential District 04,10X524,2
Residential District 04,10X440,2
Residential District 04,09X329,2
Residential District 04,09X231,2
Residential District 04,23K644,2
Residential District 04,29Q327,2
Residential District 04,05M148,24
Residential District 04,12X271,2
Residential District 04,19K409,2
Residential District 04,01M450,92
Residential District 04,14K477,2
Residential District 04,21K525,2
Residential District 04,14K685,2
Residential District 04,02M416,201
Residential District 04,30Q258,6
Residential District 04,04M372,130
Residential District 04,02M294,145
Residential District 04,12X251,2
Residential District 04,19K502,2
Residential District 04,02M303,42
Residential District 04,12X682,2
Residential District 04,02M288,119
Residential District 04,10X437,7
Residential District 04,10X438,2
Residential District 04,28Q440,3
Residential District 04,26Q430,3
Residential District 04,03M417,97
Residential District 04,30Q501,22
Residential District 04,20K505,2
Residential District 04,05M499,81
Residential District 04,03M860,50
Residential District 04,09X517,3
Residential District 04,13K594,2
Residential District 04,02M374,23
Residential District 04,06M552,4
Residential District 04,24Q485,3
Residential District 04,07X259,11
Residential District 04,11X455,8
Residential District 04,02M534,171
Residential District 04,07X670,12
Residential District 04,08X405,2
Residential District 04,04M680,187
Residential District 04,24Q550,3
Residential District 04,19K504,2
Residential District 04,27Q650,3
Residential District 04,11X544,3
Residential District 04,02M545,22
Residential District 04,10X565,2
Residential District 04,02M400,94
Residential District 04,06M423,3
Residential District 04,06M468,15
Residential District 04,02M420,95
Residential District 04,18K617,3
Residential District 04,03M492,52
Residential District 04,06M467,24
Residential District 04,05M692,194
Residential District 04,06M463,8
Residential District 04,17K546,2
Residential District 04,10X433,2
Residential District 04,09X543,3
Residential District 04,10X696,180
Residential District 04,24Q267,2
Residential District 04,03M494,74
Residential District 04,02M489,77
Residential District 04,02M296,35
Residential District 04,28Q505,3
