,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 Seats Available - Notes
59130,13,13K499,ACORN Community High School,Residential District 21,,s,s,
59131,13,13K499,ACORN Community High School,Residential District 22,,30,s,
59132,13,13K499,ACORN Community High School,Residential District 23,,43,s,
59133,13,13K499,ACORN Community High School,Residential District 24,,6,s,
59134,13,13K499,ACORN Community High School,Residential District 27,,s,s,
59135,13,13K499,ACORN Community High School,Residential District 29,,s,s,
59136,13,13K499,ACORN Community High School,Residential District 30,,s,s,
59137,13,13K499,ACORN Community High School,Residential District 32,,19,s,
59138,13,13K499,ACORN Community High School,Residential District Unknown,,s,s,
83658,21,21K410,Abraham Lincoln High School,Residential District 01,,s,s,
83659,21,21K410,Abraham Lincoln High School,Residential District 02,,s,s,
83660,21,21K410,Abraham Lincoln High School,Residential District 04,,s,s,
83661,21,21K410,Abraham Lincoln High School,Residential District 06,,s,s,
83662,21,21K410,Abraham Lincoln High School,Residential District 09,,s,s,
83663,21,21K410,Abraham Lincoln High School,Residential District 10,,s,s,
83664,21,21K410,Abraham Lincoln High School,Residential District 13,,49,13,
83665,21,21K410,Abraham Lincoln High School,Residential District 14,,20,s,
83666,21,21K410,Abraham Lincoln High School,Residential District 15,,103,22,
83667,21,21K410,Abraham Lincoln High School,Residential District 16,,50,9,
83668,21,21K410,Abraham Lincoln High School,Residential District 17,,187,56,
83669,21,21K410,Abraham Lincoln High School,Residential District 18,,229,73,
83670,21,21K410,Abraham Lincoln High School,Residential District 19,,224,53,
83671,21,21K410,Abraham Lincoln High School,Residential District 20,,182,45,
83672,21,21K410,Abraham Lincoln High School,Residential District 21,,431,225,
83673,21,21K410,Abraham Lincoln High School,Residential District 22,,547,193,
83674,21,21K410,Abraham Lincoln High School,Residential District 23,,96,21,
83675,21,21K410,Abraham Lincoln High School,Residential District 24,,s,s,
83676,21,21K410,Abraham Lincoln High School,Residential District 27,,s,s,
83677,21,21K410,Abraham Lincoln High School,Residential District 28,,s,s,
83678,21,21K410,Abraham Lincoln High School,Residential District 29,,7,s,
83679,21,21K410,Abraham Lincoln High School,Residential District 31,,s,s,
83680,21,21K410,Abraham Lincoln High School,Residential District 32,,40,6,
83681,21,21K410,Abraham Lincoln High School,Residential District Unknown,,s,s,
115220,30,30Q301,Academy for Careers in Television and Film,Residential District 01,,6,s,
115221,30,30Q301,Academy for Careers in Television and Film,Residential District 02,,63,s,
115222,30,30Q301,Academy for Careers in Television and Film,Residential District 03,,16,s,
115223,30,30Q301,Academy for Careers in Television and Film,Residential District 04,,12,s,
115224,30,30Q301,Academy for Careers in Television and Film,Residential District 05,,6,s,
115225,30,30Q301,Academy for Careers in Television and Film,Residential District 06,,10,s,
115226,30,30Q301,Academy for Careers in Television and Film,Residential District 07,,9,s,
115227,30,30Q301,Academy for Careers in Television and Film,Residential District 08,,12,s,
115228,30,30Q301,Academy for Careers in Television and Film,Residential District 09,,15,s,
115229,30,30Q301,Academy for Careers in Television and Film,Residential District 10,,16,s,
115230,30,30Q301,Academy for Careers in Television and Film,Residential District 11,,18,s,
115231,30,30Q301,Academy for Careers in Television and Film,Residential District 12,,6,s,
115232,30,30Q301,Academy for Careers in Television and Film,Residential District 13,,37,s,
115233,30,30Q301,Academy for Careers in Television and Film,Residential District 14,,69,6,
115234,30,30Q301,Academy for Careers in Television and Film,Residential District 15,,32,s,
115235,30,30Q301,Academy for Careers in Television and Film,Residential District 16,,16,s,
115236,30,30Q301,Academy for Careers in Television and Film,Residential District 17,,16,s,
115237,30,30Q301,Academy for Careers in Television and Film,Residential District 18,,10,s,
115238,30,30Q301,Academy for Careers in Television and Film,Residential District 19,,62,s,
115239,30,30Q301,Academy for Careers in Television and Film,Residential District 20,,6,s,
115240,30,30Q301,Academy for Careers in Television and Film,Residential District 21,,s,s,
115241,30,30Q301,Academy for Careers in Television and Film,Residential District 22,,9,s,
115242,30,30Q301,Academy for Careers in Television and Film,Residential District 23,,15,s,
115243,30,30Q301,Academy for Careers in Television and Film,Residential District 24,,575,44,
115244,30,30Q301,Academy for Careers in Television and Film,Residential District 25,,86,8,
115245,30,30Q301,Academy for Careers in Television and Film,Residential District 26,,26,s,
115246,30,30Q301,Academy for Careers in Television and Film,Residential District 27,,133,7,
115247,30,30Q301,Academy for Careers in Television and Film,Residential District 28,,80,s,
115248,30,30Q301,Academy for Careers in Television and Film,Residential District 29,,103,s,
115249,30,30Q301,Academy for Careers in Television and Film,Residential District 30,,723,55,
115250,30,30Q301,Academy for Careers in Television and Film,Residential District 31,,s,s,
115251,30,30Q301,Academy for Careers in Television and Film,Residential District 32,,19,s,
115252,30,30Q301,Academy for Careers in Television and Film,Residential District Unknown,,s,s,
70728,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 02,,s,s,
70729,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 03,,s,s,
70730,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 04,,s,s,
70731,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 05,,s,s,
70732,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 07,,s,s,
70733,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 08,,s,s,
70734,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 09,,s,s,
70735,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 10,,7,s,
70736,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 11,,6,s,
70737,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 12,,s,s,
70738,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 13,,7,s,
70739,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 14,,s,s,
70740,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 15,,24,s,
70741,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 16,,8,s,
70742,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 17,,84,25,
70743,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 18,,46,10,
70744,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 19,,27,s,
70745,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 20,,18,s,
70746,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 21,,14,s,
70747,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 22,,78,18,
70748,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 23,,22,s,
70749,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 24,,6,s,
70750,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 27,,10,s,
70751,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 28,,s,s,
70752,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 29,,s,s,
70753,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 30,,s,s,
70754,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 31,,s,s,
70755,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 32,,s,s,
70756,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District Unknown,,s,s,
75041,18,18K637,Academy for Conservation and the Environment,Residential District 01,,s,s,
75042,18,18K637,Academy for Conservation and the Environment,Residential District 02,,s,s,
75043,18,18K637,Academy for Conservation and the Environment,Residential District 03,,s,s,
75044,18,18K637,Academy for Conservation and the Environment,Residential District 09,,s,s,
75045,18,18K637,Academy for Conservation and the Environment,Residential District 10,,s,s,
75046,18,18K637,Academy for Conservation and the Environment,Residential District 11,,s,s,
75047,18,18K637,Academy for Conservation and the Environment,Residential District 12,,s,s,
75048,18,18K637,Academy for Conservation and the Environment,Residential District 13,,10,s,
75049,18,18K637,Academy for Conservation and the Environment,Residential District 14,,s,s,
75050,18,18K637,Academy for Conservation and the Environment,Residential District 15,,8,s,
75051,18,18K637,Academy for Conservation and the Environment,Residential District 16,,23,s,
75052,18,18K637,Academy for Conservation and the Environment,Residential District 17,,62,s,
75053,18,18K637,Academy for Conservation and the Environment,Residential District 18,,148,53,
75054,18,18K637,Academy for Conservation and the Environment,Residential District 19,,84,12,
75055,18,18K637,Academy for Conservation and the Environment,Residential District 20,,10,s,
75056,18,18K637,Academy for Conservation and the Environment,Residential District 21,,20,s,
75057,18,18K637,Academy for Conservation and the Environment,Residential District 22,,153,111,
75058,18,18K637,Academy for Conservation and the Environment,Residential District 23,,61,s,
75059,18,18K637,Academy for Conservation and the Environment,Residential District 24,,s,s,
75060,18,18K637,Academy for Conservation and the Environment,Residential District 27,,13,s,
75061,18,18K637,Academy for Conservation and the Environment,Residential District 28,,s,s,
75062,18,18K637,Academy for Conservation and the Environment,Residential District 29,,7,s,
75063,18,18K637,Academy for Conservation and the Environment,Residential District 30,,s,s,
75064,18,18K637,Academy for Conservation and the Environment,Residential District 32,,16,s,
121706,32,32K403,Academy for Environmental Leadership,Residential District 02,,s,s,
121707,32,32K403,Academy for Environmental Leadership,Residential District 05,,s,s,
121708,32,32K403,Academy for Environmental Leadership,Residential District 08,,s,s,
121709,32,32K403,Academy for Environmental Leadership,Residential District 09,,s,s,
121710,32,32K403,Academy for Environmental Leadership,Residential District 10,,s,s,
121711,32,32K403,Academy for Environmental Leadership,Residential District 11,,s,s,
121712,32,32K403,Academy for Environmental Leadership,Residential District 12,,s,s,
121713,32,32K403,Academy for Environmental Leadership,Residential District 13,,10,s,
121714,32,32K403,Academy for Environmental Leadership,Residential District 14,,15,s,
121715,32,32K403,Academy for Environmental Leadership,Residential District 15,,s,s,
121716,32,32K403,Academy for Environmental Leadership,Residential District 16,,18,s,
121717,32,32K403,Academy for Environmental Leadership,Residential District 17,,7,s,
121718,32,32K403,Academy for Environmental Leadership,Residential District 18,,6,s,
121719,32,32K403,Academy for Environmental Leadership,Residential District 19,,45,s,
121720,32,32K403,Academy for Environmental Leadership,Residential District 20,,s,s,
121721,32,32K403,Academy for Environmental Leadership,Residential District 22,,s,s,
121722,32,32K403,Academy for Environmental Leadership,Residential District 23,,29,s,
121723,32,32K403,Academy for Environmental Leadership,Residential District 24,,68,14,
121724,32,32K403,Academy for Environmental Leadership,Residential District 25,,s,s,
121725,32,32K403,Academy for Environmental Leadership,Residential District 26,,s,s,
121726,32,32K403,Academy for Environmental Leadership,Residential District 27,,11,s,
121727,32,32K403,Academy for Environmental Leadership,Residential District 28,,s,s,
121728,32,32K403,Academy for Environmental Leadership,Residential District 29,,s,s,
121729,32,32K403,Academy for Environmental Leadership,Residential District 30,,s,s,
121730,32,32K403,Academy for Environmental Leadership,Residential District 32,,129,31,
72597,17,17K751,Academy for Health Careers,Residential District 01,,s,s,
72598,17,17K751,Academy for Health Careers,Residential District 02,,s,s,
72599,17,17K751,Academy for Health Careers,Residential District 03,,s,s,
72600,17,17K751,Academy for Health Careers,Residential District 05,,s,s,
72601,17,17K751,Academy for Health Careers,Residential District 07,,s,s,
72602,17,17K751,Academy for Health Careers,Residential District 08,,7,s,
72603,17,17K751,Academy for Health Careers,Residential District 09,,s,s,
72604,17,17K751,Academy for Health Careers,Residential District 10,,7,s,
72605,17,17K751,Academy for Health Careers,Residential District 11,,11,s,
72606,17,17K751,Academy for Health Careers,Residential District 12,,s,s,
72607,17,17K751,Academy for Health Careers,Residential District 13,,40,7,
72608,17,17K751,Academy for Health Careers,Residential District 14,,15,s,
72609,17,17K751,Academy for Health Careers,Residential District 15,,11,s,
72610,17,17K751,Academy for Health Careers,Residential District 16,,62,s,
72611,17,17K751,Academy for Health Careers,Residential District 17,,151,31,
72612,17,17K751,Academy for Health Careers,Residential District 18,,101,9,
72613,17,17K751,Academy for Health Careers,Residential District 19,,128,8,
72614,17,17K751,Academy for Health Careers,Residential District 20,,10,s,
72615,17,17K751,Academy for Health Careers,Residential District 21,,8,s,
72616,17,17K751,Academy for Health Careers,Residential District 22,,71,6,
72617,17,17K751,Academy for Health Careers,Residential District 23,,78,7,
72618,17,17K751,Academy for Health Careers,Residential District 24,,31,s,
72619,17,17K751,Academy for Health Careers,Residential District 25,,s,s,
72620,17,17K751,Academy for Health Careers,Residential District 27,,34,s,
72621,17,17K751,Academy for Health Careers,Residential District 28,,s,s,
72622,17,17K751,Academy for Health Careers,Residential District 29,,11,s,
72623,17,17K751,Academy for Health Careers,Residential District 30,,s,s,
72624,17,17K751,Academy for Health Careers,Residential District 31,,8,s,
72625,17,17K751,Academy for Health Careers,Residential District 32,,33,s,
72626,17,17K751,Academy for Health Careers,Residential District Unknown,,s,s,
42905,9,09X365,Academy for Language and Technology,Residential District 01,,s,s,
42906,9,09X365,Academy for Language and Technology,Residential District 02,,s,s,
42907,9,09X365,Academy for Language and Technology,Residential District 03,,s,s,
42908,9,09X365,Academy for Language and Technology,Residential District 04,,s,s,
42909,9,09X365,Academy for Language and Technology,Residential District 05,,9,s,
42910,9,09X365,Academy for Language and Technology,Residential District 06,,33,s,
42911,9,09X365,Academy for Language and Technology,Residential District 07,,85,s,
42912,9,09X365,Academy for Language and Technology,Residential District 08,,58,6,
42913,9,09X365,Academy for Language and Technology,Residential District 09,,313,12,
42914,9,09X365,Academy for Language and Technology,Residential District 10,,334,27,
42915,9,09X365,Academy for Language and Technology,Residential District 11,,61,s,
42916,9,09X365,Academy for Language and Technology,Residential District 12,,85,s,
42917,9,09X365,Academy for Language and Technology,Residential District 13,,s,s,
42918,9,09X365,Academy for Language and Technology,Residential District 19,,s,s,
42919,9,09X365,Academy for Language and Technology,Residential District 22,,s,s,
42920,9,09X365,Academy for Language and Technology,Residential District 23,,6,s,
42921,9,09X365,Academy for Language and Technology,Residential District 24,,s,s,
42922,9,09X365,Academy for Language and Technology,Residential District 25,,s,s,
42923,9,09X365,Academy for Language and Technology,Residential District 27,,s,s,
42924,9,09X365,Academy for Language and Technology,Residential District 32,,s,s,
42925,9,09X365,Academy for Language and Technology,Residential District Unknown,,s,s,
51874,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 01,,s,s,
51875,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 02,,s,s,
51876,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 03,,s,s,
51877,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 05,,s,s,
51878,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 07,,12,s,
51879,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 08,,19,s,
51880,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 09,,22,s,
51881,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 10,,38,6,
51882,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 11,,270,91,
51883,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 12,,25,s,
51884,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 13,,s,s,
51885,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 15,,s,s,
51886,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 16,,s,s,
51887,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 18,,s,s,
51888,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 19,,s,s,
51889,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 20,,s,s,
51890,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 22,,s,s,
51891,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 24,,s,s,
51892,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 25,,s,s,
51893,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 27,,s,s,
51894,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 28,,s,s,
51895,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 29,,s,s,
51896,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 30,,s,s,
51897,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District Unknown,,s,s,
18336,2,02M546,Academy for Software Engineering,Residential District 01,,106,12,
18337,2,02M546,Academy for Software Engineering,Residential District 02,,296,27,
18338,2,02M546,Academy for Software Engineering,Residential District 03,,113,9,
18339,2,02M546,Academy for Software Engineering,Residential District 04,,146,13,
18340,2,02M546,Academy for Software Engineering,Residential District 05,,129,10,
18341,2,02M546,Academy for Software Engineering,Residential District 06,,272,24,
18342,2,02M546,Academy for Software Engineering,Residential District 07,,106,s,
18343,2,02M546,Academy for Software Engineering,Residential District 08,,129,s,
18344,2,02M546,Academy for Software Engineering,Residential District 09,,203,s,
18345,2,02M546,Academy for Software Engineering,Residential District 10,,217,s,
18346,2,02M546,Academy for Software Engineering,Residential District 11,,165,s,
18347,2,02M546,Academy for Software Engineering,Residential District 12,,107,s,
18348,2,02M546,Academy for Software Engineering,Residential District 13,,43,s,
18349,2,02M546,Academy for Software Engineering,Residential District 14,,45,s,
18350,2,02M546,Academy for Software Engineering,Residential District 15,,86,s,
18351,2,02M546,Academy for Software Engineering,Residential District 16,,40,s,
18352,2,02M546,Academy for Software Engineering,Residential District 17,,71,s,
18353,2,02M546,Academy for Software Engineering,Residential District 18,,38,s,
18354,2,02M546,Academy for Software Engineering,Residential District 19,,109,s,
18355,2,02M546,Academy for Software Engineering,Residential District 20,,37,s,
18356,2,02M546,Academy for Software Engineering,Residential District 21,,24,s,
18357,2,02M546,Academy for Software Engineering,Residential District 22,,48,s,
18358,2,02M546,Academy for Software Engineering,Residential District 23,,44,s,
18359,2,02M546,Academy for Software Engineering,Residential District 24,,181,s,
18360,2,02M546,Academy for Software Engineering,Residential District 25,,21,s,
18361,2,02M546,Academy for Software Engineering,Residential District 26,,s,s,
18362,2,02M546,Academy for Software Engineering,Residential District 27,,78,s,
18363,2,02M546,Academy for Software Engineering,Residential District 28,,28,s,
18364,2,02M546,Academy for Software Engineering,Residential District 29,,28,s,
18365,2,02M546,Academy for Software Engineering,Residential District 30,,242,s,
18366,2,02M546,Academy for Software Engineering,Residential District 31,,19,s,
18367,2,02M546,Academy for Software Engineering,Residential District 32,,63,s,
18368,2,02M546,Academy for Software Engineering,Residential District Unknown,,6,s,
76140,19,19K404,Academy for Young Writers,Residential District 01,,s,s,
76141,19,19K404,Academy for Young Writers,Residential District 02,,s,s,
76142,19,19K404,Academy for Young Writers,Residential District 05,,s,s,
76143,19,19K404,Academy for Young Writers,Residential District 08,,s,s,
76144,19,19K404,Academy for Young Writers,Residential District 09,,s,s,
76145,19,19K404,Academy for Young Writers,Residential District 10,,s,s,
76146,19,19K404,Academy for Young Writers,Residential District 11,,6,s,
76147,19,19K404,Academy for Young Writers,Residential District 12,,s,s,
76148,19,19K404,Academy for Young Writers,Residential District 13,,14,s,
76149,19,19K404,Academy for Young Writers,Residential District 14,,16,s,
76150,19,19K404,Academy for Young Writers,Residential District 15,,9,s,
76151,19,19K404,Academy for Young Writers,Residential District 16,,28,7,
76152,19,19K404,Academy for Young Writers,Residential District 17,,67,10,
76153,19,19K404,Academy for Young Writers,Residential District 18,,65,8,
76154,19,19K404,Academy for Young Writers,Residential District 19,,396,74,
76155,19,19K404,Academy for Young Writers,Residential District 20,,6,s,
76156,19,19K404,Academy for Young Writers,Residential District 21,,16,s,
76157,19,19K404,Academy for Young Writers,Residential District 22,,39,s,
76158,19,19K404,Academy for Young Writers,Residential District 23,,74,6,
76159,19,19K404,Academy for Young Writers,Residential District 24,,15,s,
76160,19,19K404,Academy for Young Writers,Residential District 25,,s,s,
76161,19,19K404,Academy for Young Writers,Residential District 26,,s,s,
76162,19,19K404,Academy for Young Writers,Residential District 27,,59,7,
76163,19,19K404,Academy for Young Writers,Residential District 28,,13,s,
76164,19,19K404,Academy for Young Writers,Residential District 29,,14,s,
76165,19,19K404,Academy for Young Writers,Residential District 30,,s,s,
76166,19,19K404,Academy for Young Writers,Residential District 31,,s,s,
76167,19,19K404,Academy for Young Writers,Residential District 32,,24,s,
116293,30,30Q575,Academy of American Studies,Residential District 01,,6,s,
116294,30,30Q575,Academy of American Studies,Residential District 02,,14,s,
116295,30,30Q575,Academy of American Studies,Residential District 03,,s,s,
116296,30,30Q575,Academy of American Studies,Residential District 05,,s,s,
116297,30,30Q575,Academy of American Studies,Residential District 06,,s,s,
116298,30,30Q575,Academy of American Studies,Residential District 07,,s,s,
116299,30,30Q575,Academy of American Studies,Residential District 08,,11,s,
116300,30,30Q575,Academy of American Studies,Residential District 09,,8,s,
116301,30,30Q575,Academy of American Studies,Residential District 10,,7,s,
116302,30,30Q575,Academy of American Studies,Residential District 11,,11,s,
116303,30,30Q575,Academy of American Studies,Residential District 12,,s,s,
116304,30,30Q575,Academy of American Studies,Residential District 13,,s,s,
116305,30,30Q575,Academy of American Studies,Residential District 14,,20,s,
116306,30,30Q575,Academy of American Studies,Residential District 15,,6,s,
116307,30,30Q575,Academy of American Studies,Residential District 16,,s,s,
116308,30,30Q575,Academy of American Studies,Residential District 18,,s,s,
116309,30,30Q575,Academy of American Studies,Residential District 19,,14,s,
116310,30,30Q575,Academy of American Studies,Residential District 20,,s,s,
116311,30,30Q575,Academy of American Studies,Residential District 21,,s,s,
116312,30,30Q575,Academy of American Studies,Residential District 22,,s,s,
116313,30,30Q575,Academy of American Studies,Residential District 23,,s,s,
116314,30,30Q575,Academy of American Studies,Residential District 24,,852,56,
116315,30,30Q575,Academy of American Studies,Residential District 25,,69,s,
116316,30,30Q575,Academy of American Studies,Residential District 26,,35,s,
116317,30,30Q575,Academy of American Studies,Residential District 27,,91,s,
116318,30,30Q575,Academy of American Studies,Residential District 28,,110,13,
