,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 True Applicants,Grade 9 Seats Available - Notes,max_offers_and_seats
98142,26,26Q415,Benjamin N. Cardozo High School,All Students,669,4164,886,1710,,886
67295,16,16K455,Boys and Girls High School,All Students,285,715,140,94,,285
44922,10,10X264,Bronx Academy for Software Engineering (BASE),All Students,108,1340,151,228,,151
50563,11,11X290,Bronx Academy of Health Careers,All Students,108,854,95,95,,108
51933,11,11X545,Bronx Aerospace High School,All Students,189,408,54,54,,189
38639,8,08X537,Bronx Arena High School,All Students,10,52,4,5,,10
38381,8,08X432,Bronx Bridges High School,All Students,81,429,60,68,,81
54209,12,12X479,Bronx Career and College Preparatory High School,All Students,81,490,33,33,,81
40599,9,09X260,Bronx Center for Science and Mathematics,All Students,108,2611,185,747,,185
45551,10,10X351,Bronx Collaborative High School,All Students,150,556,86,86,,150
40125,9,09X227,Bronx Collegiate Academy,All Students,100,1139,142,174,,142
38730,8,08X561,Bronx Compass High School,All Students,120,728,131,131,,131
35638,7,07X522,Bronx Design and Construction Academy,All Students,140,661,95,119,,140
41032,9,09X324,Bronx Early College Academy for Teaching & Learning,All Students,81,699,125,131,,125
44335,10,10X213,Bronx Engineering and Technology Academy,All Students,142,599,77,77,,142
54278,12,12X511,Bronx Envision Academy,All Students,108,652,86,86,,108
49916,11,11X249,Bronx Health Sciences High School,All Students,108,1075,206,183,,206
46495,10,10X439,Bronx High School for Law and Community Service,All Students,108,1424,153,283,,153
41749,9,09X413,Bronx High School for Medical Science,All Students,81,939,154,172,,154
50039,11,11X253,Bronx High School for Writing and Communication Arts,All Students,108,270,29,29,,108
50954,11,11X418,Bronx High School for the Visual Arts,All Students,102,983,140,182,,140
41649,9,09X412,Bronx High School of Business,All Students,133,740,73,73,,133
41516,9,09X403,Bronx International High School,All Students,108,599,21,71,,108
50107,11,11X265,Bronx Lab School,All Students,123,284,32,32,,123
53507,12,12X267,Bronx Latin,All Students,81,971,114,201,,114
42203,9,09X525,Bronx Leadership Academy High School,All Students,136,912,189,115,,189
35745,7,07X527,Bronx Leadership Academy II High School,All Students,111,773,122,122,,122
36160,7,07X625,Bronx Legacy High School,All Students,68,509,101,101,,101
37822,8,08X349,Bronx River High School,All Students,108,884,131,150,,131
42018,9,09X505,Bronx School for Law Government and Justice,All Students,120,1302,151,332,,151
45150,10,10X284,Bronx School of Law and Finance,All Students,130,493,79,79,,130
37231,8,08X269,Bronx Studio School for Writers and Artists,All Students,81,529,103,140,,103
47353,10,10X546,Bronx Theatre High School,All Students,128,493,91,58,,128
51349,11,11X508,Bronxdale High School,All Students,112,1839,162,311,,162
57260,13,13K553,Brooklyn Academy High School,All Students,22,375,1,48,,22
70120,17,17K547,Brooklyn Academy of Science and the Environment,All Students,108,436,64,64,,108
64239,15,15K448,Brooklyn Collaborative Studies,All Students,90,806,117,134,,117
85278,22,22K555,Brooklyn College Academy,All Students,160,2863,201,1008,,201
87028,23,23K493,Brooklyn Collegiate: A College Board School,All Students,126,707,146,154,,146
56183,13,13K412,Brooklyn Community Arts & Media High School (BCAM),All Students,142,774,110,110,,142
72228,18,18K566,Brooklyn Community High School for Excellence and Equity,All Students,75,371,52,52,,75
87331,23,23K643,Brooklyn Democracy Academy,All Students,30,0,1,1,,30
63760,15,15K423,Brooklyn Frontiers High School,All Students,65,34,5,10,,65
67379,16,16K498,Brooklyn High School for Law and Technology,All Students,151,1477,233,233,,233
57828,13,13K616,Brooklyn High School for Leadership and Community Service,All Students,60,180,17,17,,60
65057,15,15K656,Brooklyn High School of the Arts,All Students,254,2188,261,640,,261
70786,17,17K745,Brooklyn Institute for Liberal Arts,All Students,150,666,117,117,,150
56800,13,13K439,Brooklyn International High School,All Students,81,314,46,66,,81
75313,19,19K639,Brooklyn Lab School,All Students,102,759,135,135,,135
61026,14,14K488,Brooklyn Preparatory High School,All Students,153,1168,214,227,,214
70223,17,17K548,Brooklyn School for Music & Theatre,All Students,108,602,99,99,,108
82466,21,21K690,Brooklyn Studio Secondary School,All Students,104,803,139,296,,139
72312,18,18K567,Brooklyn Theatre Arts High School,All Students,120,350,76,76,,120
120736,32,32K556,Bushwick Leaders High School for Academic Excellence,All Students,100,561,108,108,,108
10128,2,02M393,Business Of Sports School,All Students,129,1125,190,221,,190
97928,26,26Q315,Business Technology Early College High School,All Students,140,867,195,238,,195
116700,31,31R047,CSI High School for International Studies,All Students,127,1720,168,859,,168
109656,29,29Q326,Cambria Heights Academy,All Students,81,554,116,110,,116
35821,7,07X548,Careers in Sports High School,All Students,125,877,175,175,,175
46750,10,10X442,Celia Cruz Bronx High School of Music The,All Students,140,471,107,161,,140
28351,4,04M555,Central Park East High School,All Students,125,4324,199,1508,,199
100827,27,27Q262,Channel View School for Research,All Students,214,772,246,366,,246
18790,2,02M615,Chelsea Career and Technical Education High School,All Students,121,867,143,131,,143
32336,6,06M293,City College Academy of the Arts,All Students,81,1309,89,519,,89
58078,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,All Students,108,1258,152,297,,152
89546,24,24Q293,Civic Leadership Academy,All Students,142,1163,183,318,,183
70520,17,17K600,Clara Barton High School,All Students,434,1015,256,256,,434
42391,9,09X564,Claremont International HS,All Students,81,346,21,40,,81
64874,15,15K519,Cobble Hill School of American Studies,All Students,226,421,62,54,,226
50440,11,11X288,Collegiate Institute for Math and Science,All Students,120,1704,165,313,,165
30050,5,05M362,Columbia Secondary School,All Students,112,3927,168,1731,,168
32708,6,06M346,Community Health Academy of the Heights,All Students,75,649,89,180,,89
35288,7,07X427,Community School for Social Justice,All Students,81,158,23,23,,81
41109,9,09X327,Comprehensive Model School Project M.S. 327,All Students,92,761,104,253,,104
47298,10,10X524,Crotona International High School,All Students,81,371,20,55,,81
72638,18,18K629,Cultural Academy for the Arts and Sciences,All Students,108,473,99,59,,108
117757,31,31R450,Curtis High School,All Students,763,1505,700,710,,763
64499,15,15K463,Cyberarts Studio Academy,All Students,125,176,23,23,,125
75474,19,19K659,Cypress Hills Collegiate Preparatory School,All Students,99,530,126,117,,126
46598,10,10X440,DeWitt Clinton High School,All Students,391,2433,469,586,,469
58403,13,13K963,Design Works High School,All Students,81,232,37,37,,81
63794,15,15K429,Digital Arts and Cinema Technology High School,All Students,90,750,130,175,,130
47419,10,10X549,Discovery High School,All Students,108,744,166,103,,166
55553,13,13K265,Dr. Susan S. McKinney Secondary School of the Arts,All Students,83,473,60,60,,83
41247,9,09X329,DreamYard Preparatory School,All Students,108,462,102,73,,108
120263,32,32K545,EBC High School for Public Service - Bushwick,All Students,126,534,119,107,,126
40234,9,09X231,Eagle Academy for Young Men,All Students,80,424,152,113,,152
87337,23,23K644,Eagle Academy for Young Men II,All Students,92,439,121,139,,121
109745,29,29Q327,Eagle Academy for Young Men III,All Students,75,300,101,119,,101
29523,5,05M148,Eagle Academy for Young Men of Harlem,All Students,100,224,76,70,,100
53589,12,12X271,East Bronx Academy for the Future,All Students,81,489,89,104,,89
74307,19,19K409,East New York Family Academy,All Students,122,673,132,221,,132
1533,1,01M450,East Side Community School,All Students,95,1011,109,333,,109
60724,14,14K477,East Williamsburg Scholars Academy,All Students,234,556,85,85,,234
94450,25,25Q281,East-West School of International Studies,All Students,89,763,111,295,,111
81831,21,21K525,Edward R. Murrow High School,All Students,934,6007,1147,2498,,1147
61931,14,14K685,El Puente Academy for Peace and Justice,All Students,70,168,48,48,,70
12386,2,02M416,Eleanor Roosevelt High School,All Students,125,7816,196,3844,,196
10322,2,02M394,Emma Lazarus High School,All Students,60,94,9,19,,60
112559,30,30Q258,Energy Tech High School,All Students,109,1481,134,369,,134
101903,27,27Q334,Epic High School - North,All Students,70,674,91,180,,91
101454,27,27Q314,Epic High School - South,All Students,95,562,133,162,,133
27629,4,04M372,Esperanza Preparatory Academy,All Students,78,291,96,103,,96
7648,2,02M294,Essex Street Academy,All Students,81,2269,122,561,,122
109070,29,29Q265,Excelsior Preparatory High School,All Students,108,358,97,64,,108
40453,9,09X250,Eximius College Preparatory Academy: A College Board School,All Students,108,860,149,128,,149
53436,12,12X251,Explorations Academy H.S.,All Students,117,414,53,53,,117
74481,19,19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,All Students,108,338,67,67,,108
8453,2,02M303,Facing History School The,All Students,107,303,38,38,,107
54538,12,12X682,Fannie Lou Hamer Freedom High School,All Students,110,506,83,91,,110
94955,25,25Q460,Flushing High School,All Students,563,1359,476,337,,563
94372,25,25Q263,Flushing International High School,All Students,90,537,93,162,,93
7234,2,02M288,Food and Finance High School,All Students,150,1058,196,260,,196
46264,10,10X437,Fordham High School for the Arts,All Students,108,1785,94,478,,108
46393,10,10X438,Fordham Leadership Academy,All Students,108,2191,152,466,,152
105374,28,28Q440,Forest Hills High School,All Students,705,6279,844,2411,,844
1739,1,01M458,Forsyth Satellite Academy,All Students,28,59,6,6,,28
78090,20,20K490,Fort Hamilton High School,All Students,972,4483,1008,1988,,1008
98284,26,26Q430,Francis Lewis High School,All Students,933,8017,1086,4080,,1086
23837,3,03M417,Frank McCourt High School,All Students,120,1328,168,429,,168
113987,30,30Q501,Frank Sinatra School of the Arts High School,All Students,227,3415,380,1714,,380
78273,20,20K505,Franklin Delano Roosevelt High School,All Students,758,3027,902,928,,902
30456,5,05M499,Frederick Douglass Academy,All Students,324,919,226,207,,324
25552,3,03M860,Frederick Douglass Academy II Secondary School,All Students,95,401,118,76,,118
42138,9,09X517,Frederick Douglass Academy III Secondary School,All Students,108,366,51,51,,108
100709,27,27Q260,Frederick Douglass Academy VI High School,All Students,102,372,81,52,,102
87125,23,23K514,Frederick Douglass Academy VII High School,All Students,108,472,104,69,,108
117157,31,31R064,Gaynor McCown Expeditionary Learning School,All Students,146,746,207,353,,207
109222,29,29Q272,George Washington Carver High School for the Sciences,All Students,93,598,138,138,,138
57657,13,13K605,George Westinghouse Career and Technical Education High School,All Students,254,1330,201,217,,254
38470,8,08X452,Gotham Collaborative High School,All Students,113,278,52,52,,113
57362,13,13K594,Gotham Professional Arts Academy,All Students,81,337,59,59,,81
113481,30,30Q417,Gotham Tech High School,All Students,100,460,108,108,,108
9441,2,02M374,Gramercy Arts High School,All Students,204,1290,181,283,,204
33725,6,06M552,Gregorio Luperon High School for Science and Mathematics,All Students,150,461,122,168,,150
90262,24,24Q485,Grover Cleveland High School,All Students,422,1381,468,358,,468
34882,7,07X259,H.E.R.O. High (Health Education and Research Occupations High School),All Students,243,1215,296,256,,296
51052,11,11X455,Harry S Truman High School,All Students,786,1568,350,338,,786
16790,2,02M534,Harvest Collegiate High School,All Students,114,1240,156,156,,156
18289,2,02M586,Harvey Milk High School,All Students,45,44,10,10,,45
110073,29,29Q498,Health Arts Robotics and Technology High School,All Students,196,1220,251,257,,251
36226,7,07X670,Health Opportunities High School,All Students,75,383,28,28,,75
38212,8,08X405,Herbert H. Lehman High School,All Students,501,1981,530,470,,530
28706,4,04M680,Heritage School The,All Students,80,439,120,83,,120
18054,2,02M560,High School M560 - City As School,All Students,25,39,5,0,,25
90761,24,24Q550,High School for Arts and Business,All Students,191,2163,239,602,,239
74573,19,19K504,High School for Civil Rights,All Students,108,417,37,37,,108
104997,28,28Q328,High School for Community Leadership,All Students,130,516,184,116,,184
102516,27,27Q650,High School for Construction Trades Engineering and Architecture,All Students,246,2507,312,1069,,312
51815,11,11X544,High School for Contemporary Arts,All Students,128,541,61,61,,128
17304,2,02M545,High School for Dual Language and Asian Studies,All Students,108,1048,149,493,,149
47486,10,10X565,High School for Energy and Technology,All Students,120,626,102,82,,120
10667,2,02M400,High School for Environmental Studies,All Students,344,2556,507,589,,507
32958,6,06M423,High School for Excellence and Innovation,All Students,60,50,2,11,,60
33322,6,06M468,High School for Health Careers and Sciences,All Students,268,615,84,77,,268
13095,2,02M420,High School for Health Professions and Human Services,All Students,442,2671,575,830,,575
72558,18,18K617,High School for Innovation in Advertising and Media,All Students,81,417,93,102,,93
24704,3,03M492,High School for Law Advocacy and Community Justice,All Students,150,544,104,104,,150
106558,28,28Q690,High School for Law Enforcement and Public Safety,All Students,166,401,136,102,,166
33192,6,06M467,High School for Law and Public Service,All Students,168,448,58,58,,168
33085,6,06M463,High School for Media and Communications,All Students,150,383,44,44,,150
72753,18,18K633,High School for Medical Professions,All Students,108,676,156,125,,156
69997,17,17K546,High School for Public Service: Heroes of Tomorrow,All Students,130,648,169,84,,169
69783,17,17K539,High School for Service & Learning at Erasmus,All Students,108,272,40,40,,108
46132,10,10X433,High School for Teaching and the Professions,All Students,102,391,82,82,,102
42282,9,09X543,High School for Violin and Dance,All Students,108,219,40,40,,108
69662,17,17K537,High School for Youth and Community Development at Erasmus,All Students,140,430,106,106,,140
89366,24,24Q267,High School of Applied Communication,All Students,136,559,103,103,,136
24876,3,03M494,High School of Arts and Technology,All Students,140,881,130,130,,140
50276,11,11X275,High School of Computers and Technology,All Students,183,837,223,127,,223
15329,2,02M489,High School of Economics and Finance,All Students,200,1304,253,253,,253
7868,2,02M296,High School of Hospitality Management,All Students,130,339,35,35,,130
51449,11,11X509,High School of Language and Innovation,All Students,108,270,26,67,,108
81453,21,21K348,High School of Sports Management,All Students,176,325,50,50,,176
77947,20,20K485,High School of Telecommunication Arts and Technology,All Students,310,3255,370,1336,,370
54457,12,12X550,High School of World Cultures,All Students,108,372,21,68,,108
105602,28,28Q505,Hillcrest High School,All Students,730,2348,577,589,,730
104922,28,28Q325,Hillside Arts & Letters Academy,All Students,108,381,136,77,,136
35527,7,07X500,Hostos-Lincoln Academy of Science,All Students,83,995,118,189,,118
14004,2,02M437,Hudson High School of Learning Technologies,All Students,120,373,39,39,,120
18602,2,02M605,Humanities Preparatory Academy,All Students,65,738,97,115,,97
45777,10,10X368,In-Tech Academy (M.S. / High School 368),All Students,140,804,178,272,,178
17271,2,02M544,Independence High School,All Students,30,23,4,0,,30
114250,30,30Q502,Information Technology High School,All Students,221,969,212,227,,221
10896,2,02M407,Institute for Collaborative Education,All Students,61,745,72,278,,72
108780,29,29Q243,Institute for Health Professions at Cambria Heights,All Students,108,392,74,74,,108
35110,7,07X334,International Community High School,All Students,81,188,26,36,,81
90595,24,24Q530,International High School at LaGuardia Community College,All Students,119,877,110,364,,119
81308,21,21K337,International High School at Lafayette,All Students,90,293,49,91,,90
69380,17,17K524,International High School at Prospect Heights,All Students,108,207,21,38,,108
14139,2,02M438,International High School at Union Square,All Students,68,286,45,61,,68
89025,24,24Q236,International High School for Health Sciences,All Students,81,503,56,98,,81
45458,10,10X342,International School for Liberal Arts,All Students,81,242,67,80,,81
32164,6,06M211,Inwood Early College for Health and Information Technologies,All Students,81,817,108,207,,108
72151,18,18K563,It Takes a Village Academy,All Students,162,397,53,53,,162
16280,2,02M529,Jacqueline Kennedy Onassis High School,All Students,204,553,81,81,,204
105193,28,28Q350,Jamaica Gateway to the Sciences,All Students,130,846,162,162,,162
9040,2,02M313,James Baldwin School The: A School for Expeditionary Learning,All Students,25,69,17,17,,25
84912,22,22K425,James Madison High School,All Students,860,6362,949,2916,,949
102338,27,27Q480,John Adams High School,All Students,672,2080,657,447,,672
94759,25,25Q425,John Bowne High School,All Students,604,2662,710,710,,710
81989,21,21K540,John Dewey High School,All Students,578,2311,655,655,,655
64351,15,15K462,John Jay School for Law,All Students,125,975,178,224,,178
44565,10,10X228,Jonas Bronck Academy,All Students,90,4,0,2,,90
59398,14,14K071,Juan Morel Campos Secondary School,All Students,102,355,82,93,,102
64993,15,15K592,Khalil Gibran International Academy,All Students,81,85,14,14,,81
81707,21,21K468,Kingsborough Early College School,All Students,110,1141,121,397,,121
45025,10,10X268,Kingsbridge International High School,All Students,108,241,20,36,,108
45872,10,10X374,Knowledge and Power Preparatory Academy International High School (Kappa),All Students,108,2039,160,442,,160
72401,18,18K569,Kurt Hahn Expeditionary Learning School,All Students,81,128,30,30,,81
12957,2,02M419,Landmark High School,All Students,100,455,84,54,,100
82250,21,21K572,Leaders High School,All Students,95,378,89,89,,95
13520,2,02M425,Leadership and Public Service High School,All Students,276,436,80,43,,276
85070,22,22K535,Leon M. Goldstein High School for the Sciences,All Students,255,4085,432,2186,,432
82577,21,21K728,Liberation Diploma Plus,All Students,30,4,1,2,,30
17779,2,02M550,Liberty High School Academy for Newcomers,All Students,50,67,1,10,,50
82154,21,21K559,Life Academy High School for Film and Music,All Students,81,169,82,21,,82
113804,30,30Q450,Long Island City High School,All Students,831,1488,468,405,,831
38573,8,08X530,Longwood Preparatory Academy,All Students,100,707,132,132,,132
1802,1,01M515,Lower East Side Preparatory High School,All Students,60,173,28,28,,60
8702,2,02M308,Lower Manhattan Arts Academy,All Students,95,644,102,102,,102
61605,14,14K586,Lyons Community School,All Students,81,192,54,54,,81
25050,3,03M541,Manhattan / Hunter Science High School,All Students,108,5285,154,2638,,154
13699,2,02M427,Manhattan Academy For Arts & Language,All Students,108,265,28,45,,108
16984,2,02M542,Manhattan Bridges High School,All Students,172,616,115,162,,172
9916,2,02M392,Manhattan Business Academy,All Students,108,1266,180,197,,180
27819,4,04M435,Manhattan Center for Science and Mathematics,All Students,407,5091,679,2217,,679
6807,2,02M280,Manhattan Early College School for Advertising,All Students,112,482,88,88,,112
14849,2,02M459,Manhattan International High School,All Students,85,484,28,95,,85
14252,2,02M439,Manhattan Village Academy,All Students,100,4115,187,1533,,187
47210,10,10X477,Marble Hill High School for International Studies,All Students,108,890,163,235,,163
98516,26,26Q435,Martin Van Buren High School,All Students,358,976,285,236,,358
91151,24,24Q585,Maspeth High School,All Students,270,5196,352,2127,,352
109950,29,29Q492,Mathematics Science Research and Technology Magnet High School,All Students,150,456,84,84,,150
70351,17,17K590,Medgar Evers College Preparatory School,All Students,220,2237,252,716,,252
87449,23,23K647,Metropolitan Diploma Plus High School,All Students,30,17,4,1,,30
104075,28,28Q167,Metropolitan Expeditionary Learning School,All Students,119,1271,138,528,,138
53349,12,12X248,Metropolitan High School The,All Students,145,314,62,52,,145
90431,24,24Q520,Middle College High School at LaGuardia Community College,All Students,97,1611,129,542,,129
84661,22,22K405,Midwood High School,All Students,910,10400,1352,5459,,1352
37537,8,08X312,Millennium Art Academy,All Students,112,496,126,87,,126
65405,15,15K684,Millennium Brooklyn HS,All Students,175,5324,212,2351,,212
12679,2,02M418,Millennium High School,All Students,150,5709,216,2650,,216
40843,9,09X297,Morris Academy for Collaborative Studies,All Students,123,662,129,129,,129
40514,9,09X252,Mott Hall Bronx High School,All Students,87,1075,126,163,,126
29938,5,05M304,Mott Hall High School,All Students,108,359,63,63,,108
53263,12,12X242,Mott Hall V,All Students,81,1129,95,335,,95
35338,7,07X473,Mott Haven Village Preparatory High School,All Students,81,250,68,45,,81
74947,19,19K583,Multicultural High School,All Students,111,241,26,47,,111
13830,2,02M432,Murray Hill Academy,All Students,115,392,57,57,,115
16096,2,02M520,Murry Bergtraum High School for Business Careers,All Students,240,220,44,44,,240
11640,2,02M412,N.Y.C. Lab School for Collaborative Studies,All Students,109,3288,157,1387,,157
12143,2,02M414,N.Y.C. Museum School,All Students,124,3310,190,1136,,190
9662,2,02M376,NYC iSchool,All Students,118,2878,153,1172,,153
67804,16,16K765,Nelson Mandela High School,All Students,114,213,25,25,,114
17098,2,02M543,New Design High School,All Students,125,773,142,142,,142
41347,9,09X350,New Directions Secondary School,All Students,25,69,10,10,,25
117528,31,31R440,New Dorp High School,All Students,703,2138,860,970,,860
1897,1,01M539,New Explorations into Science Technology and Math High School,All Students,150,3347,278,1842,,278
77761,20,20K445,New Utrecht High School,All Students,678,4370,755,1624,,755
51504,11,11X513,New World High School,All Students,108,534,78,134,,108
114341,30,30Q555,Newcomers High School,All Students,81,399,107,128,,107
90149,24,24Q455,Newtown High School,All Students,478,1180,401,268,,478
95644,25,25Q792,North Queens Community High School,All Students,15,9,5,2,,15
72894,18,18K635,Olympus Academy,All Students,15,28,2,3,,15
775,1,01M292,Orchard Collegiate Academy,All Students,90,361,95,95,,95
85443,22,22K611,Origins High School,All Students,108,308,190,99,,190
60627,14,14K474,PROGRESS High School for Professional Careers,All Students,153,390,73,73,,153
8096,2,02M298,Pace High School,All Students,160,1578,236,288,,236
89658,24,24Q296,Pan American International High School,All Students,108,440,26,134,,108
53955,12,12X388,Pan American International High School at Monroe,All Students,108,340,38,73,,108
28089,4,04M495,Park East High School,All Students,100,2268,157,718,,157
64561,15,15K464,Park Slope Collegiate,All Students,102,738,146,129,,146
108989,29,29Q259,Pathways College Preparatory School: A College Board School,All Students,186,373,203,135,,203
68268,17,17K122,Pathways in Technology Early College High School (P-Tech),All Students,135,771,176,192,,176
37640,8,08X320,Pelham Lab High School,All Students,108,584,44,44,,108
51715,11,11X542,Pelham Preparatory Academy,All Students,118,2431,181,528,,181
74679,19,19K507,Performing Arts and Technology High School,All Students,125,1026,132,152,,132
117651,31,31R445,Port Richmond High School,All Students,613,1024,501,348,,613
109362,29,29Q283,Preparatory Academy for Writers: A College Board School,All Students,75,203,49,36,,75
85529,22,22K630,Professional Pathways High School,All Students,30,8,3,3,,30
11116,2,02M408,Professional Performing Arts High School,All Students,124,1160,177,394,,177
95501,25,25Q540,Queens Academy High School,All Students,20,6,3,5,,20
104808,28,28Q310,Queens Collegiate: A College Board School,All Students,94,424,79,79,,94
105970,28,28Q680,Queens Gateway to Health Sciences Secondary School,All Students,108,1216,153,405,,153
101049,27,27Q302,Queens High School for Information Research and Technology,All Students,108,643,173,218,,173
94034,25,25Q241,Queens High School for Language Studies,All Students,108,397,94,103,,108
98799,26,26Q566,Queens High School of Teaching Liberal Arts and the Sciences,All Students,260,627,239,239,,260
106108,28,28Q686,Queens Metropolitan High School,All Students,230,2087,230,858,,230
108877,29,29Q248,Queens Preparatory Academy,All Students,60,355,44,44,,60
94251,25,25Q252,Queens School of Inquiry The,All Students,89,584,111,205,,111
91366,24,24Q600,Queens Technical High School,All Students,350,3344,414,1122,,414
13339,2,02M422,Quest to Learn,All Students,108,217,56,40,,108
81374,21,21K344,Rachel Carson High School for Coastal Studies,All Students,148,427,175,116,,175
118121,31,31R600,Ralph R. McKee Career and Technical Education High School,All Students,290,525,205,211,,290
37351,8,08X293,Renaissance High School for Musical Theater and the Arts,All Students,103,744,144,164,,144
16457,2,02M531,Repertory Company High School for Theatre Arts,All Students,60,413,52,86,,60
18106,2,02M580,Richard R. Green High School of Teaching,All Students,160,827,119,119,,160
102227,27,27Q475,Richmond Hill High School,All Students,368,1296,419,388,,419
44129,10,10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),All Students,181,799,255,359,,255
95511,25,25Q670,Robert F. Kennedy Community High School,All Students,150,957,202,242,,202
90950,24,24Q560,Robert F. Wagner Jr. Secondary School for Arts and Technology,All Students,120,1475,162,338,,162
101210,27,27Q308,Robert H. Goddard High School of Communication Arts and Technology,All Students,140,1207,177,506,,177
101977,27,27Q351,Rockaway Collegiate High School,All Students,135,202,87,46,,135
101836,27,27Q324,Rockaway Park High School for Environmental Sustainability,All Students,108,173,35,35,,108
101661,27,27Q323,Scholars' Academy,All Students,154,1161,182,600,,182
75852,19,19K683,School for Classics High School,All Students,108,242,73,73,,108
41597,9,09X404,School for Excellence,All Students,116,190,17,17,,116
69564,17,17K531,School for Human Rights The,All Students,120,301,31,31,,120
11893,2,02M413,School of the Future High School,All Students,108,2165,137,776,,137
37777,8,08X348,Schuylerville Preparatory High School,All Students,108,303,38,38,,108
56311,13,13K419,Science Skills Center High School for Science Technology and the Creative Arts,All Students,258,1050,178,178,,258
69858,17,17K543,Science Technology and Research Early College High School at Erasmus,All Students,130,810,117,214,,130
34670,7,07X221,South Bronx Preparatory: A College Board School,All Students,91,1070,117,237,,117
25336,3,03M859,Special Music School,All Students,50,391,52,151,,52
74392,19,19K422,Spring Creek Community School,All Students,71,458,71,88,,71
5051,2,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,All Students,108,472,96,96,,108
65258,15,15K667,Sunset Park High School,All Students,354,1017,356,336,,356
117999,31,31R460,Susan E. Wagner High School,All Students,650,2177,644,987,,650
15870,2,02M519,Talent Unlimited High School,All Students,147,1518,179,500,,179
87533,23,23K697,Teachers Preparatory High School,All Students,85,189,29,29,,85
120413,32,32K552,The Academy of Urban Planning and Engineering,All Students,113,922,171,171,,171
64665,15,15K497,The Boerum Hill School for International Studies,All Students,100,1168,162,241,,162
51571,11,11X514,The Bronxwood Preparatory Academy,All Students,108,551,131,112,,131
