,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 True Applicants,Grade 9 Seats Available - Notes
65954,15,15K960,A School Without Walls (hybrid program),Residential District 18,.,14,s,s,
65955,15,15K960,A School Without Walls (hybrid program),Residential District 19,.,16,s,s,
65956,15,15K960,A School Without Walls (hybrid program),Residential District 20,.,10,s,s,
65957,15,15K960,A School Without Walls (hybrid program),Residential District 21,.,s,s,s,
65958,15,15K960,A School Without Walls (hybrid program),Residential District 22,.,16,s,s,
65959,15,15K960,A School Without Walls (hybrid program),Residential District 23,.,8,s,s,
65960,15,15K960,A School Without Walls (hybrid program),Residential District 24,.,7,s,s,
65961,15,15K960,A School Without Walls (hybrid program),Residential District 26,.,s,s,s,
65962,15,15K960,A School Without Walls (hybrid program),Residential District 27,.,13,s,s,
65963,15,15K960,A School Without Walls (hybrid program),Residential District 28,.,s,s,s,
65964,15,15K960,A School Without Walls (hybrid program),Residential District 29,.,s,s,s,
65965,15,15K960,A School Without Walls (hybrid program),Residential District 30,.,s,s,s,
65966,15,15K960,A School Without Walls (hybrid program),Residential District 31,.,7,s,s,
65967,15,15K960,A School Without Walls (hybrid program),Residential District 32,.,s,s,s,
65968,15,15K960,A School Without Walls (hybrid program),Residential District Unknown,.,s,s,s,
38875,8,08X636,A School Without Walls (virtual program),Residential District 01,.,s,s,s,
38876,8,08X636,A School Without Walls (virtual program),Residential District 02,.,s,s,s,
38877,8,08X636,A School Without Walls (virtual program),Residential District 03,.,s,s,s,
38878,8,08X636,A School Without Walls (virtual program),Residential District 04,.,9,s^,6,
38879,8,08X636,A School Without Walls (virtual program),Residential District 05,.,6,s,s,
38880,8,08X636,A School Without Walls (virtual program),Residential District 06,.,s,s,s,
38881,8,08X636,A School Without Walls (virtual program),Residential District 07,.,50,s^,11,
38882,8,08X636,A School Without Walls (virtual program),Residential District 08,.,36,s^,9,
38883,8,08X636,A School Without Walls (virtual program),Residential District 09,.,36,s^,10,
38884,8,08X636,A School Without Walls (virtual program),Residential District 10,.,21,s,s,
38885,8,08X636,A School Without Walls (virtual program),Residential District 11,.,26,s^,10,
38886,8,08X636,A School Without Walls (virtual program),Residential District 12,.,21,s^,6,
38887,8,08X636,A School Without Walls (virtual program),Residential District 13,.,s,s,s,
38888,8,08X636,A School Without Walls (virtual program),Residential District 14,.,s,s,s,
38889,8,08X636,A School Without Walls (virtual program),Residential District 15,.,s,s,s,
38890,8,08X636,A School Without Walls (virtual program),Residential District 16,.,s,s,s,
38891,8,08X636,A School Without Walls (virtual program),Residential District 17,.,s,s,s,
38892,8,08X636,A School Without Walls (virtual program),Residential District 18,.,s,s,s,
38893,8,08X636,A School Without Walls (virtual program),Residential District 19,.,6,s,s,
38894,8,08X636,A School Without Walls (virtual program),Residential District 20,.,s,s,s,
38895,8,08X636,A School Without Walls (virtual program),Residential District 21,.,s,s,s,
38896,8,08X636,A School Without Walls (virtual program),Residential District 22,.,7,s,s,
38897,8,08X636,A School Without Walls (virtual program),Residential District 23,.,s,s,s,
38898,8,08X636,A School Without Walls (virtual program),Residential District 24,.,s,s,s,
38899,8,08X636,A School Without Walls (virtual program),Residential District 25,.,s,s,s,
38900,8,08X636,A School Without Walls (virtual program),Residential District 26,.,s,s,s,
38901,8,08X636,A School Without Walls (virtual program),Residential District 27,.,s,s,s,
38902,8,08X636,A School Without Walls (virtual program),Residential District 28,.,s,s,s,
38903,8,08X636,A School Without Walls (virtual program),Residential District 29,.,s,s,s,
38904,8,08X636,A School Without Walls (virtual program),Residential District 30,.,s,s,s,
38905,8,08X636,A School Without Walls (virtual program),Residential District 31,.,6,s,s,
38906,8,08X636,A School Without Walls (virtual program),Residential District 32,.,s,s,s,
38907,8,08X636,A School Without Walls (virtual program),Residential District Unknown,.,s,s,s,
61706,14,14K610,A-Tech High School,Residential District 01,.,6,s,s,
61707,14,14K610,A-Tech High School,Residential District 02,.,6,s,s,
61708,14,14K610,A-Tech High School,Residential District 03,.,6,s,s,
61709,14,14K610,A-Tech High School,Residential District 04,.,7,s,s,
61710,14,14K610,A-Tech High School,Residential District 05,.,s,s,s,
61711,14,14K610,A-Tech High School,Residential District 06,.,s,s,s,
61712,14,14K610,A-Tech High School,Residential District 07,.,s,s,s,
61713,14,14K610,A-Tech High School,Residential District 08,.,s,s,s,
61714,14,14K610,A-Tech High School,Residential District 09,.,12,s,s,
61715,14,14K610,A-Tech High School,Residential District 10,.,6,s,s,
61716,14,14K610,A-Tech High School,Residential District 11,.,9,s,s,
61717,14,14K610,A-Tech High School,Residential District 12,.,s,s,s,
61718,14,14K610,A-Tech High School,Residential District 13,.,60,s^,16,
61719,14,14K610,A-Tech High School,Residential District 14,.,118,59,36,
61720,14,14K610,A-Tech High School,Residential District 15,.,26,s,s,
61721,14,14K610,A-Tech High School,Residential District 16,.,66,s^,8,
61722,14,14K610,A-Tech High School,Residential District 17,.,78,s^,18,
61723,14,14K610,A-Tech High School,Residential District 18,.,59,s^,14,
61724,14,14K610,A-Tech High School,Residential District 19,.,138,s^,19,
61725,14,14K610,A-Tech High School,Residential District 20,.,15,s,s,
61726,14,14K610,A-Tech High School,Residential District 21,.,9,s,s,
61727,14,14K610,A-Tech High School,Residential District 22,.,42,s,s,
61728,14,14K610,A-Tech High School,Residential District 23,.,101,s^,31,
61729,14,14K610,A-Tech High School,Residential District 24,.,114,s^,26,
61730,14,14K610,A-Tech High School,Residential District 25,.,s,s,s,
61731,14,14K610,A-Tech High School,Residential District 26,.,s,s,s,
61732,14,14K610,A-Tech High School,Residential District 27,.,26,s,s,
61733,14,14K610,A-Tech High School,Residential District 28,.,18,s,s,
61734,14,14K610,A-Tech High School,Residential District 29,.,13,s,s,
61735,14,14K610,A-Tech High School,Residential District 30,.,74,s^,22,
61736,14,14K610,A-Tech High School,Residential District 31,.,s,s,s,
61737,14,14K610,A-Tech High School,Residential District 32,.,122,s^,25,
61738,14,14K610,A-Tech High School,Residential District Unknown,.,s,s,s,
33578,6,06M540,A. Philip Randolph Campus High School,Residential District 01,.,8,s,s,
33579,6,06M540,A. Philip Randolph Campus High School,Residential District 02,.,26,s^,8,
33580,6,06M540,A. Philip Randolph Campus High School,Residential District 03,.,97,s^,20,
33581,6,06M540,A. Philip Randolph Campus High School,Residential District 04,.,104,s^,27,
33582,6,06M540,A. Philip Randolph Campus High School,Residential District 05,.,265,s^,62,
33583,6,06M540,A. Philip Randolph Campus High School,Residential District 06,.,219,s^,57,
33584,6,06M540,A. Philip Randolph Campus High School,Residential District 07,.,123,s^,30,
33585,6,06M540,A. Philip Randolph Campus High School,Residential District 08,.,140,s^,38,
33586,6,06M540,A. Philip Randolph Campus High School,Residential District 09,.,283,s^,59,
33587,6,06M540,A. Philip Randolph Campus High School,Residential District 10,.,207,s^,48,
33588,6,06M540,A. Philip Randolph Campus High School,Residential District 11,.,192,s^,31,
33589,6,06M540,A. Philip Randolph Campus High School,Residential District 12,.,96,s^,17,
33590,6,06M540,A. Philip Randolph Campus High School,Residential District 13,.,6,s,s,
33591,6,06M540,A. Philip Randolph Campus High School,Residential District 14,.,6,s,s,
33592,6,06M540,A. Philip Randolph Campus High School,Residential District 15,.,s,s,s,
33593,6,06M540,A. Philip Randolph Campus High School,Residential District 16,.,s,s,s,
33594,6,06M540,A. Philip Randolph Campus High School,Residential District 17,.,19,s^,6,
33595,6,06M540,A. Philip Randolph Campus High School,Residential District 18,.,9,s,s,
33596,6,06M540,A. Philip Randolph Campus High School,Residential District 19,.,38,s^,7,
33597,6,06M540,A. Philip Randolph Campus High School,Residential District 20,.,6,s,s,
33598,6,06M540,A. Philip Randolph Campus High School,Residential District 21,.,s,s,s,
33599,6,06M540,A. Philip Randolph Campus High School,Residential District 22,.,s,s,s,
33600,6,06M540,A. Philip Randolph Campus High School,Residential District 23,.,11,s,s,
33601,6,06M540,A. Philip Randolph Campus High School,Residential District 24,.,34,s,s,
33602,6,06M540,A. Philip Randolph Campus High School,Residential District 26,.,s,s,s,
33603,6,06M540,A. Philip Randolph Campus High School,Residential District 27,.,21,s,s,
33604,6,06M540,A. Philip Randolph Campus High School,Residential District 28,.,7,s,s,
33605,6,06M540,A. Philip Randolph Campus High School,Residential District 29,.,15,s,s,
33606,6,06M540,A. Philip Randolph Campus High School,Residential District 30,.,28,s,s,
33607,6,06M540,A. Philip Randolph Campus High School,Residential District 31,.,6,s,s,
33608,6,06M540,A. Philip Randolph Campus High School,Residential District 32,.,s,s,s,
33609,6,06M540,A. Philip Randolph Campus High School,Residential District Unknown,.,s,s,s,
81623,21,21K410,Abraham Lincoln High School,Residential District 07,.,s,s,s,
81624,21,21K410,Abraham Lincoln High School,Residential District 13,.,36,s^,11,
81625,21,21K410,Abraham Lincoln High School,Residential District 14,.,25,s,s,
81626,21,21K410,Abraham Lincoln High School,Residential District 15,.,120,s^,24,
81627,21,21K410,Abraham Lincoln High School,Residential District 16,.,42,s^,9,
81628,21,21K410,Abraham Lincoln High School,Residential District 17,.,184,s^,50,
81629,21,21K410,Abraham Lincoln High School,Residential District 18,.,190,s^,53,
81630,21,21K410,Abraham Lincoln High School,Residential District 19,.,181,s^,36,
81631,21,21K410,Abraham Lincoln High School,Residential District 20,.,224,s^,62,
81632,21,21K410,Abraham Lincoln High School,Residential District 21,.,414,212,133,
81633,21,21K410,Abraham Lincoln High School,Residential District 22,.,499,170,159,
81634,21,21K410,Abraham Lincoln High School,Residential District 23,.,93,s^,31,
81635,21,21K410,Abraham Lincoln High School,Residential District 24,.,s,s,s,
81636,21,21K410,Abraham Lincoln High School,Residential District 26,.,s,s,s,
81637,21,21K410,Abraham Lincoln High School,Residential District 27,.,9,s,s,
81638,21,21K410,Abraham Lincoln High School,Residential District 28,.,s,s,s,
81639,21,21K410,Abraham Lincoln High School,Residential District 29,.,12,s,s,
81640,21,21K410,Abraham Lincoln High School,Residential District 30,.,s,s,s,
81641,21,21K410,Abraham Lincoln High School,Residential District 31,.,6,s,s,
81642,21,21K410,Abraham Lincoln High School,Residential District 32,.,22,s,s,
81643,21,21K410,Abraham Lincoln High School,Residential District Unknown,.,s,s,s,
113201,30,30Q301,Academy for Careers in Television and Film,Residential District 01,.,12,s,s,
113202,30,30Q301,Academy for Careers in Television and Film,Residential District 02,.,63,s,20,
113203,30,30Q301,Academy for Careers in Television and Film,Residential District 03,.,23,s,6,
113204,30,30Q301,Academy for Careers in Television and Film,Residential District 04,.,16,s,s,
113205,30,30Q301,Academy for Careers in Television and Film,Residential District 05,.,16,s,s,
113206,30,30Q301,Academy for Careers in Television and Film,Residential District 06,.,13,s,6,
113207,30,30Q301,Academy for Careers in Television and Film,Residential District 07,.,14,s,s,
113208,30,30Q301,Academy for Careers in Television and Film,Residential District 08,.,25,s,6,
113209,30,30Q301,Academy for Careers in Television and Film,Residential District 09,.,15,s,s,
113210,30,30Q301,Academy for Careers in Television and Film,Residential District 10,.,15,s,s,
113211,30,30Q301,Academy for Careers in Television and Film,Residential District 11,.,14,s,s,
113212,30,30Q301,Academy for Careers in Television and Film,Residential District 12,.,10,s,s,
113213,30,30Q301,Academy for Careers in Television and Film,Residential District 13,.,38,s,7,
113214,30,30Q301,Academy for Careers in Television and Film,Residential District 14,.,79,12,21,
113215,30,30Q301,Academy for Careers in Television and Film,Residential District 15,.,49,8,16,
113216,30,30Q301,Academy for Careers in Television and Film,Residential District 16,.,17,s,6,
113217,30,30Q301,Academy for Careers in Television and Film,Residential District 17,.,18,s,s,
113218,30,30Q301,Academy for Careers in Television and Film,Residential District 18,.,15,s,s,
113219,30,30Q301,Academy for Careers in Television and Film,Residential District 19,.,32,6,12,
113220,30,30Q301,Academy for Careers in Television and Film,Residential District 20,.,s,s,s,
113221,30,30Q301,Academy for Careers in Television and Film,Residential District 21,.,6,s,s,
113222,30,30Q301,Academy for Careers in Television and Film,Residential District 22,.,16,s,s,
113223,30,30Q301,Academy for Careers in Television and Film,Residential District 23,.,10,s,s,
113224,30,30Q301,Academy for Careers in Television and Film,Residential District 24,.,324,35,99,
113225,30,30Q301,Academy for Careers in Television and Film,Residential District 25,.,33,s,12,
113226,30,30Q301,Academy for Careers in Television and Film,Residential District 26,.,12,s,s,
113227,30,30Q301,Academy for Careers in Television and Film,Residential District 27,.,42,s,9,
113228,30,30Q301,Academy for Careers in Television and Film,Residential District 28,.,49,s,21,
113229,30,30Q301,Academy for Careers in Television and Film,Residential District 29,.,47,6,16,
113230,30,30Q301,Academy for Careers in Television and Film,Residential District 30,.,465,58,155,
113231,30,30Q301,Academy for Careers in Television and Film,Residential District 31,.,s,s,s,
113232,30,30Q301,Academy for Careers in Television and Film,Residential District 32,.,14,s,s,
113233,30,30Q301,Academy for Careers in Television and Film,Residential District Unknown,.,8,s,s,
69000,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 01,.,s,s,s,
69001,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 02,.,6,s,s,
69002,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 03,.,s,s,s,
69003,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 04,.,s,s,s,
69004,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 05,.,s,s,s,
69005,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 06,.,s,s,s,
69006,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 07,.,6,s,s,
69007,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 08,.,9,s,s,
69008,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 09,.,11,s,s,
69009,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 10,.,10,s,s,
69010,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 11,.,s,s,s,
69011,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 12,.,s,s,s,
69012,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 13,.,27,s,s,
69013,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 14,.,11,s,s,
69014,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 15,.,34,s,s,
69015,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 16,.,34,s,s,
69016,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 17,.,150,s^,37,
69017,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 18,.,99,s^,18,
69018,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 19,.,78,s^,11,
69019,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 20,.,38,s,s,
69020,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 21,.,40,s^,8,
69021,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 22,.,131,s^,24,
69022,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 23,.,67,s,s,
69023,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 24,.,13,s,s,
69024,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 25,.,s,s,s,
69025,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 27,.,22,s,s,
69026,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 28,.,14,s,s,
69027,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 29,.,8,s,s,
69028,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 30,.,s,s,s,
69029,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 31,.,s,s,s,
69030,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 32,.,12,s,s,
69031,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District Unknown,.,s,s,s,
72942,18,18K637,Academy for Conservation and the Environment,Residential District 01,.,s,s,s,
72943,18,18K637,Academy for Conservation and the Environment,Residential District 02,.,s,s,s,
72944,18,18K637,Academy for Conservation and the Environment,Residential District 03,.,s,s,s,
72945,18,18K637,Academy for Conservation and the Environment,Residential District 04,.,s,s,s,
72946,18,18K637,Academy for Conservation and the Environment,Residential District 05,.,s,s,s,
72947,18,18K637,Academy for Conservation and the Environment,Residential District 06,.,s,s,s,
72948,18,18K637,Academy for Conservation and the Environment,Residential District 07,.,s,s,s,
72949,18,18K637,Academy for Conservation and the Environment,Residential District 08,.,8,s,s,
72950,18,18K637,Academy for Conservation and the Environment,Residential District 09,.,6,s,s,
72951,18,18K637,Academy for Conservation and the Environment,Residential District 10,.,s,s,s,
72952,18,18K637,Academy for Conservation and the Environment,Residential District 11,.,6,s,s,
72953,18,18K637,Academy for Conservation and the Environment,Residential District 12,.,s,s,s,
72954,18,18K637,Academy for Conservation and the Environment,Residential District 13,.,7,s,s,
72955,18,18K637,Academy for Conservation and the Environment,Residential District 14,.,7,s,s,
72956,18,18K637,Academy for Conservation and the Environment,Residential District 15,.,11,s,s,
72957,18,18K637,Academy for Conservation and the Environment,Residential District 16,.,26,s,s,
72958,18,18K637,Academy for Conservation and the Environment,Residential District 17,.,66,s,s,
72959,18,18K637,Academy for Conservation and the Environment,Residential District 18,.,200,74,34,
72960,18,18K637,Academy for Conservation and the Environment,Residential District 19,.,114,s^,11,
72961,18,18K637,Academy for Conservation and the Environment,Residential District 20,.,16,s,s,
72962,18,18K637,Academy for Conservation and the Environment,Residential District 21,.,23,s,s,
72963,18,18K637,Academy for Conservation and the Environment,Residential District 22,.,160,104,27,
72964,18,18K637,Academy for Conservation and the Environment,Residential District 23,.,63,s,s,
72965,18,18K637,Academy for Conservation and the Environment,Residential District 24,.,13,s,s,
72966,18,18K637,Academy for Conservation and the Environment,Residential District 26,.,s,s,s,
72967,18,18K637,Academy for Conservation and the Environment,Residential District 27,.,27,s,s,
72968,18,18K637,Academy for Conservation and the Environment,Residential District 28,.,7,s,s,
72969,18,18K637,Academy for Conservation and the Environment,Residential District 29,.,9,s,s,
72970,18,18K637,Academy for Conservation and the Environment,Residential District 30,.,s,s,s,
72971,18,18K637,Academy for Conservation and the Environment,Residential District 31,.,s,s,s,
72972,18,18K637,Academy for Conservation and the Environment,Residential District 32,.,10,s,s,
72973,18,18K637,Academy for Conservation and the Environment,Residential District Unknown,.,6,s,s,
120159,32,32K403,Academy for Excellence in Leadership,Residential District 01,.,s,s,s,
120160,32,32K403,Academy for Excellence in Leadership,Residential District 02,.,s,s,s,
120161,32,32K403,Academy for Excellence in Leadership,Residential District 05,.,s,s,s,
120162,32,32K403,Academy for Excellence in Leadership,Residential District 06,.,s,s,s,
120163,32,32K403,Academy for Excellence in Leadership,Residential District 07,.,s,s,s,
120164,32,32K403,Academy for Excellence in Leadership,Residential District 08,.,s,s,s,
120165,32,32K403,Academy for Excellence in Leadership,Residential District 09,.,9,s,s,
120166,32,32K403,Academy for Excellence in Leadership,Residential District 10,.,s,s,s,
120167,32,32K403,Academy for Excellence in Leadership,Residential District 11,.,6,s,s,
120168,32,32K403,Academy for Excellence in Leadership,Residential District 12,.,6,s,s,
120169,32,32K403,Academy for Excellence in Leadership,Residential District 13,.,8,s,s,
120170,32,32K403,Academy for Excellence in Leadership,Residential District 14,.,8,s,s,
120171,32,32K403,Academy for Excellence in Leadership,Residential District 15,.,s,s,s,
120172,32,32K403,Academy for Excellence in Leadership,Residential District 16,.,32,s,s,
120173,32,32K403,Academy for Excellence in Leadership,Residential District 17,.,19,s,s,
120174,32,32K403,Academy for Excellence in Leadership,Residential District 18,.,15,s,s,
120175,32,32K403,Academy for Excellence in Leadership,Residential District 19,.,65,s^,10,
120176,32,32K403,Academy for Excellence in Leadership,Residential District 20,.,s,s,s,
120177,32,32K403,Academy for Excellence in Leadership,Residential District 21,.,s,s,s,
120178,32,32K403,Academy for Excellence in Leadership,Residential District 22,.,8,s,s,
120179,32,32K403,Academy for Excellence in Leadership,Residential District 23,.,48,s^,7,
120180,32,32K403,Academy for Excellence in Leadership,Residential District 24,.,101,s^,20,
120181,32,32K403,Academy for Excellence in Leadership,Residential District 25,.,s,s,s,
120182,32,32K403,Academy for Excellence in Leadership,Residential District 27,.,22,s,s,
120183,32,32K403,Academy for Excellence in Leadership,Residential District 28,.,s,s,s,
120184,32,32K403,Academy for Excellence in Leadership,Residential District 29,.,s,s,s,
120185,32,32K403,Academy for Excellence in Leadership,Residential District 30,.,7,s,s,
120186,32,32K403,Academy for Excellence in Leadership,Residential District 32,.,215,s^,28,
120187,32,32K403,Academy for Excellence in Leadership,Residential District Unknown,.,s,s,s,
70899,17,17K751,Academy for Health Careers,Residential District 01,.,6,s,s,
70900,17,17K751,Academy for Health Careers,Residential District 02,.,s,s,s,
70901,17,17K751,Academy for Health Careers,Residential District 04,.,s,s,s,
70902,17,17K751,Academy for Health Careers,Residential District 05,.,s,s,s,
70903,17,17K751,Academy for Health Careers,Residential District 06,.,s,s,s,
70904,17,17K751,Academy for Health Careers,Residential District 07,.,s,s,s,
70905,17,17K751,Academy for Health Careers,Residential District 08,.,10,s,s,
70906,17,17K751,Academy for Health Careers,Residential District 09,.,7,s,s,
70907,17,17K751,Academy for Health Careers,Residential District 10,.,8,s,s,
70908,17,17K751,Academy for Health Careers,Residential District 11,.,7,s,s,
70909,17,17K751,Academy for Health Careers,Residential District 12,.,7,s,s,
70910,17,17K751,Academy for Health Careers,Residential District 13,.,28,s,s,
70911,17,17K751,Academy for Health Careers,Residential District 14,.,s,s,s,
70912,17,17K751,Academy for Health Careers,Residential District 15,.,19,s,s,
70913,17,17K751,Academy for Health Careers,Residential District 16,.,50,s^,7,
70914,17,17K751,Academy for Health Careers,Residential District 17,.,91,19,11,
70915,17,17K751,Academy for Health Careers,Residential District 18,.,51,s,s,
70916,17,17K751,Academy for Health Careers,Residential District 19,.,89,s,s,
70917,17,17K751,Academy for Health Careers,Residential District 20,.,6,s,s,
70918,17,17K751,Academy for Health Careers,Residential District 21,.,7,s,s,
70919,17,17K751,Academy for Health Careers,Residential District 22,.,37,s,s,
70920,17,17K751,Academy for Health Careers,Residential District 23,.,66,s^,8,
70921,17,17K751,Academy for Health Careers,Residential District 24,.,18,s,s,
70922,17,17K751,Academy for Health Careers,Residential District 25,.,s,s,s,
70923,17,17K751,Academy for Health Careers,Residential District 26,.,s,s,s,
70924,17,17K751,Academy for Health Careers,Residential District 27,.,29,s^,6,
70925,17,17K751,Academy for Health Careers,Residential District 28,.,7,s,s,
70926,17,17K751,Academy for Health Careers,Residential District 29,.,7,s,s,
70927,17,17K751,Academy for Health Careers,Residential District 30,.,7,s,s,
70928,17,17K751,Academy for Health Careers,Residential District 31,.,s,s,s,
70929,17,17K751,Academy for Health Careers,Residential District 32,.,32,s,s,
70930,17,17K751,Academy for Health Careers,Residential District Unknown,.,s,s,s,
41435,9,09X365,Academy for Language and Technology,Residential District 02,.,s,s,s,
41436,9,09X365,Academy for Language and Technology,Residential District 03,.,s,s,s,
41437,9,09X365,Academy for Language and Technology,Residential District 04,.,s,s,s,
41438,9,09X365,Academy for Language and Technology,Residential District 05,.,s,s,s,
41439,9,09X365,Academy for Language and Technology,Residential District 06,.,26,s,s,
41440,9,09X365,Academy for Language and Technology,Residential District 07,.,36,s,s,
41441,9,09X365,Academy for Language and Technology,Residential District 08,.,47,s,14,
41442,9,09X365,Academy for Language and Technology,Residential District 09,.,199,29,68,
41443,9,09X365,Academy for Language and Technology,Residential District 10,.,243,36,89,
41444,9,09X365,Academy for Language and Technology,Residential District 11,.,41,s,s,
41445,9,09X365,Academy for Language and Technology,Residential District 12,.,58,8,17,
41446,9,09X365,Academy for Language and Technology,Residential District 14,.,s,s,s,
41447,9,09X365,Academy for Language and Technology,Residential District 15,.,s,s,s,
