,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 Seats Available - Notes,max_offers_and_seats
41944,9,09X260,Bronx Center for Science and Mathematics,All Students,108,4048,145,,145
47106,10,10X351,Bronx Collaborative High School,All Students,150,590,109,,150
41411,9,09X227,Bronx Collegiate Academy,All Students,95,1555,135,,135
40010,8,08X561,Bronx Compass High School,All Students,120,572,102,,120
36791,7,07X522,Bronx Design and Construction Academy,All Students,195,547,87,,195
42491,9,09X324,Bronx Early College Academy for Teaching & Learning,All Students,81,672,130, Guaranteed offer to continuing 8th grade students who apply,130
45841,10,10X213,Bronx Engineering and Technology Academy,All Students,108,851,143,,143
56165,12,12X511,Bronx Envision Academy,All Students,108,443,116,,116
51549,11,11X249,Bronx Health Sciences High School,All Students,108,1580,249,,249
48143,10,10X439,Bronx High School for Law and Community Service,All Students,108,2025,154,,154
43245,9,09X413,Bronx High School for Medical Science,All Students,81,1025,151, Guaranteed offer to continuing 8th grade students who apply,151
51662,11,11X253,Bronx High School for Writing and Communication Arts,All Students,108,418,33,,108
52574,11,11X418,Bronx High School for the Visual Arts,All Students,99,1089,149,,149
43163,9,09X412,Bronx High School of Business,All Students,133,628,146,,146
43033,9,09X403,Bronx International High School,All Students,108,414,15,,108
51727,11,11X265,Bronx Lab School,All Students,122,400,68,,122
55371,12,12X267,Bronx Latin,All Students,81,1818,117, Guaranteed offer to continuing 8th grade students who apply,117
43726,9,09X525,Bronx Leadership Academy High School,All Students,136,680,92,,136
36878,7,07X527,Bronx Leadership Academy II High School,All Students,99,1126,157,,157
39126,8,08X349,Bronx River High School,All Students,108,1575,177,,177
43525,9,09X505,Bronx School for Law Government and Justice,All Students,104,1932,129, Guaranteed offer to continuing 8th grade students who apply,129
46667,10,10X284,Bronx School of Law and Finance,All Students,108,624,120,,120
38488,8,08X269,Bronx Studio School for Writers and Artists,All Students,81,639,124, Guaranteed offer to continuing 8th grade students who apply,124
48987,10,10X546,Bronx Theatre High School,All Students,108,632,109,,109
53019,11,11X508,Bronxdale High School,All Students,98,2184,145,,145
71959,17,17K547,Brooklyn Academy of Science and the Environment,All Students,108,442,70,,108
66217,15,15K448,Brooklyn Collaborative Studies,All Students,90,716,130, Guaranteed offer to continuing 8th grade students who apply,130
86892,22,22K555,Brooklyn College Academy,All Students,160,3490,201,,201
88415,23,23K493,Brooklyn Collegiate: A College Board School,All Students,81,709,164,,164
58103,13,13K412,Brooklyn Community Arts & Media High School (BCAM),All Students,142,912,139,,142
74121,18,18K566,Brooklyn Community High School for Excellence and Equity,All Students,75,497,90,,90
65700,15,15K423,Brooklyn Frontiers High School,All Students,65,45,5,,65
69165,16,16K498,Brooklyn High School for Law and Technology,All Students,151,1700,281,,281
67083,15,15K656,Brooklyn High School of the Arts,All Students,254,1886,260,,260
72596,17,17K745,Brooklyn Institute for Liberal Arts,All Students,150,1179,252,,252
58734,13,13K439,Brooklyn International High School,All Students,81,362,65,,81
77176,19,19K639,Brooklyn Lab School,All Students,102,730,94,,102
62827,14,14K488,Brooklyn Preparatory High School,All Students,141,1672,210,,210
72067,17,17K548,Brooklyn School for Music & Theatre,All Students,108,543,67,,108
84385,21,21K690,Brooklyn Studio Secondary School,All Students,102,814,159, Guaranteed offer to continuing 8th grade students who apply,159
74222,18,18K567,Brooklyn Theatre Arts High School,All Students,120,503,59,,120
121049,32,32K556,Bushwick Leaders High School for Academic Excellence,All Students,130,652,113,,130
10877,2,02M393,Business Of Sports School,All Students,129,1626,199,,199
99109,26,26Q315,Business Technology Early College High School,All Students,108,1036,157,,157
117090,31,31R047,CSI High School for International Studies,All Students,105,1369,209,,209
110729,29,29Q326,Cambria Heights Academy,All Students,81,670,147,,147
36966,7,07X548,Careers in Sports High School,All Students,125,876,191,,191
48390,10,10X442,Celia Cruz Bronx High School of Music The,All Students,130,565,164,,164
28553,4,04M555,Central Park East High School,All Students,115,4943,214,,214
101782,27,27Q262,Channel View School for Research,All Students,163,803,240, Guaranteed offer to continuing 8th grade students who apply,240
19399,2,02M615,Chelsea Career and Technical Education High School,All Students,122,1319,174,,174
33132,6,06M293,City College Academy of the Arts,All Students,81,1695,96, Guaranteed offer to continuing 8th grade students who apply,96
59943,13,13K674,City Polytechnic High School of Engineering Architecture and Technology,All Students,108,1488,156,,156
90926,24,24Q293,Civic Leadership Academy,All Students,142,1864,187,,187
72368,17,17K600,Clara Barton High School,All Students,427,1182,319,,427
43908,9,09X564,Claremont International HS,All Students,81,300,12,,81
66898,15,15K519,Cobble Hill School of American Studies,All Students,220,802,94,,220
52059,11,11X288,Collegiate Institute for Math and Science,All Students,120,2574,176,,176
30521,5,05M362,Columbia Secondary School,All Students,96,4382,142, Guaranteed offer to continuing 8th grade students who apply,142
33563,6,06M346,Community Health Academy of the Heights,All Students,75,770,99, Guaranteed offer to continuing 8th grade students who apply,99
36399,7,07X427,Community School for Social Justice,All Students,81,359,114,,114
42585,9,09X327,Comprehensive Model School Project M.S. 327,All Students,90,1216,110, Guaranteed offer to continuing 8th grade students who apply,110
48932,10,10X524,Crotona International High School,All Students,81,271,21,,81
74595,18,18K629,Cultural Academy for the Arts and Sciences,All Students,108,464,57,,108
118083,31,31R450,Curtis High School,All Students,689,1392,662, Guaranteed offer to students who live in the zoned area,689
66527,15,15K463,Cyberarts Studio Academy,All Students,125,205,20,,125
77345,19,19K659,Cypress Hills Collegiate Preparatory School,All Students,108,476,129,,129
48249,10,10X440,DeWitt Clinton High School,All Students,412,1509,333,,412
65734,15,15K429,Digital Arts and Cinema Technology High School,All Students,90,1009,125,,125
49063,10,10X549,Discovery High School,All Students,108,1483,161,,161
57429,13,13K265,Dr. Susan S. McKinney Secondary School of the Arts,All Students,80,466,80, Guaranteed offer to continuing 8th grade students who apply,80
42748,9,09X329,DreamYard Preparatory School,All Students,108,469,174,,174
120601,32,32K545,EBC High School for Public Service - Bushwick,All Students,126,623,139,,139
41537,9,09X231,Eagle Academy for Young Men,All Students,65,556,92, Guaranteed offer to continuing 8th grade students who apply,92
88722,23,23K644,Eagle Academy for Young Men II,All Students,92,461,120, Guaranteed offer to continuing 8th grade students who apply,120
110832,29,29Q327,Eagle Academy for Young Men III,All Students,75,261,89, Guaranteed offer to continuing 8th grade students who apply,89
29933,5,05M148,Eagle Academy for Young Men of Harlem,All Students,100,240,75, Guaranteed offer to continuing 8th grade students who apply,100
55479,12,12X271,East Bronx Academy for the Future,All Students,81,612,146, Guaranteed offer to continuing 8th grade students who apply,146
76110,19,19K409,East New York Family Academy,All Students,84,489,122, Guaranteed offer to continuing 8th grade students who apply,122
1741,1,01M450,East Side Community School,All Students,95,1869,118, Guaranteed offer to continuing 8th grade students who apply,118
62536,14,14K477,East Williamsburg Scholars Academy,All Students,234,641,110,,234
95808,25,25Q281,East-West School of International Studies,All Students,89,769,136, Guaranteed offer to continuing 8th grade students who apply,136
83684,21,21K525,Edward R. Murrow High School,All Students,932,6389,1180,,1180
63835,14,14K685,El Puente Academy for Peace and Justice,All Students,55,269,64,,64
13128,2,02M416,Eleanor Roosevelt High School,All Students,125,5796,345,,345
113337,30,30Q258,Energy Tech High School,All Students,108,1954,138,,138
102919,27,27Q334,Epic High School - North,All Students,70,786,105,,105
102437,27,27Q314,Epic High School - South,All Students,81,384,91,,91
27811,4,04M372,Esperanza Preparatory Academy,All Students,68,288,70, Guaranteed offer to continuing 8th grade students who apply,70
8182,2,02M294,Essex Street Academy,All Students,81,2733,115,,115
110109,29,29Q265,Excelsior Preparatory High School,All Students,108,529,156,,156
41776,9,09X250,Eximius College Preparatory Academy: A College Board School,All Students,108,1516,161,,161
55288,12,12X251,Explorations Academy H.S.,All Students,108,663,102,,108
76300,19,19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,All Students,108,422,79,,108
9098,2,02M303,Facing History School The,All Students,107,470,185,,185
56384,12,12X682,Fannie Lou Hamer Freedom High School,All Students,110,455,155,,155
96371,25,25Q460,Flushing High School,All Students,353,1315,443, Priority to students who live in the zoned area,443
95706,25,25Q263,Flushing International High School,All Students,90,438,49,,90
7735,2,02M288,Food and Finance High School,All Students,108,1609,158,,158
47903,10,10X437,Fordham High School for the Arts,All Students,108,1873,156,,156
48034,10,10X438,Fordham Leadership Academy,All Students,108,2299,152,,152
106512,28,28Q440,Forest Hills High School,All Students,460,7693,878, Guaranteed offer to students who live in the zoned area,878
80105,20,20K490,Fort Hamilton High School,All Students,234,4890,1127, Guaranteed offer to students who live in the zoned area,1127
99497,26,26Q430,Francis Lewis High School,All Students,307,9390,1134, Guaranteed offer to students who live in the zoned area,1134
24289,3,03M417,Frank McCourt High School,All Students,108,1912,156,,156
114617,30,30Q501,Frank Sinatra School of the Arts High School,All Students,212,2987,322,,322
80290,20,20K505,Franklin Delano Roosevelt High School,All Students,505,2639,788, Guaranteed offer to students who live in the zoned area,788
30951,5,05M499,Frederick Douglass Academy,All Students,320,1395,359, Guaranteed offer to continuing 8th grade students who apply,359
25798,3,03M860,Frederick Douglass Academy II Secondary School,All Students,95,458,81, Guaranteed offer to continuing 8th grade students who apply,95
43657,9,09X517,Frederick Douglass Academy III Secondary School,All Students,108,425,68,,108
101699,27,27Q260,Frederick Douglass Academy VI High School,All Students,108,239,40,,108
88520,23,23K514,Frederick Douglass Academy VII High School,All Students,108,262,33,,108
117574,31,31R064,Gaynor McCown Expeditionary Learning School,All Students,108,610,161,,161
110269,29,29Q272,George Washington Carver High School for the Sciences,All Students,108,438,86,,108
59619,13,13K605,George Westinghouse Career and Technical Education High School,All Students,252,1095,201,,252
39745,8,08X452,Gotham Collaborative High School,All Students,108,282,48,,108
59335,13,13K594,Gotham Professional Arts Academy,All Students,81,285,82,,82
10198,2,02M374,Gramercy Arts High School,All Students,180,855,190,,190
34652,6,06M552,Gregorio Luperon High School for Science and Mathematics,All Students,170,498,65,,170
91646,24,24Q485,Grover Cleveland High School,All Students,250,1168,398, Guaranteed offer to students who live in the zoned area,398
35991,7,07X259,H.E.R.O. High (Health Education and Research Occupations High School),All Students,108,788,167,,167
52687,11,11X455,Harry S Truman High School,All Students,754,2123,609, Guaranteed offer to students who live in the zoned area,754
17573,2,02M534,Harvest Collegiate High School,All Students,116,2146,170,,170
37336,7,07X670,Health Opportunities High School,All Students,75,404,56,,75
39521,8,08X405,Herbert H. Lehman High School,All Students,249,1418,429, Priority to students who live in the zoned area,429
28971,4,04M680,Heritage School The,All Students,80,644,136,,136
92136,24,24Q550,High School for Arts and Business,All Students,191,2771,240,,240
76408,19,19K504,High School for Civil Rights,All Students,108,343,29,,108
106107,28,28Q328,High School for Community Leadership,All Students,108,702,171,,171
103573,27,27Q650,High School for Construction Trades Engineering and Architecture,All Students,249,2561,304,,304
53508,11,11X544,High School for Contemporary Arts,All Students,108,687,103,,108
18155,2,02M545,High School for Dual Language and Asian Studies,All Students,108,1201,144,,144
49145,10,10X565,High School for Energy and Technology,All Students,108,663,171,,171
11362,2,02M400,High School for Environmental Studies,All Students,300,2529,418,,418
33886,6,06M423,High School for Excellence and Innovation,All Students,60,32,16,,60
34236,6,06M468,High School for Health Careers and Sciences,All Students,175,710,205,,205
13854,2,02M420,High School for Health Professions and Human Services,All Students,442,3655,523,,523
74522,18,18K617,High School for Innovation in Advertising and Media,All Students,81,258,66,,81
24935,3,03M492,High School for Law Advocacy and Community Justice,All Students,140,970,176,,176
107746,28,28Q690,High School for Law Enforcement and Public Safety,All Students,146,488,138,,146
34100,6,06M467,High School for Law and Public Service,All Students,169,660,97,,169
34009,6,06M463,High School for Media and Communications,All Students,150,360,41,,150
74717,18,18K633,High School for Medical Professions,All Students,108,1416,200,,200
71822,17,17K546,High School for Public Service: Heroes of Tomorrow,All Students,130,1333,194,,194
71586,17,17K539,High School for Service & Learning at Erasmus,All Students,108,302,52,,108
47732,10,10X433,High School for Teaching and the Professions,All Students,96,561,146,,146
43803,9,09X543,High School for Violin and Dance,All Students,108,293,43,,108
71481,17,17K537,High School for Youth and Community Development at Erasmus,All Students,108,510,178,,178
90762,24,24Q267,High School of Applied Communication,All Students,108,703,139,,139
25122,3,03M494,High School of Arts and Technology,All Students,140,888,127,,140
51911,11,11X275,High School of Computers and Technology,All Students,147,887,116,,147
16017,2,02M489,High School of Economics and Finance,All Students,200,1784,241,,241
8409,2,02M296,High School of Hospitality Management,All Students,108,607,78,,108
53124,11,11X509,High School of Language and Innovation,All Students,108,247,11,,108
83268,21,21K348,High School of Sports Management,All Students,108,353,78,,108
79955,20,20K485,High School of Telecommunication Arts and Technology,All Students,308,3393,400,,400
56323,12,12X550,High School of World Cultures,All Students,108,164,9,,108
106734,28,28Q505,Hillcrest High School,All Students,536,2484,774, Guaranteed offer to students who live in the zoned area,774
105986,28,28Q325,Hillside Arts & Letters Academy,All Students,108,640,167,,167
36676,7,07X500,Hostos-Lincoln Academy of Science,All Students,81,1562,110, Guaranteed offer to continuing 8th grade students who apply,110
14744,2,02M437,Hudson High School of Learning Technologies,All Students,120,431,58,,120
111143,29,29Q498,Humanities & Arts Magnet High School,All Students,170,678,151,,170
19224,2,02M605,Humanities Preparatory Academy,All Students,55,729,83,,83
47341,10,10X368,In-Tech Academy (M.S. / High School 368),All Students,140,818,161, Guaranteed offer to continuing 8th grade students who apply,161
18120,2,02M544,Independence High School,All Students,30,27,3,,30
114872,30,30Q502,Information Technology High School,All Students,225,1217,290,,290
11586,2,02M407,Institute for Collaborative Education,All Students,67,972,86, Guaranteed offer to continuing 8th grade students who apply,86
109849,29,29Q243,Institute for Health Professions at Cambria Heights,All Students,108,593,193,,193
36198,7,07X334,International Community High School,All Students,81,350,27,,81
91981,24,24Q530,International High School at LaGuardia Community College,All Students,119,723,92,,119
83121,21,21K337,International High School at Lafayette,All Students,90,212,21,,90
71196,17,17K524,International High School at Prospect Heights,All Students,108,197,23,,108
14895,2,02M438,International High School at Union Square,All Students,68,253,26,,68
90414,24,24Q236,International High School for Health Sciences,All Students,81,404,24,,81
47032,10,10X342,International School for Liberal Arts,All Students,81,306,74, Guaranteed offer to continuing 8th grade students who apply,81
32892,6,06M211,Inwood Early College for Health and Information Technologies,All Students,81,1626,110,,110
74006,18,18K563,It Takes a Village Academy,All Students,162,875,117,,162
17073,2,02M529,Jacqueline Kennedy Onassis High School,All Students,166,221,47,,166
106309,28,28Q350,Jamaica Gateway to the Sciences,All Students,108,1341,158,,158
86506,22,22K425,James Madison High School,All Students,250,5874,826, Guaranteed offer to students who live in the zoned area,826
103394,27,27Q480,John Adams High School,All Students,506,2019,701, Guaranteed offer to students who live in the zoned area,701
96177,25,25Q425,John Bowne High School,All Students,520,2704,846, Guaranteed offer to students who live in the zoned area,846
83849,21,21K540,John Dewey High School,All Students,506,2970,694,,694
66344,15,15K462,John Jay School for Law,All Students,125,1671,196,,196
61100,14,14K071,Juan Morel Campos Secondary School,All Students,89,418,92, Guaranteed offer to continuing 8th grade students who apply,92
67022,15,15K592,Khalil Gibran International Academy,All Students,81,109,19,,81
83520,21,21K468,Kingsborough Early College School,All Students,110,1794,121, Guaranteed offer to continuing 8th grade students who apply,121
46531,10,10X268,Kingsbridge International High School,All Students,108,326,42,,108
47429,10,10X374,Knowledge and Power Preparatory Academy International High School (Kappa),All Students,108,3624,154,,154
74335,18,18K569,Kurt Hahn Expeditionary Learning School,All Students,81,189,39,,81
13700,2,02M419,Landmark High School,All Students,100,627,123,,123
84143,21,21K572,Leaders High School,All Students,90,463,139,,139
14295,2,02M425,Leadership and Public Service High School,All Students,276,421,57,,276
86667,22,22K535,Leon M. Goldstein High School for the Sciences,All Students,247,4536,511,,511
84500,21,21K728,Liberation Diploma Plus,All Students,30,17,4,,30
84032,21,21K559,Life Academy High School for Film and Music,All Students,81,342,64,,81
19869,2,02M655,Life Sciences Secondary School,All Students,152,556,169,,169
114434,30,30Q450,Long Island City High School,All Students,720,1787,580, Guaranteed offer to students who live in the zoned area,720
39848,8,08X530,Longwood Preparatory Academy,All Students,75,360,69,,75
9412,2,02M308,Lower Manhattan Arts Academy,All Students,88,1376,131,,131
63460,14,14K586,Lyons Community School,All Students,81,276,68, Guaranteed offer to continuing 8th grade students who apply,81
25294,3,03M541,Manhattan / Hunter Science High School,All Students,108,5439,204,,204
14449,2,02M427,Manhattan Academy For Arts & Language,All Students,108,317,25,,108
17790,2,02M542,Manhattan Bridges High School,All Students,135,717,154,,154
10667,2,02M392,Manhattan Business Academy,All Students,108,1338,147,,147
27999,4,04M435,Manhattan Center for Science and Mathematics,All Students,407,5183,644,,644
7230,2,02M280,Manhattan Early College School for Advertising,All Students,112,1291,147,,147
15531,2,02M459,Manhattan International High School,All Students,85,424,27,,85
15021,2,02M439,Manhattan Village Academy,All Students,100,4596,138,,138
48847,10,10X477,Marble Hill High School for International Studies,All Students,108,1122,170,,170
99729,26,26Q435,Martin Van Buren High School,All Students,268,1017,387, Priority to students who live in the zoned area,387
92515,24,24Q585,Maspeth High School,All Students,270,5468,325,,325
111042,29,29Q492,Mathematics Science Research and Technology Magnet High School,All Students,150,386,56,,150
72182,17,17K590,Medgar Evers College Preparatory School,All Students,220,2950,286, Guaranteed offer to continuing 8th grade students who apply,286
88834,23,23K647,Metropolitan Diploma Plus High School,All Students,30,29,5,,30
105074,28,28Q167,Metropolitan Expeditionary Learning School,All Students,119,1905,130, Guaranteed offer to continuing 8th grade students who apply,130
55192,12,12X248,Metropolitan High School The,All Students,147,241,43,,147
91800,24,24Q520,Middle College High School at LaGuardia Community College,All Students,97,2237,105,,105
86256,22,22K405,Midwood High School,All Students,1059,9913,1713,,1713
38813,8,08X312,Millennium Art Academy,All Students,83,796,125,,125
67409,15,15K684,Millennium Brooklyn HS,All Students,156,5753,312,,312
13414,2,02M418,Millennium High School,All Students,156,6395,270,,270
42229,9,09X297,Morris Academy for Collaborative Studies,All Students,123,895,180,,180
41857,9,09X252,Mott Hall Bronx High School,All Students,87,1440,123,,123
30386,5,05M304,Mott Hall High School,All Students,108,391,41,,108
55092,12,12X242,Mott Hall V,All Students,81,1691,110, Guaranteed offer to continuing 8th grade students who apply,110
36475,7,07X473,Mott Haven Village Preparatory High School,All Students,81,310,56,,81
76777,19,19K583,Multicultural High School,All Students,111,220,40,,111
14590,2,02M432,Murray Hill Academy,All Students,90,302,125,,125
16865,2,02M520,Murry Bergtraum High School for Business Careers,All Students,240,342,88,,240
12361,2,02M412,N.Y.C. Lab School for Collaborative Studies,All Students,97,3172,176,,176
12876,2,02M414,N.Y.C. Museum School,All Students,124,3416,252,,252
10403,2,02M376,NYC iSchool,All Students,118,4547,161,,161
69598,16,16K765,Nelson Mandela High School,All Students,108,379,50,,108
17911,2,02M543,New Design High School,All Students,125,1534,206,,206
42850,9,09X350,New Directions Secondary School,All Students,25,116,23, Guaranteed offer to continuing 8th grade students who apply,25
117840,31,31R440,New Dorp High School,All Students,542,2170,980, Guaranteed offer to students who live in the zoned area,980
2080,1,01M539,New Explorations into Science Technology and Math High School,All Students,150,6203,409, Guaranteed offer to continuing 8th grade students who apply,409
79763,20,20K445,New Utrecht High School,All Students,347,4496,891, Guaranteed offer to students who live in the zoned area,891
53174,11,11X513,New World High School,All Students,108,884,93,,108
114977,30,30Q555,Newcomers High School,All Students,81,255,52,,81
91513,24,24Q455,Newtown High School,All Students,246,1287,501, Priority to students who live in the zoned area,501
839,1,01M292,Orchard Collegiate Academy,All Students,90,755,148,,148
87076,22,22K611,Origins High School,All Students,108,239,202,,202
62407,14,14K474,PROGRESS High School for Professional Careers,All Students,153,584,90,,153
8693,2,02M298,Pace High School,All Students,150,3104,212,,212
91091,24,24Q296,Pan American International High School,All Students,108,311,41,,108
55866,12,12X388,Pan American International High School at Monroe,All Students,108,394,42,,108
28269,4,04M495,Park East High School,All Students,92,3112,132,,132
66596,15,15K464,Park Slope Collegiate,All Students,102,784,144, Guaranteed offer to continuing 8th grade students who apply,144
110043,29,29Q259,Pathways College Preparatory School: A College Board School,All Students,81,271,92, Guaranteed offer to continuing 8th grade students who apply,92
70078,17,17K122,Pathways in Technology Early College High School (P-Tech),All Students,108,1114,162,,162
38934,8,08X320,Pelham Lab High School,All Students,108,648,104,,108
53393,11,11X542,Pelham Preparatory Academy,All Students,118,3487,176,,176
76509,19,19K507,Performing Arts and Technology High School,All Students,125,1153,165,,165
117982,31,31R445,Port Richmond High School,All Students,427,936,434, Guaranteed offer to students who live in the zoned area,434
110389,29,29Q283,Preparatory Academy for Writers: A College Board School,All Students,81,268,73, Guaranteed offer to continuing 8th grade students who apply,81
87154,22,22K630,Professional Pathways High School,All Students,30,15,3,,30
11832,2,02M408,Professional Performing Arts High School,All Students,128,1123,191, Guaranteed offer to continuing 8th grade students who apply,191
105872,28,28Q310,Queens Collegiate: A College Board School,All Students,81,509,107, Guaranteed offer to continuing 8th grade students who apply,107
107115,28,28Q680,Queens Gateway to Health Sciences Secondary School,All Students,108,1579,147, Guaranteed offer to continuing 8th grade students who apply,147
101995,27,27Q302,Queens High School for Information Research and Technology,All Students,108,550,196,,196
95312,25,25Q241,Queens High School for Language Studies,All Students,108,579,139,,139
100039,26,26Q566,Queens High School of Teaching Liberal Arts and the Sciences,All Students,260,785,315,,315
109957,29,29Q248,Queens Preparatory Academy,All Students,108,291,31,,108
95580,25,25Q252,Queens School of Inquiry The,All Students,89,809,132, Guaranteed offer to continuing 8th grade students who apply,132
92730,24,24Q600,Queens Technical High School,All Students,350,3558,414,,414
14108,2,02M422,Quest to Learn,All Students,108,507,89, Guaranteed offer to continuing 8th grade students who apply,108
83195,21,21K344,Rachel Carson High School for Coastal Studies,All Students,102,348,94,,102
118502,31,31R600,Ralph R. McKee Career and Technical Education High School,All Students,307,714,243,,307
38634,8,08X293,Renaissance High School for Musical Theater and the Arts,All Students,105,817,150,,150
17197,2,02M531,Repertory Company High School for Theatre Arts,All Students,60,451,72,,72
18833,2,02M580,Richard R. Green High School of Teaching,All Students,160,267,127,,160
103258,27,27Q475,Richmond Hill High School,All Students,210,1214,393, Priority to students who live in the zoned area,393
45619,10,10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),All Students,160,1182,251, Guaranteed offer to continuing 8th grade students who apply,251
96936,25,25Q670,Robert F. Kennedy Community High School,All Students,150,480,177,,177
92334,24,24Q560,Robert F. Wagner Jr. Secondary School for Arts and Technology,All Students,120,1979,145, Guaranteed offer to continuing 8th grade students who apply,145
102153,27,27Q308,Robert H. Goddard High School of Communication Arts and Technology,All Students,140,1452,173,,173
103016,27,27Q351,Rockaway Collegiate High School,All Students,135,217,53,,135
102835,27,27Q324,Rockaway Park High School for Environmental Sustainability,All Students,108,222,57,,108
102636,27,27Q323,Scholars' Academy,All Students,154,1527,199, Guaranteed offer to continuing 8th grade students who apply,199
77749,19,19K683,School for Classics High School,All Students,108,191,63,,108
43101,9,09X404,School for Excellence,All Students,108,300,21,,108
71384,17,17K531,School for Human Rights The,All Students,116,322,29,,116
39967,8,08X559,School for Tourism and Hospitality,All Students,135,147,13,,135
12618,2,02M413,School of the Future High School,All Students,108,2455,145, Guaranteed offer to continuing 8th grade students who apply,145
39069,8,08X348,Schuylerville Preparatory High School,All Students,108,608,68,,108
58241,13,13K419,Science Skills Center High School for Science Technology and the Creative Arts,All Students,258,1227,189,,258
71677,17,17K543,Science Technology and Research Early College High School at Erasmus,All Students,89,1080,138, Guaranteed offer to continuing 8th grade students who apply,138
35720,7,07X221,South Bronx Preparatory: A College Board School,All Students,95,1956,118, Guaranteed offer to continuing 8th grade students who apply,118
25577,3,03M859,Special Music School,All Students,40,376,69, Guaranteed offer to continuing 8th grade students who apply,69
76193,19,19K422,Spring Creek Community School,All Students,76,435,97, Guaranteed offer to continuing 8th grade students who apply,97
5238,2,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,All Students,108,486,91,,108
67282,15,15K667,Sunset Park High School,All Students,358,1295,403,,403
118354,31,31R460,Susan E. Wagner High School,All Students,335,2629,895, Guaranteed offer to students who live in the zoned area,895
16641,2,02M519,Talent Unlimited High School,All Students,136,1169,173,,173
88942,23,23K697,Teachers Preparatory High School,All Students,84,188,31,,84
