,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 Seats Available - Notes
34503,6,06M540,A. Philip Randolph Campus High School,Residential District 02,,24,s,
34504,6,06M540,A. Philip Randolph Campus High School,Residential District 03,,64,16,
34505,6,06M540,A. Philip Randolph Campus High School,Residential District 04,,100,21,
34506,6,06M540,A. Philip Randolph Campus High School,Residential District 05,,238,67,
34507,6,06M540,A. Philip Randolph Campus High School,Residential District 06,,287,77,
34508,6,06M540,A. Philip Randolph Campus High School,Residential District 07,,129,23,
34509,6,06M540,A. Philip Randolph Campus High School,Residential District 08,,99,29,
34510,6,06M540,A. Philip Randolph Campus High School,Residential District 09,,323,101,
34511,6,06M540,A. Philip Randolph Campus High School,Residential District 10,,234,72,
34512,6,06M540,A. Philip Randolph Campus High School,Residential District 11,,162,45,
34513,6,06M540,A. Philip Randolph Campus High School,Residential District 12,,89,27,
34514,6,06M540,A. Philip Randolph Campus High School,Residential District 13,,6,s,
34515,6,06M540,A. Philip Randolph Campus High School,Residential District 14,,6,s,
34516,6,06M540,A. Philip Randolph Campus High School,Residential District 15,,s,s,
34517,6,06M540,A. Philip Randolph Campus High School,Residential District 16,,s,s,
34518,6,06M540,A. Philip Randolph Campus High School,Residential District 17,,14,s,
34519,6,06M540,A. Philip Randolph Campus High School,Residential District 18,,11,s,
34520,6,06M540,A. Philip Randolph Campus High School,Residential District 19,,25,s,
34521,6,06M540,A. Philip Randolph Campus High School,Residential District 20,,s,s,
34522,6,06M540,A. Philip Randolph Campus High School,Residential District 21,,s,s,
34523,6,06M540,A. Philip Randolph Campus High School,Residential District 22,,12,s,
34524,6,06M540,A. Philip Randolph Campus High School,Residential District 23,,12,s,
34525,6,06M540,A. Philip Randolph Campus High School,Residential District 24,,34,6,
34526,6,06M540,A. Philip Randolph Campus High School,Residential District 25,,6,s,
34527,6,06M540,A. Philip Randolph Campus High School,Residential District 26,,s,s,
34528,6,06M540,A. Philip Randolph Campus High School,Residential District 27,,14,s,
34529,6,06M540,A. Philip Randolph Campus High School,Residential District 28,,6,s,
34530,6,06M540,A. Philip Randolph Campus High School,Residential District 29,,12,s,
34531,6,06M540,A. Philip Randolph Campus High School,Residential District 30,,25,6,
34532,6,06M540,A. Philip Randolph Campus High School,Residential District 31,,s,s,
34533,6,06M540,A. Philip Randolph Campus High School,Residential District 32,,s,s,
34534,6,06M540,A. Philip Randolph Campus High School,Residential District Unknown,,s,s,
59123,13,13K499,ACORN Community High School,Residential District 01,,s,s,
59124,13,13K499,ACORN Community High School,Residential District 03,,s,s,
59125,13,13K499,ACORN Community High School,Residential District 04,,s,s,
59126,13,13K499,ACORN Community High School,Residential District 05,,s,s,
59127,13,13K499,ACORN Community High School,Residential District 06,,s,s,
59128,13,13K499,ACORN Community High School,Residential District 08,,s,s,
59129,13,13K499,ACORN Community High School,Residential District 10,,s,s,
59130,13,13K499,ACORN Community High School,Residential District 11,,s,s,
59131,13,13K499,ACORN Community High School,Residential District 12,,s,s,
59132,13,13K499,ACORN Community High School,Residential District 13,,43,s,
59133,13,13K499,ACORN Community High School,Residential District 14,,23,s,
59134,13,13K499,ACORN Community High School,Residential District 15,,10,s,
59135,13,13K499,ACORN Community High School,Residential District 16,,20,s,
59136,13,13K499,ACORN Community High School,Residential District 17,,52,7,
59137,13,13K499,ACORN Community High School,Residential District 18,,23,s,
59138,13,13K499,ACORN Community High School,Residential District 19,,57,s,
59139,13,13K499,ACORN Community High School,Residential District 20,,7,s,
59140,13,13K499,ACORN Community High School,Residential District 21,,8,s,
59141,13,13K499,ACORN Community High School,Residential District 22,,18,s,
59142,13,13K499,ACORN Community High School,Residential District 23,,32,s,
59143,13,13K499,ACORN Community High School,Residential District 24,,11,s,
59144,13,13K499,ACORN Community High School,Residential District 27,,12,s,
59145,13,13K499,ACORN Community High School,Residential District 28,,s,s,
59146,13,13K499,ACORN Community High School,Residential District 29,,s,s,
59147,13,13K499,ACORN Community High School,Residential District 30,,s,s,
59148,13,13K499,ACORN Community High School,Residential District 32,,15,s,
83426,21,21K410,Abraham Lincoln High School,Residential District 01,,s,s,
83427,21,21K410,Abraham Lincoln High School,Residential District 03,,s,s,
83428,21,21K410,Abraham Lincoln High School,Residential District 05,,s,s,
83429,21,21K410,Abraham Lincoln High School,Residential District 07,,s,s,
83430,21,21K410,Abraham Lincoln High School,Residential District 09,,s,s,
83431,21,21K410,Abraham Lincoln High School,Residential District 10,,s,s,
83432,21,21K410,Abraham Lincoln High School,Residential District 12,,s,s,
83433,21,21K410,Abraham Lincoln High School,Residential District 13,,46,11,
83434,21,21K410,Abraham Lincoln High School,Residential District 14,,23,6,
83435,21,21K410,Abraham Lincoln High School,Residential District 15,,91,23,
83436,21,21K410,Abraham Lincoln High School,Residential District 16,,37,6,
83437,21,21K410,Abraham Lincoln High School,Residential District 17,,154,52,
83438,21,21K410,Abraham Lincoln High School,Residential District 18,,165,51,
83439,21,21K410,Abraham Lincoln High School,Residential District 19,,187,48,
83440,21,21K410,Abraham Lincoln High School,Residential District 20,,163,38,
83441,21,21K410,Abraham Lincoln High School,Residential District 21,,357,181,
83442,21,21K410,Abraham Lincoln High School,Residential District 22,,488,157,
83443,21,21K410,Abraham Lincoln High School,Residential District 23,,94,16,
83444,21,21K410,Abraham Lincoln High School,Residential District 24,,s,s,
83445,21,21K410,Abraham Lincoln High School,Residential District 25,,s,s,
83446,21,21K410,Abraham Lincoln High School,Residential District 27,,11,s,
83447,21,21K410,Abraham Lincoln High School,Residential District 28,,s,s,
83448,21,21K410,Abraham Lincoln High School,Residential District 29,,s,s,
83449,21,21K410,Abraham Lincoln High School,Residential District 30,,s,s,
83450,21,21K410,Abraham Lincoln High School,Residential District 31,,s,s,
83451,21,21K410,Abraham Lincoln High School,Residential District 32,,28,s,
83452,21,21K410,Abraham Lincoln High School,Residential District Unknown,,s,s,
113981,30,30Q301,Academy for Careers in Television and Film,Residential District 01,,9,s,
113982,30,30Q301,Academy for Careers in Television and Film,Residential District 02,,69,7,
113983,30,30Q301,Academy for Careers in Television and Film,Residential District 03,,18,s,
113984,30,30Q301,Academy for Careers in Television and Film,Residential District 04,,15,s,
113985,30,30Q301,Academy for Careers in Television and Film,Residential District 05,,17,s,
113986,30,30Q301,Academy for Careers in Television and Film,Residential District 06,,8,s,
113987,30,30Q301,Academy for Careers in Television and Film,Residential District 07,,17,s,
113988,30,30Q301,Academy for Careers in Television and Film,Residential District 08,,26,s,
113989,30,30Q301,Academy for Careers in Television and Film,Residential District 09,,28,s,
113990,30,30Q301,Academy for Careers in Television and Film,Residential District 10,,33,s,
113991,30,30Q301,Academy for Careers in Television and Film,Residential District 11,,27,s,
113992,30,30Q301,Academy for Careers in Television and Film,Residential District 12,,18,s,
113993,30,30Q301,Academy for Careers in Television and Film,Residential District 13,,34,s,
113994,30,30Q301,Academy for Careers in Television and Film,Residential District 14,,82,7,
113995,30,30Q301,Academy for Careers in Television and Film,Residential District 15,,58,s,
113996,30,30Q301,Academy for Careers in Television and Film,Residential District 16,,11,s,
113997,30,30Q301,Academy for Careers in Television and Film,Residential District 17,,17,s,
113998,30,30Q301,Academy for Careers in Television and Film,Residential District 18,,15,s,
113999,30,30Q301,Academy for Careers in Television and Film,Residential District 19,,59,s,
114000,30,30Q301,Academy for Careers in Television and Film,Residential District 20,,8,s,
114001,30,30Q301,Academy for Careers in Television and Film,Residential District 21,,9,s,
114002,30,30Q301,Academy for Careers in Television and Film,Residential District 22,,25,s,
114003,30,30Q301,Academy for Careers in Television and Film,Residential District 23,,12,s,
114004,30,30Q301,Academy for Careers in Television and Film,Residential District 24,,530,36,
114005,30,30Q301,Academy for Careers in Television and Film,Residential District 25,,106,7,
114006,30,30Q301,Academy for Careers in Television and Film,Residential District 26,,42,s,
114007,30,30Q301,Academy for Careers in Television and Film,Residential District 27,,111,7,
114008,30,30Q301,Academy for Careers in Television and Film,Residential District 28,,122,9,
114009,30,30Q301,Academy for Careers in Television and Film,Residential District 29,,98,6,
114010,30,30Q301,Academy for Careers in Television and Film,Residential District 30,,619,46,
114011,30,30Q301,Academy for Careers in Television and Film,Residential District 31,,10,s,
114012,30,30Q301,Academy for Careers in Television and Film,Residential District 32,,12,s,
114013,30,30Q301,Academy for Careers in Television and Film,Residential District Unknown,,s,s,
70802,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 01,,s,s,
70803,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 02,,s,s,
70804,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 03,,s,s,
70805,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 04,,s,s,
70806,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 05,,s,s,
70807,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 06,,s,s,
70808,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 07,,6,s,
70809,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 08,,s,s,
70810,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 09,,8,s,
70811,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 10,,8,s,
70812,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 11,,13,s,
70813,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 12,,12,s,
70814,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 13,,6,s,
70815,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 14,,s,s,
70816,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 15,,17,s,
70817,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 16,,10,s,
70818,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 17,,83,26,
70819,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 18,,46,s,
70820,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 19,,47,6,
70821,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 20,,22,s,
70822,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 21,,13,s,
70823,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 22,,73,9,
70824,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 23,,19,s,
70825,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 24,,17,s,
70826,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 25,,s,s,
70827,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 26,,s,s,
70828,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 27,,16,s,
70829,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 28,,s,s,
70830,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 29,,10,s,
70831,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 30,,s,s,
70832,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 31,,s,s,
70833,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District 32,,9,s,
70834,17,17K382,Academy for College Preparation and Career Exploration: A College Board School,Residential District Unknown,,s,s,
74908,18,18K637,Academy for Conservation and the Environment,Residential District 01,,s,s,
74909,18,18K637,Academy for Conservation and the Environment,Residential District 02,,s,s,
74910,18,18K637,Academy for Conservation and the Environment,Residential District 03,,s,s,
74911,18,18K637,Academy for Conservation and the Environment,Residential District 04,,s,s,
74912,18,18K637,Academy for Conservation and the Environment,Residential District 05,,s,s,
74913,18,18K637,Academy for Conservation and the Environment,Residential District 06,,s,s,
74914,18,18K637,Academy for Conservation and the Environment,Residential District 07,,s,s,
74915,18,18K637,Academy for Conservation and the Environment,Residential District 09,,s,s,
74916,18,18K637,Academy for Conservation and the Environment,Residential District 10,,s,s,
74917,18,18K637,Academy for Conservation and the Environment,Residential District 11,,9,s,
74918,18,18K637,Academy for Conservation and the Environment,Residential District 12,,7,s,
74919,18,18K637,Academy for Conservation and the Environment,Residential District 13,,13,s,
74920,18,18K637,Academy for Conservation and the Environment,Residential District 14,,s,s,
74921,18,18K637,Academy for Conservation and the Environment,Residential District 15,,9,s,
74922,18,18K637,Academy for Conservation and the Environment,Residential District 16,,17,s,
74923,18,18K637,Academy for Conservation and the Environment,Residential District 17,,51,s,
74924,18,18K637,Academy for Conservation and the Environment,Residential District 18,,155,52,
74925,18,18K637,Academy for Conservation and the Environment,Residential District 19,,132,18,
74926,18,18K637,Academy for Conservation and the Environment,Residential District 20,,19,s,
74927,18,18K637,Academy for Conservation and the Environment,Residential District 21,,24,s,
74928,18,18K637,Academy for Conservation and the Environment,Residential District 22,,151,96,
74929,18,18K637,Academy for Conservation and the Environment,Residential District 23,,55,11,
74930,18,18K637,Academy for Conservation and the Environment,Residential District 24,,17,s,
74931,18,18K637,Academy for Conservation and the Environment,Residential District 25,,s,s,
74932,18,18K637,Academy for Conservation and the Environment,Residential District 26,,s,s,
74933,18,18K637,Academy for Conservation and the Environment,Residential District 27,,34,s,
74934,18,18K637,Academy for Conservation and the Environment,Residential District 28,,14,s,
74935,18,18K637,Academy for Conservation and the Environment,Residential District 29,,12,s,
74936,18,18K637,Academy for Conservation and the Environment,Residential District 30,,7,s,
74937,18,18K637,Academy for Conservation and the Environment,Residential District 31,,s,s,
74938,18,18K637,Academy for Conservation and the Environment,Residential District 32,,16,s,
120493,32,32K403,Academy for Excellence in Leadership,Residential District 01,,s,s,
120494,32,32K403,Academy for Excellence in Leadership,Residential District 03,,s,s,
120495,32,32K403,Academy for Excellence in Leadership,Residential District 05,,s,s,
120496,32,32K403,Academy for Excellence in Leadership,Residential District 07,,6,s,
120497,32,32K403,Academy for Excellence in Leadership,Residential District 08,,s,s,
120498,32,32K403,Academy for Excellence in Leadership,Residential District 09,,9,s,
120499,32,32K403,Academy for Excellence in Leadership,Residential District 10,,10,s,
120500,32,32K403,Academy for Excellence in Leadership,Residential District 11,,s,s,
120501,32,32K403,Academy for Excellence in Leadership,Residential District 12,,10,s,
120502,32,32K403,Academy for Excellence in Leadership,Residential District 13,,14,s,
120503,32,32K403,Academy for Excellence in Leadership,Residential District 14,,21,s,
120504,32,32K403,Academy for Excellence in Leadership,Residential District 15,,s,s,
120505,32,32K403,Academy for Excellence in Leadership,Residential District 16,,29,s,
120506,32,32K403,Academy for Excellence in Leadership,Residential District 17,,15,s,
120507,32,32K403,Academy for Excellence in Leadership,Residential District 18,,17,s,
120508,32,32K403,Academy for Excellence in Leadership,Residential District 19,,70,7,
120509,32,32K403,Academy for Excellence in Leadership,Residential District 20,,s,s,
120510,32,32K403,Academy for Excellence in Leadership,Residential District 21,,s,s,
120511,32,32K403,Academy for Excellence in Leadership,Residential District 22,,9,s,
120512,32,32K403,Academy for Excellence in Leadership,Residential District 23,,35,s,
120513,32,32K403,Academy for Excellence in Leadership,Residential District 24,,84,19,
120514,32,32K403,Academy for Excellence in Leadership,Residential District 25,,s,s,
120515,32,32K403,Academy for Excellence in Leadership,Residential District 26,,s,s,
120516,32,32K403,Academy for Excellence in Leadership,Residential District 27,,20,s,
120517,32,32K403,Academy for Excellence in Leadership,Residential District 28,,8,s,
120518,32,32K403,Academy for Excellence in Leadership,Residential District 29,,8,s,
120519,32,32K403,Academy for Excellence in Leadership,Residential District 30,,6,s,
120520,32,32K403,Academy for Excellence in Leadership,Residential District 31,,s,s,
120521,32,32K403,Academy for Excellence in Leadership,Residential District 32,,148,18,
120522,32,32K403,Academy for Excellence in Leadership,Residential District Unknown,,s,s,
72737,17,17K751,Academy for Health Careers,Residential District 01,,s,s,
72738,17,17K751,Academy for Health Careers,Residential District 02,,s,s,
72739,17,17K751,Academy for Health Careers,Residential District 03,,s,s,
72740,17,17K751,Academy for Health Careers,Residential District 04,,s,s,
72741,17,17K751,Academy for Health Careers,Residential District 05,,s,s,
72742,17,17K751,Academy for Health Careers,Residential District 06,,s,s,
72743,17,17K751,Academy for Health Careers,Residential District 07,,6,s,
72744,17,17K751,Academy for Health Careers,Residential District 08,,s,s,
72745,17,17K751,Academy for Health Careers,Residential District 09,,s,s,
72746,17,17K751,Academy for Health Careers,Residential District 10,,10,s,
72747,17,17K751,Academy for Health Careers,Residential District 11,,7,s,
72748,17,17K751,Academy for Health Careers,Residential District 12,,s,s,
72749,17,17K751,Academy for Health Careers,Residential District 13,,42,s,
72750,17,17K751,Academy for Health Careers,Residential District 14,,14,s,
72751,17,17K751,Academy for Health Careers,Residential District 15,,18,s,
72752,17,17K751,Academy for Health Careers,Residential District 16,,47,9,
72753,17,17K751,Academy for Health Careers,Residential District 17,,115,19,
72754,17,17K751,Academy for Health Careers,Residential District 18,,67,15,
72755,17,17K751,Academy for Health Careers,Residential District 19,,122,7,
72756,17,17K751,Academy for Health Careers,Residential District 20,,21,s,
72757,17,17K751,Academy for Health Careers,Residential District 21,,6,s,
72758,17,17K751,Academy for Health Careers,Residential District 22,,58,9,
72759,17,17K751,Academy for Health Careers,Residential District 23,,64,9,
72760,17,17K751,Academy for Health Careers,Residential District 24,,26,s,
72761,17,17K751,Academy for Health Careers,Residential District 25,,s,s,
72762,17,17K751,Academy for Health Careers,Residential District 26,,s,s,
72763,17,17K751,Academy for Health Careers,Residential District 27,,40,s,
72764,17,17K751,Academy for Health Careers,Residential District 28,,7,s,
72765,17,17K751,Academy for Health Careers,Residential District 29,,16,s,
72766,17,17K751,Academy for Health Careers,Residential District 30,,8,s,
72767,17,17K751,Academy for Health Careers,Residential District 31,,9,s,
72768,17,17K751,Academy for Health Careers,Residential District 32,,34,s,
72769,17,17K751,Academy for Health Careers,Residential District Unknown,,s,s,
42963,9,09X365,Academy for Language and Technology,Residential District 01,,s,s,
42964,9,09X365,Academy for Language and Technology,Residential District 03,,s,s,
42965,9,09X365,Academy for Language and Technology,Residential District 05,,9,s,
42966,9,09X365,Academy for Language and Technology,Residential District 06,,51,s,
42967,9,09X365,Academy for Language and Technology,Residential District 07,,61,s,
42968,9,09X365,Academy for Language and Technology,Residential District 08,,60,6,
42969,9,09X365,Academy for Language and Technology,Residential District 09,,241,28,
42970,9,09X365,Academy for Language and Technology,Residential District 10,,295,57,
42971,9,09X365,Academy for Language and Technology,Residential District 11,,45,s,
42972,9,09X365,Academy for Language and Technology,Residential District 12,,63,s,
42973,9,09X365,Academy for Language and Technology,Residential District 19,,s,s,
42974,9,09X365,Academy for Language and Technology,Residential District 20,,s,s,
42975,9,09X365,Academy for Language and Technology,Residential District 22,,s,s,
42976,9,09X365,Academy for Language and Technology,Residential District 23,,s,s,
42977,9,09X365,Academy for Language and Technology,Residential District 24,,s,s,
42978,9,09X365,Academy for Language and Technology,Residential District 25,,s,s,
42979,9,09X365,Academy for Language and Technology,Residential District 27,,s,s,
42980,9,09X365,Academy for Language and Technology,Residential District 28,,s,s,
42981,9,09X365,Academy for Language and Technology,Residential District 30,,s,s,
42982,9,09X365,Academy for Language and Technology,Residential District 31,,s,s,
42983,9,09X365,Academy for Language and Technology,Residential District 32,,s,s,
51820,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 01,,s,s,
51821,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 03,,s,s,
51822,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 04,,s,s,
51823,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 05,,s,s,
51824,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 06,,s,s,
51825,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 07,,13,s,
51826,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 08,,19,s,
51827,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 09,,57,9,
51828,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 10,,69,7,
51829,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 11,,332,79,
51830,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 12,,34,s,
51831,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 14,,s,s,
51832,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 15,,s,s,
51833,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 16,,s,s,
51834,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 17,,s,s,
51835,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 18,,s,s,
51836,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 19,,s,s,
51837,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 20,,s,s,
51838,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 21,,s,s,
51839,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 22,,s,s,
51840,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 23,,s,s,
51841,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 24,,s,s,
51842,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 26,,s,s,
51843,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 27,,s,s,
51844,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 28,,s,s,
51845,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 29,,s,s,
51846,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 30,,6,s,
51847,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District 31,,s,s,
51848,11,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Residential District Unknown,,s,s,
18432,2,02M546,Academy for Software Engineering,Residential District 01,,84,8,
18433,2,02M546,Academy for Software Engineering,Residential District 02,,277,s,
18434,2,02M546,Academy for Software Engineering,Residential District 03,,114,6,
18435,2,02M546,Academy for Software Engineering,Residential District 04,,133,7,
18436,2,02M546,Academy for Software Engineering,Residential District 05,,137,7,
18437,2,02M546,Academy for Software Engineering,Residential District 06,,206,9,
18438,2,02M546,Academy for Software Engineering,Residential District 07,,77,s,
18439,2,02M546,Academy for Software Engineering,Residential District 08,,134,6,
18440,2,02M546,Academy for Software Engineering,Residential District 09,,204,7,
18441,2,02M546,Academy for Software Engineering,Residential District 10,,214,7,
18442,2,02M546,Academy for Software Engineering,Residential District 11,,167,11,
18443,2,02M546,Academy for Software Engineering,Residential District 12,,121,s,
18444,2,02M546,Academy for Software Engineering,Residential District 13,,44,s,
18445,2,02M546,Academy for Software Engineering,Residential District 14,,48,s,
18446,2,02M546,Academy for Software Engineering,Residential District 15,,80,s,
18447,2,02M546,Academy for Software Engineering,Residential District 16,,25,s,
18448,2,02M546,Academy for Software Engineering,Residential District 17,,65,s,
18449,2,02M546,Academy for Software Engineering,Residential District 18,,36,s,
