Residential District,Total Applicants,# Matches to Choice 1-3,# Matches to Choice 1-5,# Matches to Choice 1-10,# Matches to Choice 1-12,# Matches to Any Choice (Incl. SHS & LGA),% Matches to Choice 1-3,% Matches to Choice 1-5,% Matches to Choice 1-10,% Matches to Choice 1-12,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 16,753,730,750,753,753,# Matches to Any Choice (Incl. SHS & LGA),97%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 17,1800,1732,1791,1797,1797,# Matches to Any Choice (Incl. SHS & LGA),96%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 18,1565,1543,1562,1565,1565,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 19,2402,2379,2400,2401,2401,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 20,3853,3792,3807,3809,3809,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 21,2387,2375,2380,2381,2381,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 22,3185,3167,3180,3181,3181,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 23,1015,1013,1013,1015,1015,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 24,4947,4189,4704,4874,4875,# Matches to Any Choice (Incl. SHS & LGA),85%,95%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 25,2802,2617,2723,2729,2729,# Matches to Any Choice (Incl. SHS & LGA),93%,97%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 26,2125,2091,2094,2094,2094,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 27,3950,3932,3944,3948,3948,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 28,2779,2750,2761,2766,2766,# Matches to Any Choice (Incl. SHS & LGA),99%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 29,2816,2813,2815,2816,2816,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 30,3131,3081,3102,3118,3119,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 31,4783,4735,4735,4735,4735,# Matches to Any Choice (Incl. SHS & LGA),99%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 32,1024,1018,1023,1024,1024,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Total,74266,66948,70039,71704,71776,# Matches to Any Choice (Incl. SHS & LGA),90%,94%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
