,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 Seats Available - Notes,max_offers_and_seats
32471,2,02M393,Business Of Sports School,All Students,129,983,182,,182
110639,26,26Q315,Business Technology Early College High School,All Students,108,887,146,,146
112478,31,31R047,CSI High School for International Studies,All Students,118,1665,164,,164
111607,29,29Q326,Cambria Heights Academy,All Students,81,547,104,,104
32832,7,07X548,Careers in Sports High School,All Students,125,797,158,,158
33106,10,10X442,Celia Cruz Bronx High School of Music The,All Students,140,515,124,,140
32667,4,04M555,Central Park East High School,All Students,115,4540,196,,196
110824,27,27Q262,Channel View School for Research,All Students,175,697,205, Guaranteed offer to continuing 8th grade students who apply,205
32518,2,02M615,Chelsea Career and Technical Education High School,All Students,125,847,141,,141
32761,6,06M293,City College Academy of the Arts,All Students,81,1182,92, Guaranteed offer to continuing 8th grade students who apply,92
108401,13,13K674,City Polytechnic High School of Engineering Archi,All Students,108,1422,139,,139
110129,24,24Q293,Civic Leadership Academy,All Students,142,1270,178,,178
108814,17,17K600,Clara Barton High School,All Students,435,957,243,,435
32988,9,09X564,Claremont International HS,All Students,81,414,33,,81
108605,15,15K519,Cobble Hill School of American Studies,All Students,224,437,86,,224
33215,11,11X288,Collegiate Institute for Math and Science,All Students,120,2307,166,,166
32711,5,05M362,Columbia Secondary School,All Students,112,4002,146, Guaranteed offer to continuing 8th grade students who apply,146
32768,6,06M346,Community Health Academy of the Heights,All Students,75,612,92, Guaranteed offer to continuing 8th grade students who apply,92
32826,7,07X427,Community School for Social Justice,All Students,81,221,27,,81
32972,9,09X327,Comprehensive Model School Project M.S. 327,All Students,96,886,103, Guaranteed offer to continuing 8th grade students who apply,103
33110,10,10X524,Crotona International High School,All Students,81,367,19,,81
108941,18,18K629,Cultural Academy for the Arts and Sciences,All Students,108,502,81,,108
112558,31,31R450,Curtis High School,All Students,695,1260,605, Guaranteed offer to students who live in the zoned area,695
108598,15,15K463,Cyberarts Studio Academy,All Students,125,212,38,,125
109054,19,19K659,Cypress Hills Collegiate Preparatory School,All Students,99,483,112,,112
33105,10,10X440,DeWitt Clinton High School,All Students,395,2015,430,,430
108592,15,15K429,Digital Arts and Cinema Technology High School,All Students,90,938,120,,120
33112,10,10X549,Discovery High School,All Students,108,1113,148,,148
108367,13,13K265,Dr. Susan S. McKinney Secondary School of the Arts,All Students,102,473,55, Guaranteed offer to continuing 8th grade students who apply,102
32974,9,09X329,DreamYard Preparatory School,All Students,115,514,131,,131
113994,32,32K545,EBC High School for Public Service - Bushwick,All Students,126,561,96,,126
32958,9,09X231,Eagle Academy for Young Men,All Students,65,384,92, Guaranteed offer to continuing 8th grade students who apply,92
109996,23,23K644,Eagle Academy for Young Men II,All Students,92,429,118, Guaranteed offer to continuing 8th grade students who apply,118
111608,29,29Q327,Eagle Academy for Young Men III,All Students,75,252,85, Guaranteed offer to continuing 8th grade students who apply,85
32705,5,05M148,Eagle Academy for Young Men of Harlem,All Students,100,209,57, Guaranteed offer to continuing 8th grade students who apply,100
108273,12,12X271,East Bronx Academy for the Future,All Students,81,623,116, Guaranteed offer to continuing 8th grade students who apply,116
109022,19,19K409,East New York Family Academy,All Students,134,733,149, Guaranteed offer to continuing 8th grade students who apply,149
32409,1,01M450,East Side Community School,All Students,95,1082,108, Guaranteed offer to continuing 8th grade students who apply,108
108482,14,14K477,East Williamsburg Scholars Academy,All Students,234,568,85,,234
110401,25,25Q281,East-West School of International Studies,All Students,89,816,116, Guaranteed offer to continuing 8th grade students who apply,116
109485,21,21K525,Edward R. Murrow High School,All Students,932,6071,1098,,1098
108496,14,14K685,El Puente Academy for Peace and Justice,All Students,70,142,39,,70
32481,2,02M416,Eleanor Roosevelt High School,All Students,125,8091,209,,209
32472,2,02M394,Emma Lazarus High School,All Students,60,80,6,,60
111916,30,30Q258,Energy Tech High School,All Students,119,1303,134,,134
110835,27,27Q334,Epic High School - North,All Students,70,469,88,,88
110830,27,27Q314,Epic High School - South,All Students,95,434,118,,118
32663,4,04M372,Esperanza Preparatory Academy,All Students,74,346,91, Guaranteed offer to continuing 8th grade students who apply,91
32457,2,02M294,Essex Street Academy,All Students,81,2358,102,,102
111601,29,29Q265,Excelsior Preparatory High School,All Students,108,401,85,,108
32961,9,09X250,Eximius College Preparatory Academy: A College Boa,All Students,108,890,173,,173
108270,12,12X251,Explorations Academy H.S.,All Students,117,349,38,,117
109025,19,19K502,FDNY - Captain Vernon A. Richard High School for F,All Students,108,305,75,,108
32462,2,02M303,Facing History School The,All Students,107,312,151,,151
108296,12,12X682,Fannie Lou Hamer Freedom High School,All Students,110,373,99,,110
110430,25,25Q460,Flushing High School,All Students,353,1384,455, Priority to students who live in the zoned area,455
110400,25,25Q263,Flushing International High School,All Students,90,492,81,,90
32455,2,02M288,Food and Finance High School,All Students,108,1178,143,,143
33102,10,10X437,Fordham High School for the Arts,All Students,108,1914,116,,116
33103,10,10X438,Fordham Leadership Academy,All Students,108,2207,145,,145
111214,28,28Q440,Forest Hills High School,All Students,460,6941,867, Guaranteed offer to students who live in the zoned area,867
32410,1,01M458,Forsyth Satellite Academy,All Students,28,31,4,,28
109258,20,20K490,Fort Hamilton High School,All Students,234,4501,1050, Guaranteed offer to students who live in the zoned area,1050
110641,26,26Q430,Francis Lewis High School,All Students,318,8788,1105, Guaranteed offer to students who live in the zoned area,1105
32614,3,03M417,Frank McCourt High School,All Students,108,1285,150,,150
111926,30,30Q501,Frank Sinatra School of the Arts High School,All Students,212,3277,322,,322
109260,20,20K505,Franklin Delano Roosevelt High School,All Students,506,2585,835, Guaranteed offer to students who live in the zoned area,835
32714,5,05M499,Frederick Douglass Academy,All Students,323,975,283, Guaranteed offer to continuing 8th grade students who apply,323
32621,3,03M860,Frederick Douglass Academy II Secondary School,All Students,95,393,112, Guaranteed offer to continuing 8th grade students who apply,112
32985,9,09X517,Frederick Douglass Academy III Secondary School,All Students,108,394,45,,108
110789,27,27Q260,Frederick Douglass Academy VI High School,All Students,108,264,45,,108
109992,23,23K514,Frederick Douglass Academy VII High School,All Students,108,548,121,,121
112551,31,31R064,Gaynor McCown Expeditionary Learning School,All Students,146,718,204,,204
111603,29,29Q272,George Washington Carver High School for the Scien,All Students,129,541,87,,129
108394,13,13K605,George Westinghouse Career and Technical Education,All Students,260,1227,193,,260
32894,8,08X452,Gotham Collaborative High School,All Students,120,291,56,,120
108391,13,13K594,Gotham Professional Arts Academy,All Students,81,348,57,,81
32468,2,02M374,Gramercy Arts High School,All Students,204,1186,161,,204
32777,6,06M552,Gregorio Luperon High School for Science and Mathe,All Students,170,473,129,,170
110137,24,24Q485,Grover Cleveland High School,All Students,258,1264,377, Guaranteed offer to students who live in the zoned area,377
32821,7,07X259,H.E.R.O. High (Health Education and Research Occ,All Students,243,935,233,,243
33222,11,11X455,Harry S Truman High School,All Students,765,1333,360, Guaranteed offer to students who live in the zoned area,765
32505,2,02M534,Harvest Collegiate High School,All Students,119,1297,162,,162
32515,2,02M586,Harvey Milk High School,All Students,45,85,20,,45
32837,7,07X670,Health Opportunities High School,All Students,75,349,29,,75
32890,8,08X405,Herbert H. Lehman High School,All Students,342,1956,529, Priority to students who live in the zoned area,529
32669,4,04M680,Heritage School The,All Students,80,672,134,,134
32513,2,02M560,High School M560 - City As School,All Students,25,59,5, Guaranteed offer to continuing 8th grade students who apply,25
110156,24,24Q550,High School for Arts and Business,All Students,191,2532,242,,242
109026,19,19K504,High School for Civil Rights,All Students,108,319,30,,108
111210,28,28Q328,High School for Community Leadership,All Students,108,479,142,,142
110877,27,27Q650,High School for Construction Trades Engineering a,All Students,252,2550,306,,306
33235,11,11X544,High School for Contemporary Arts,All Students,128,639,76,,128
32509,2,02M545,High School for Dual Language and Asian Studies,All Students,108,1033,127,,127
33113,10,10X565,High School for Energy and Technology,All Students,108,667,149,,149
32474,2,02M400,High School for Environmental Studies,All Students,300,2116,398,,398
32770,6,06M423,High School for Excellence and Innovation,All Students,60,40,7,,60
32774,6,06M468,High School for Health Careers and Sciences,All Students,259,588,86,,259
32484,2,02M420,High School for Health Professions and Human Servi,All Students,442,2984,529,,529
108940,18,18K617,High School for Innovation in Advertising and Medi,All Students,81,370,61,,81
32617,3,03M492,High School for Law Advocacy and Community Justic,All Students,140,860,170,,170
111220,28,28Q690,High School for Law Enforcement and Public Safety,All Students,174,446,121,,174
32773,6,06M467,High School for Law and Public Service,All Students,170,524,78,,170
32772,6,06M463,High School for Media and Communications,All Students,150,531,85,,150
108942,18,18K633,High School for Medical Professions,All Students,108,722,131,,131
108808,17,17K546,High School for Public Service: Heroes of Tomorrow,All Students,130,799,167,,167
108806,17,17K539,High School for Service & Learning at Erasmus,All Students,108,245,58,,108
33100,10,10X433,High School for Teaching and the Professions,All Students,96,377,103,,103
32987,9,09X543,High School for Violin and Dance,All Students,108,171,34,,108
108803,17,17K537,High School for Youth and Community Development at,All Students,140,495,102,,140
110128,24,24Q267,High School of Applied Communication,All Students,108,517,91,,108
32618,3,03M494,High School of Arts and Technology,All Students,140,1006,132,,140
33213,11,11X275,High School of Computers and Technology,All Students,186,970,181,,186
32496,2,02M489,High School of Economics and Finance,All Students,200,1480,241,,241
32458,2,02M296,High School of Hospitality Management,All Students,129,265,42,,129
33229,11,11X509,High School of Language and Innovation,All Students,108,307,29,,108
109464,21,21K348,High School of Sports Management,All Students,176,272,55,,176
109257,20,20K485,High School of Telecommunication Arts and Technolo,All Students,312,3462,377,,377
108294,12,12X550,High School of World Cultures,All Students,108,290,13,,108
111215,28,28Q505,Hillcrest High School,All Students,604,2355,664, Guaranteed offer to students who live in the zoned area,664
111209,28,28Q325,Hillside Arts & Letters Academy,All Students,108,424,140,,140
32829,7,07X500,Hostos-Lincoln Academy of Science,All Students,90,1222,119, Guaranteed offer to continuing 8th grade students who apply,119
32489,2,02M437,Hudson High School of Learning Technologies,All Students,122,378,59,,122
111612,29,29Q498,Humanities & Arts Magnet High School,All Students,196,1150,211,,211
32517,2,02M605,Humanities Preparatory Academy,All Students,55,838,82,,82
33095,10,10X368,In-Tech Academy (M.S. / High School 368),All Students,140,784,164, Guaranteed offer to continuing 8th grade students who apply,164
32508,2,02M544,Independence High School,All Students,30,18,1,,30
111986,30,30Q502,Information Technology High School,All Students,228,823,170,,228
32475,2,02M407,Institute for Collaborative Education,All Students,61,829,76, Guaranteed offer to continuing 8th grade students who apply,76
111555,29,29Q243,Institute for Health Professions at Cambria Height,All Students,108,505,92,,108
32824,7,07X334,International Community High School,All Students,81,186,24,,81
110155,24,24Q530,International High School at LaGuardia Community C,All Students,119,957,113,,119
109462,21,21K337,International High School at Lafayette,All Students,90,270,25,,90
108794,17,17K524,International High School at Prospect Heights,All Students,108,187,21,,108
32490,2,02M438,International High School at Union Square,All Students,68,255,32,,68
110104,24,24Q236,International High School for Health Sciences,All Students,81,515,51,,81
33091,10,10X342,International School for Liberal Arts,All Students,81,249,76, Guaranteed offer to continuing 8th grade students who apply,81
32758,6,06M211,Inwood Early College for Health and Information Te,All Students,81,848,108,,108
108927,18,18K563,It Takes a Village Academy,All Students,162,558,70,,162
32502,2,02M529,Jacqueline Kennedy Onassis High School,All Students,200,400,96,,200
111212,28,28Q350,Jamaica Gateway to the Sciences,All Students,108,1049,138,,138
32466,2,02M313,James Baldwin School The: A School for Expedition,All Students,25,64,21,,25
109763,22,22K425,James Madison High School,All Students,250,5778,885, Guaranteed offer to students who live in the zoned area,885
110876,27,27Q480,John Adams High School,All Students,506,2144,683, Guaranteed offer to students who live in the zoned area,683
110429,25,25Q425,John Bowne High School,All Students,783,3051,952, Guaranteed offer to students who live in the zoned area,952
109486,21,21K540,John Dewey High School,All Students,586,2374,553,,586
108597,15,15K462,John Jay School for Law,All Students,125,1161,177,,177
108474,14,14K071,Juan Morel Campos Secondary School,All Students,95,413,100, Guaranteed offer to continuing 8th grade students who apply,100
108606,15,15K592,Khalil Gibran International Academy,All Students,81,82,21,,81
109484,21,21K468,Kingsborough Early College School,All Students,110,1113,121, Guaranteed offer to continuing 8th grade students who apply,121
33081,10,10X268,Kingsbridge International High School,All Students,108,241,10,,108
33096,10,10X374,Knowledge and Power Preparatory Academy Internatio,All Students,108,2068,165,,165
108930,18,18K569,Kurt Hahn Expeditionary Learning School,All Students,81,142,14,,81
32483,2,02M419,Landmark High School,All Students,100,398,88,,100
109488,21,21K572,Leaders High School,All Students,90,360,101,,101
32486,2,02M425,Leadership and Public Service High School,All Students,276,528,122,,276
109764,22,22K535,Leon M. Goldstein High School for the Sciences,All Students,259,4012,479,,479
109491,21,21K728,Liberation Diploma Plus,All Students,30,11,0,,30
32511,2,02M550,Liberty High School Academy for Newcomers,All Students,50,62,8,,50
109487,21,21K559,Life Academy High School for Film and Music,All Students,81,204,159,,159
111925,30,30Q450,Long Island City High School,All Students,720,1536,468, Guaranteed offer to students who live in the zoned area,720
32896,8,08X530,Longwood Preparatory Academy,All Students,100,382,74,,100
32411,1,01M515,Lower East Side Preparatory High School,All Students,60,187,43,,60
32464,2,02M308,Lower Manhattan Arts Academy,All Students,95,737,103,,103
108490,14,14K586,Lyons Community School,All Students,81,262,69, Guaranteed offer to continuing 8th grade students who apply,81
32619,3,03M541,Manhattan / Hunter Science High School,All Students,108,5483,214,,214
32487,2,02M427,Manhattan Academy For Arts & Language,All Students,108,304,13,,108
32506,2,02M542,Manhattan Bridges High School,All Students,135,654,122,,135
32470,2,02M392,Manhattan Business Academy,All Students,108,1279,156,,156
32665,4,04M435,Manhattan Center for Science and Mathematics,All Students,411,5247,716,,716
32453,2,02M280,Manhattan Early College School for Advertising,All Students,112,684,134,,134
32494,2,02M459,Manhattan International High School,All Students,85,583,26,,85
32491,2,02M439,Manhattan Village Academy,All Students,100,3424,164,,164
33109,10,10X477,Marble Hill High School for International Studies,All Students,108,1030,155,,155
110642,26,26Q435,Martin Van Buren High School,All Students,268,919,324, Priority to students who live in the zoned area,324
110158,24,24Q585,Maspeth High School,All Students,270,5312,342,,342
111611,29,29Q492,Mathematics Science Research and Technology Magne,All Students,150,508,94,,150
108813,17,17K590,Medgar Evers College Preparatory School,All Students,220,2002,282, Guaranteed offer to continuing 8th grade students who apply,282
109997,23,23K647,Metropolitan Diploma Plus High School,All Students,30,17,1,,30
111165,28,28Q167,Metropolitan Expeditionary Learning School,All Students,119,1396,145, Guaranteed offer to continuing 8th grade students who apply,145
108268,12,12X248,Metropolitan High School The,All Students,149,297,33,,149
110138,24,24Q520,Middle College High School at LaGuardia Community,All Students,97,1725,121,,121
109762,22,22K405,Midwood High School,All Students,1060,10445,1529,,1529
32881,8,08X312,Millennium Art Academy,All Students,83,615,112,,112
108612,15,15K684,Millennium Brooklyn HS,All Students,175,5732,315,,315
32482,2,02M418,Millennium High School,All Students,168,6281,231,,231
32966,9,09X297,Morris Academy for Collaborative Studies,All Students,123,689,180,,180
32962,9,09X252,Mott Hall Bronx High School,All Students,87,1067,120,,120
32709,5,05M304,Mott Hall High School,All Students,108,329,50,,108
108266,12,12X242,Mott Hall V,All Students,81,1134,92, Guaranteed offer to continuing 8th grade students who apply,92
32827,7,07X473,Mott Haven Village Preparatory High School,All Students,81,320,45,,81
109043,19,19K583,Multicultural High School,All Students,111,249,35,,111
32488,2,02M432,Murray Hill Academy,All Students,90,548,91,,91
32500,2,02M520,Murry Bergtraum High School for Business Careers,All Students,240,276,46,,240
32478,2,02M412,N.Y.C. Lab School for Collaborative Studies,All Students,98,3913,143,,143
32480,2,02M414,N.Y.C. Museum School,All Students,124,3142,176,,176
32469,2,02M376,NYC iSchool,All Students,118,3009,150,,150
108719,16,16K765,Nelson Mandela High School,All Students,108,263,26,,108
111923,30,30Q417,New 2022 D. 30 HS in Building Q450,All Students,100,318,82, Guaranteed offer to continuing 8th grade students who apply,100
32507,2,02M543,New Design High School,All Students,125,873,167,,167
32976,9,09X350,New Directions Secondary School,All Students,25,97,8,,25
112556,31,31R440,New Dorp High School,All Students,560,2163,931, Guaranteed offer to students who live in the zoned area,931
32412,1,01M539,New Explorations into Science Technology and Math,All Students,150,3342,294, Guaranteed offer to continuing 8th grade students who apply,294
109256,20,20K445,New Utrecht High School,All Students,351,4461,730, Guaranteed offer to students who live in the zoned area,730
33230,11,11X513,New World High School,All Students,108,520,60,,108
111987,30,30Q555,Newcomers High School,All Students,81,373,71,,81
110136,24,24Q455,Newtown High School,All Students,246,1291,532, Priority to students who live in the zoned area,532
110434,25,25Q792,North Queens Community High School,All Students,15,9,1,,15
108943,18,18K635,Olympus Academy,All Students,15,6,5,,15
650,1,01M292,Orchard Collegiate Academy,All Students,90,348,80,,90
109766,22,22K611,Origins High School,All Students,108,271,184,,184
108481,14,14K474,PROGRESS High School for Professional Careers,All Students,153,409,68,,153
32460,2,02M298,Pace High School,All Students,160,1857,218,,218
110130,24,24Q296,Pan American International High School,All Students,108,445,32,,108
108284,12,12X388,Pan American International High School at Monroe,All Students,108,346,27,,108
32666,4,04M495,Park East High School,All Students,100,2243,125,,125
108603,15,15K464,Park Slope Collegiate,All Students,102,731,106, Guaranteed offer to continuing 8th grade students who apply,106
111557,29,29Q259,Pathways College Preparatory School: A College Boa,All Students,186,321,178, Guaranteed offer to continuing 8th grade students who apply,186
108772,17,17K122,Pathways in Technology Early College High School (,All Students,108,853,139,,139
32882,8,08X320,Pelham Lab High School,All Students,108,554,58,,108
33234,11,11X542,Pelham Preparatory Academy,All Students,118,2527,171,,171
109041,19,19K507,Performing Arts and Technology High School,All Students,125,1038,141,,141
112557,31,31R445,Port Richmond High School,All Students,433,984,547, Guaranteed offer to students who live in the zoned area,547
111604,29,29Q283,Preparatory Academy for Writers: A College Board S,All Students,106,203,59, Guaranteed offer to continuing 8th grade students who apply,106
109767,22,22K630,Professional Pathways High School,All Students,30,8,5,,30
32476,2,02M408,Professional Performing Arts High School,All Students,124,1238,165, Guaranteed offer to continuing 8th grade students who apply,165
110432,25,25Q540,Queens Academy High School,All Students,20,0,2, Guaranteed offer to continuing 8th grade students who apply,20
111207,28,28Q310,Queens Collegiate: A College Board School,All Students,94,451,102, Guaranteed offer to continuing 8th grade students who apply,102
111217,28,28Q680,Queens Gateway to Health Sciences Secondary School,All Students,108,1244,155, Guaranteed offer to continuing 8th grade students who apply,155
110827,27,27Q302,Queens High School for Information Research and,All Students,108,642,168,,168
110397,25,25Q241,Queens High School for Language Studies,All Students,108,493,128,,128
110644,26,26Q566,Queens High School of Teaching Liberal Arts and t,All Students,260,779,353,,353
111218,28,28Q686,Queens Metropolitan High School,All Students,256,2768,249, Priority to students who live in the zoned area,256
111556,29,29Q248,Queens Preparatory Academy,All Students,108,326,68,,108
110399,25,25Q252,Queens School of Inquiry The,All Students,89,769,121, Guaranteed offer to continuing 8th grade students who apply,121
110159,24,24Q600,Queens Technical High School,All Students,350,3668,393,,393
32485,2,02M422,Quest to Learn,All Students,108,281,75, Guaranteed offer to continuing 8th grade students who apply,108
109463,21,21K344,Rachel Carson High School for Coastal Studies,All Students,155,372,155,,155
112561,31,31R600,Ralph R. McKee Career and Technical Education High,All Students,317,705,257,,317
32878,8,08X293,Renaissance High School for Musical Theater and th,All Students,105,808,141,,141
32503,2,02M531,Repertory Company High School for Theatre Arts,All Students,60,402,46,,60
32514,2,02M580,Richard R. Green High School of Teaching,All Students,160,463,122,,160
110838,27,27Q475,Richmond Hill High School,All Students,210,1321,439, Priority to students who live in the zoned area,439
33068,10,10X141,Riverdale / Kingsbridge Academy (Middle School / H,All Students,181,830,245, Guaranteed offer to continuing 8th grade students who apply,245
110433,25,25Q670,Robert F. Kennedy Community High School,All Students,150,933,190,,190
110157,24,24Q560,Robert F. Wagner Jr. Secondary School for Arts an,All Students,120,1639,155, Guaranteed offer to continuing 8th grade students who apply,155
110828,27,27Q308,Robert H. Goddard High School of Communication Art,All Students,140,1068,179,,179
110836,27,27Q351,Rockaway Collegiate High School,All Students,135,226,48,,135
110834,27,27Q324,Rockaway Park High School for Environmental Sustai,All Students,108,164,57,,108
110833,27,27Q323,Scholars' Academy,All Students,154,1047,214, Guaranteed offer to continuing 8th grade students who apply,214
109060,19,19K683,School for Classics High School,All Students,108,247,68,,108
32980,9,09X404,School for Excellence,All Students,113,199,29,,113
