Student_Id,Residential_District
student_61924,Residential District 01
student_33526,Residential District 01
student_21854,Residential District 01
student_54483,Residential District 01
student_25559,Residential District 01
student_47267,Residential District 01
student_18384,Residential District 01
student_71244,Residential District 01
student_18991,Residential District 01
student_28580,Residential District 01
student_22573,Residential District 01
student_44040,Residential District 01
student_12952,Residential District 01
student_34031,Residential District 01
student_1643,Residential District 01
student_58485,Residential District 01
student_21442,Residential District 01
student_50626,Residential District 01
student_8053,Residential District 01
student_42575,Residential District 01
student_43077,Residential District 01
student_46398,Residential District 01
student_53548,Residential District 01
student_39065,Residential District 01
student_49404,Residential District 01
student_21801,Residential District 01
student_29816,Residential District 01
student_50662,Residential District 01
student_4062,Residential District 01
student_30859,Residential District 01
student_25891,Residential District 01
student_41647,Residential District 01
student_6407,Residential District 01
student_45651,Residential District 01
student_32163,Residential District 01
student_66810,Residential District 01
student_69577,Residential District 01
student_25746,Residential District 01
student_52490,Residential District 01
student_63983,Residential District 01
student_15025,Residential District 01
student_61478,Residential District 01
student_1008,Residential District 01
student_14009,Residential District 01
student_52633,Residential District 01
student_9267,Residential District 01
student_22863,Residential District 01
student_39897,Residential District 01
student_27920,Residential District 01
student_7066,Residential District 01
student_60300,Residential District 01
student_41594,Residential District 01
student_49302,Residential District 01
student_27625,Residential District 01
student_51496,Residential District 01
student_42353,Residential District 01
student_2908,Residential District 01
student_2149,Residential District 01
student_56831,Residential District 01
student_44865,Residential District 01
student_50006,Residential District 01
student_68557,Residential District 01
student_23446,Residential District 01
student_36131,Residential District 01
student_25844,Residential District 01
student_4041,Residential District 01
student_39517,Residential District 01
student_3597,Residential District 01
student_42926,Residential District 01
student_55998,Residential District 01
student_32564,Residential District 01
student_7567,Residential District 01
student_44035,Residential District 01
student_62239,Residential District 01
student_23580,Residential District 01
student_45297,Residential District 01
student_5337,Residential District 01
student_1430,Residential District 01
student_30005,Residential District 01
student_32516,Residential District 01
student_30450,Residential District 01
student_26977,Residential District 01
student_59768,Residential District 01
student_49107,Residential District 01
student_22902,Residential District 01
student_69998,Residential District 01
student_1689,Residential District 01
student_40671,Residential District 01
student_50109,Residential District 01
student_53383,Residential District 01
student_1422,Residential District 01
student_7390,Residential District 01
student_13461,Residential District 01
student_26847,Residential District 01
student_40215,Residential District 01
student_28558,Residential District 01
student_51045,Residential District 01
student_27109,Residential District 01
student_16772,Residential District 01
student_16004,Residential District 01
student_43086,Residential District 01
student_65147,Residential District 01
student_28892,Residential District 01
student_18565,Residential District 01
student_47932,Residential District 01
student_8794,Residential District 01
student_13629,Residential District 01
student_15977,Residential District 01
student_48012,Residential District 01
student_71041,Residential District 01
student_47684,Residential District 01
student_32623,Residential District 01
student_61125,Residential District 01
student_777,Residential District 01
student_20366,Residential District 01
student_7809,Residential District 01
student_50666,Residential District 01
student_21169,Residential District 01
student_53862,Residential District 01
student_23567,Residential District 01
student_27565,Residential District 01
student_8347,Residential District 01
student_58375,Residential District 01
student_55792,Residential District 01
student_8363,Residential District 01
student_65828,Residential District 01
student_35908,Residential District 01
student_65596,Residential District 01
student_27013,Residential District 01
student_44958,Residential District 01
student_41042,Residential District 01
student_16713,Residential District 01
student_36047,Residential District 01
student_6511,Residential District 01
student_54458,Residential District 01
student_37917,Residential District 01
student_30605,Residential District 01
student_26117,Residential District 01
student_15939,Residential District 01
student_4197,Residential District 01
student_32351,Residential District 01
student_4509,Residential District 01
student_2667,Residential District 01
student_26845,Residential District 01
student_2130,Residential District 01
student_60743,Residential District 01
student_37626,Residential District 01
student_55420,Residential District 01
student_32926,Residential District 01
student_70120,Residential District 01
student_6477,Residential District 01
student_20513,Residential District 01
student_41943,Residential District 01
student_40733,Residential District 01
student_40468,Residential District 01
student_4319,Residential District 01
student_5750,Residential District 01
student_25056,Residential District 01
student_17717,Residential District 01
student_24069,Residential District 01
student_4432,Residential District 01
student_35633,Residential District 01
student_68753,Residential District 01
student_61037,Residential District 01
student_20237,Residential District 01
student_30142,Residential District 01
student_5546,Residential District 01
student_44263,Residential District 01
student_55725,Residential District 01
student_12094,Residential District 01
student_42253,Residential District 01
student_52523,Residential District 01
student_13728,Residential District 01
student_22965,Residential District 01
student_28616,Residential District 01
student_31499,Residential District 01
student_6394,Residential District 01
student_43375,Residential District 01
student_3295,Residential District 01
student_28016,Residential District 01
student_70436,Residential District 01
student_48761,Residential District 01
student_56861,Residential District 01
student_69510,Residential District 01
student_17859,Residential District 01
student_59948,Residential District 01
student_59675,Residential District 01
student_45441,Residential District 01
student_40139,Residential District 01
student_23575,Residential District 01
student_13847,Residential District 01
student_66585,Residential District 01
student_70454,Residential District 01
student_14529,Residential District 01
student_35168,Residential District 01
student_3553,Residential District 01
student_26130,Residential District 01
student_30335,Residential District 01
student_52501,Residential District 01
student_40706,Residential District 01
student_21464,Residential District 01
student_36049,Residential District 01
student_32534,Residential District 01
student_41603,Residential District 01
student_34142,Residential District 01
student_56612,Residential District 01
student_3410,Residential District 01
student_3671,Residential District 01
student_18753,Residential District 01
student_6954,Residential District 01
student_42000,Residential District 01
student_31717,Residential District 01
student_61542,Residential District 01
student_15223,Residential District 01
student_26606,Residential District 01
student_50106,Residential District 01
student_69591,Residential District 01
student_10901,Residential District 01
student_6874,Residential District 01
student_63406,Residential District 01
student_61930,Residential District 01
student_1351,Residential District 01
student_67094,Residential District 01
student_47190,Residential District 01
student_54293,Residential District 01
student_49632,Residential District 01
student_45307,Residential District 01
student_14812,Residential District 01
student_21469,Residential District 01
student_59916,Residential District 01
student_45546,Residential District 01
student_23756,Residential District 01
student_51576,Residential District 01
student_62617,Residential District 01
student_38562,Residential District 01
student_66001,Residential District 01
student_62114,Residential District 01
student_25136,Residential District 01
student_10033,Residential District 01
student_20617,Residential District 01
student_55316,Residential District 01
student_42439,Residential District 01
student_41904,Residential District 01
student_64488,Residential District 01
student_32501,Residential District 01
student_29382,Residential District 01
student_17163,Residential District 01
student_18426,Residential District 01
student_10802,Residential District 01
student_35916,Residential District 01
student_53778,Residential District 01
student_26302,Residential District 01
student_25602,Residential District 01
student_47528,Residential District 01
student_31778,Residential District 01
student_6104,Residential District 01
student_66880,Residential District 01
student_66443,Residential District 01
student_15308,Residential District 01
student_57760,Residential District 01
student_37293,Residential District 01
student_3557,Residential District 01
student_23751,Residential District 01
student_30709,Residential District 01
student_18422,Residential District 01
student_69233,Residential District 01
student_70026,Residential District 01
student_54456,Residential District 01
student_11540,Residential District 01
student_23953,Residential District 01
student_70094,Residential District 01
student_66973,Residential District 01
student_26495,Residential District 01
student_34301,Residential District 01
student_27810,Residential District 01
student_32369,Residential District 01
student_13501,Residential District 01
student_4382,Residential District 01
student_64201,Residential District 01
student_14255,Residential District 01
student_7608,Residential District 01
student_38115,Residential District 01
student_69855,Residential District 01
student_36831,Residential District 01
student_21807,Residential District 01
student_21284,Residential District 01
student_57705,Residential District 01
student_21647,Residential District 01
student_53534,Residential District 01
student_5237,Residential District 01
student_52931,Residential District 01
student_44271,Residential District 01
student_64177,Residential District 01
student_62451,Residential District 01
student_54107,Residential District 01
student_22852,Residential District 01
student_8140,Residential District 01
student_44303,Residential District 01
student_67331,Residential District 01
student_69762,Residential District 01
student_11715,Residential District 01
student_56893,Residential District 01
student_67913,Residential District 01
student_8710,Residential District 01
student_12630,Residential District 01
student_24230,Residential District 01
student_45135,Residential District 01
student_8164,Residential District 01
student_50232,Residential District 01
student_53516,Residential District 01
student_17356,Residential District 01
student_60589,Residential District 01
student_5031,Residential District 01
student_19921,Residential District 01
student_36096,Residential District 01
student_67611,Residential District 01
student_12176,Residential District 01
student_33661,Residential District 01
student_29558,Residential District 01
student_65961,Residential District 01
student_26671,Residential District 01
student_60269,Residential District 01
student_37947,Residential District 01
student_16918,Residential District 01
student_49483,Residential District 01
student_37696,Residential District 01
student_46461,Residential District 01
student_57158,Residential District 01
student_27649,Residential District 01
student_55062,Residential District 01
student_5468,Residential District 02
student_37450,Residential District 02
student_67464,Residential District 02
student_61858,Residential District 02
student_10171,Residential District 02
student_5303,Residential District 02
student_56330,Residential District 02
student_51202,Residential District 02
student_52834,Residential District 02
student_62868,Residential District 02
student_54192,Residential District 02
student_37034,Residential District 02
student_37985,Residential District 02
student_38517,Residential District 02
student_25277,Residential District 02
student_62201,Residential District 02
student_21131,Residential District 02
student_59628,Residential District 02
student_33394,Residential District 02
student_70058,Residential District 02
student_67852,Residential District 02
student_17194,Residential District 02
student_62686,Residential District 02
student_9115,Residential District 02
student_56691,Residential District 02
student_49590,Residential District 02
student_2024,Residential District 02
student_28920,Residential District 02
student_44038,Residential District 02
student_52001,Residential District 02
student_9286,Residential District 02
student_32052,Residential District 02
student_47496,Residential District 02
student_22381,Residential District 02
student_53192,Residential District 02
student_497,Residential District 02
student_2056,Residential District 02
student_43564,Residential District 02
student_10368,Residential District 02
student_63035,Residential District 02
student_43349,Residential District 02
student_59437,Residential District 02
student_29488,Residential District 02
student_30462,Residential District 02
student_25591,Residential District 02
student_57388,Residential District 02
student_25910,Residential District 02
student_21172,Residential District 02
student_52694,Residential District 02
student_50425,Residential District 02
student_21435,Residential District 02
student_33533,Residential District 02
student_39146,Residential District 02
student_6600,Residential District 02
student_48795,Residential District 02
student_45419,Residential District 02
student_30204,Residential District 02
student_55220,Residential District 02
student_28127,Residential District 02
student_15847,Residential District 02
student_46587,Residential District 02
student_40682,Residential District 02
student_59292,Residential District 02
student_25392,Residential District 02
student_57122,Residential District 02
student_26317,Residential District 02
student_12499,Residential District 02
student_24836,Residential District 02
student_1466,Residential District 02
student_30929,Residential District 02
student_12720,Residential District 02
student_46741,Residential District 02
student_46731,Residential District 02
student_60594,Residential District 02
student_43049,Residential District 02
student_21722,Residential District 02
student_20315,Residential District 02
student_111,Residential District 02
student_7172,Residential District 02
student_65820,Residential District 02
student_41471,Residential District 02
student_48019,Residential District 02
student_27780,Residential District 02
student_36752,Residential District 02
student_3452,Residential District 02
student_30935,Residential District 02
student_11843,Residential District 02
student_55927,Residential District 02
student_33787,Residential District 02
student_44862,Residential District 02
student_11897,Residential District 02
student_22134,Residential District 02
student_28453,Residential District 02
student_33180,Residential District 02
student_55924,Residential District 02
student_52347,Residential District 02
student_57410,Residential District 02
student_43613,Residential District 02
student_36635,Residential District 02
student_16998,Residential District 02
student_17775,Residential District 02
student_6054,Residential District 02
student_70429,Residential District 02
student_31746,Residential District 02
student_43571,Residential District 02
student_38683,Residential District 02
student_4208,Residential District 02
student_22178,Residential District 02
student_51082,Residential District 02
student_69230,Residential District 02
student_21317,Residential District 02
student_4489,Residential District 02
student_56622,Residential District 02
student_50670,Residential District 02
student_14093,Residential District 02
student_20525,Residential District 02
student_63117,Residential District 02
student_59411,Residential District 02
student_4680,Residential District 02
student_1831,Residential District 02
student_59970,Residential District 02
student_67360,Residential District 02
student_14985,Residential District 02
student_2864,Residential District 02
student_67183,Residential District 02
student_8791,Residential District 02
student_39810,Residential District 02
student_7498,Residential District 02
student_31468,Residential District 02
student_14888,Residential District 02
student_43840,Residential District 02
student_54827,Residential District 02
student_45549,Residential District 02
student_1101,Residential District 02
student_23228,Residential District 02
student_6103,Residential District 02
student_19453,Residential District 02
student_11308,Residential District 02
student_56668,Residential District 02
student_3590,Residential District 02
student_9629,Residential District 02
student_19644,Residential District 02
student_32636,Residential District 02
student_60216,Residential District 02
student_57903,Residential District 02
student_24654,Residential District 02
student_35297,Residential District 02
student_1347,Residential District 02
student_8008,Residential District 02
student_49221,Residential District 02
student_6819,Residential District 02
student_21371,Residential District 02
student_2747,Residential District 02
student_4318,Residential District 02
student_60288,Residential District 02
student_68921,Residential District 02
student_10563,Residential District 02
student_68568,Residential District 02
student_49236,Residential District 02
student_18040,Residential District 02
student_49422,Residential District 02
student_58982,Residential District 02
student_63846,Residential District 02
student_26429,Residential District 02
student_7034,Residential District 02
student_24789,Residential District 02
student_65710,Residential District 02
student_4602,Residential District 02
student_7202,Residential District 02
student_21477,Residential District 02
student_33257,Residential District 02
student_24271,Residential District 02
student_28702,Residential District 02
student_15262,Residential District 02
student_39700,Residential District 02
student_1732,Residential District 02
student_15632,Residential District 02
student_39380,Residential District 02
student_57249,Residential District 02
student_13095,Residential District 02
student_62124,Residential District 02
student_37139,Residential District 02
student_62690,Residential District 02
student_12597,Residential District 02
student_20160,Residential District 02
student_37594,Residential District 02
student_29792,Residential District 02
student_8630,Residential District 02
student_48806,Residential District 02
student_52215,Residential District 02
student_46565,Residential District 02
student_57458,Residential District 02
student_36797,Residential District 02
student_38940,Residential District 02
student_50247,Residential District 02
student_4655,Residential District 02
student_53404,Residential District 02
student_70714,Residential District 02
student_35089,Residential District 02
student_38873,Residential District 02
student_52503,Residential District 02
student_36853,Residential District 02
student_66794,Residential District 02
student_61416,Residential District 02
student_56539,Residential District 02
student_15383,Residential District 02
student_67762,Residential District 02
student_41828,Residential District 02
student_58101,Residential District 02
student_69094,Residential District 02
student_25852,Residential District 02
student_44755,Residential District 02
student_4453,Residential District 02
student_39954,Residential District 02
student_14675,Residential District 02
student_31859,Residential District 02
student_65,Residential District 02
student_27546,Residential District 02
student_17342,Residential District 02
student_37166,Residential District 02
student_9723,Residential District 02
student_35232,Residential District 02
student_35099,Residential District 02
student_57040,Residential District 02
student_7469,Residential District 02
student_26099,Residential District 02
student_17995,Residential District 02
student_22075,Residential District 02
student_63695,Residential District 02
student_7641,Residential District 02
student_57979,Residential District 02
student_18015,Residential District 02
student_25091,Residential District 02
student_2738,Residential District 02
student_7719,Residential District 02
student_23886,Residential District 02
student_46319,Residential District 02
student_57814,Residential District 02
student_57510,Residential District 02
student_24831,Residential District 02
student_33790,Residential District 02
student_34474,Residential District 02
student_5998,Residential District 02
student_29415,Residential District 02
student_19163,Residential District 02
student_19588,Residential District 02
student_37776,Residential District 02
student_63991,Residential District 02
student_19408,Residential District 02
student_13062,Residential District 02
student_4445,Residential District 02
student_29644,Residential District 02
student_19961,Residential District 02
student_8184,Residential District 02
student_49109,Residential District 02
student_26219,Residential District 02
student_55161,Residential District 02
student_397,Residential District 02
student_61268,Residential District 02
student_43264,Residential District 02
student_47649,Residential District 02
student_31637,Residential District 02
student_14230,Residential District 02
student_43978,Residential District 02
student_7146,Residential District 02
student_31821,Residential District 02
student_27990,Residential District 02
student_45506,Residential District 02
student_15629,Residential District 02
student_8552,Residential District 02
student_46669,Residential District 02
student_43744,Residential District 02
student_70038,Residential District 02
student_67207,Residential District 02
student_51756,Residential District 02
student_58888,Residential District 02
student_15562,Residential District 02
student_26004,Residential District 02
student_35561,Residential District 02
student_50456,Residential District 02
student_66857,Residential District 02
student_1849,Residential District 02
student_7394,Residential District 02
student_41942,Residential District 02
student_23883,Residential District 02
student_6899,Residential District 02
student_33116,Residential District 02
student_43080,Residential District 02
student_43233,Residential District 02
student_5092,Residential District 02
student_23000,Residential District 02
student_12189,Residential District 02
student_26298,Residential District 02
student_9142,Residential District 02
student_36085,Residential District 02
student_68665,Residential District 02
student_51017,Residential District 02
student_2397,Residential District 02
student_28757,Residential District 02
student_40095,Residential District 02
student_25964,Residential District 02
student_68430,Residential District 02
student_33115,Residential District 02
student_36077,Residential District 02
student_52338,Residential District 02
student_46973,Residential District 02
student_43292,Residential District 02
student_34804,Residential District 02
student_58759,Residential District 02
student_57397,Residential District 02
student_18658,Residential District 02
student_28475,Residential District 02
student_66436,Residential District 02
student_70577,Residential District 02
student_15878,Residential District 02
student_19264,Residential District 02
student_20914,Residential District 02
student_15824,Residential District 02
student_51481,Residential District 02
student_10666,Residential District 02
student_35913,Residential District 02
student_10018,Residential District 02
student_16423,Residential District 02
student_68057,Residential District 02
student_49626,Residential District 02
student_35821,Residential District 02
student_43310,Residential District 02
student_17642,Residential District 02
student_26502,Residential District 02
student_28211,Residential District 02
student_43160,Residential District 02
student_42803,Residential District 02
student_43126,Residential District 02
student_36806,Residential District 02
student_66183,Residential District 02
student_58603,Residential District 02
student_41458,Residential District 02
student_67054,Residential District 02
student_51206,Residential District 02
student_8966,Residential District 02
student_10704,Residential District 02
student_38509,Residential District 02
student_29146,Residential District 02
student_59091,Residential District 02
student_63848,Residential District 02
student_55752,Residential District 02
student_8337,Residential District 02
student_17227,Residential District 02
student_22817,Residential District 02
student_40779,Residential District 02
student_43611,Residential District 02
student_5828,Residential District 02
student_42239,Residential District 02
student_27785,Residential District 02
student_40331,Residential District 02
student_13764,Residential District 02
student_15966,Residential District 02
student_7417,Residential District 02
student_16584,Residential District 02
student_6729,Residential District 02
student_69391,Residential District 02
student_58668,Residential District 02
student_27464,Residential District 02
student_35983,Residential District 02
student_33124,Residential District 02
student_6676,Residential District 02
student_2127,Residential District 02
student_35103,Residential District 02
student_48867,Residential District 02
student_42115,Residential District 02
student_56122,Residential District 02
student_26251,Residential District 02
student_43773,Residential District 02
student_49573,Residential District 02
student_28138,Residential District 02
student_20830,Residential District 02
student_926,Residential District 02
student_8809,Residential District 02
student_24965,Residential District 02
student_35554,Residential District 02
student_40655,Residential District 02
student_17443,Residential District 02
student_14722,Residential District 02
student_15826,Residential District 02
student_2255,Residential District 02
student_33943,Residential District 02
student_26232,Residential District 02
student_25150,Residential District 02
student_48223,Residential District 02
student_37958,Residential District 02
student_2161,Residential District 02
student_55628,Residential District 02
student_47683,Residential District 02
student_34832,Residential District 02
student_9178,Residential District 02
student_34547,Residential District 02
student_63087,Residential District 02
student_4429,Residential District 02
student_43658,Residential District 02
student_64656,Residential District 02
student_8390,Residential District 02
student_65058,Residential District 02
student_22220,Residential District 02
student_62286,Residential District 02
student_47435,Residential District 02
student_48289,Residential District 02
student_49729,Residential District 02
student_4460,Residential District 02
student_16388,Residential District 02
student_70632,Residential District 02
student_9650,Residential District 02
student_36840,Residential District 02
student_19096,Residential District 02
student_57611,Residential District 02
student_15797,Residential District 02
student_28752,Residential District 02
student_21610,Residential District 02
student_12135,Residential District 02
student_16643,Residential District 02
student_12972,Residential District 02
student_66706,Residential District 02
student_33746,Residential District 02
student_27608,Residential District 02
student_67612,Residential District 02
student_21613,Residential District 02
student_31611,Residential District 02
student_10239,Residential District 02
student_33726,Residential District 02
student_27521,Residential District 02
student_33059,Residential District 02
student_61986,Residential District 02
student_22743,Residential District 02
student_54546,Residential District 02
student_13343,Residential District 02
student_53077,Residential District 02
student_21880,Residential District 02
student_11580,Residential District 02
student_64977,Residential District 02
student_12003,Residential District 02
student_69352,Residential District 02
student_27103,Residential District 02
student_6758,Residential District 02
student_29311,Residential District 02
student_15016,Residential District 02
student_21659,Residential District 02
student_15681,Residential District 02
student_25638,Residential District 02
student_37763,Residential District 02
student_75,Residential District 02
student_64641,Residential District 02
student_57161,Residential District 02
student_64569,Residential District 02
student_57507,Residential District 02
student_18314,Residential District 02
student_27000,Residential District 02
student_15390,Residential District 02
student_66117,Residential District 02
student_9353,Residential District 02
student_41918,Residential District 02
student_3207,Residential District 02
student_48678,Residential District 02
student_22819,Residential District 02
student_32078,Residential District 02
student_9213,Residential District 02
student_13174,Residential District 02
student_38288,Residential District 02
student_2941,Residential District 02
student_21543,Residential District 02
student_70153,Residential District 02
student_23849,Residential District 02
student_23462,Residential District 02
student_26775,Residential District 02
student_69796,Residential District 02
student_18217,Residential District 02
student_48380,Residential District 02
student_4289,Residential District 02
student_16383,Residential District 02
student_58611,Residential District 02
student_41150,Residential District 02
student_38910,Residential District 02
student_49057,Residential District 02
student_5761,Residential District 02
student_59747,Residential District 02
student_30268,Residential District 02
student_33626,Residential District 02
student_67567,Residential District 02
student_32127,Residential District 02
student_61391,Residential District 02
student_32101,Residential District 02
student_9461,Residential District 02
student_19827,Residential District 02
student_17542,Residential District 02
student_23746,Residential District 02
student_32552,Residential District 02
student_9067,Residential District 02
student_51686,Residential District 02
student_32740,Residential District 02
student_25798,Residential District 02
student_18323,Residential District 02
student_3817,Residential District 02
student_63456,Residential District 02
student_43999,Residential District 02
student_41996,Residential District 02
student_40585,Residential District 02
student_6640,Residential District 02
student_48684,Residential District 02
student_68290,Residential District 02
student_25576,Residential District 02
student_30135,Residential District 02
student_1010,Residential District 02
student_785,Residential District 02
student_54177,Residential District 02
student_49321,Residential District 02
student_30419,Residential District 02
student_53575,Residential District 02
student_36599,Residential District 02
student_69912,Residential District 02
student_49966,Residential District 02
student_45851,Residential District 02
student_31517,Residential District 02
student_37103,Residential District 02
student_9893,Residential District 02
student_13452,Residential District 02
student_1002,Residential District 02
student_18236,Residential District 02
student_32723,Residential District 02
student_56701,Residential District 02
student_13230,Residential District 02
student_61913,Residential District 02
student_7148,Residential District 02
student_56090,Residential District 02
student_68071,Residential District 02
student_70934,Residential District 02
student_40770,Residential District 02
student_56331,Residential District 02
student_29823,Residential District 02
student_34575,Residential District 02
student_18305,Residential District 02
student_5627,Residential District 02
student_50083,Residential District 02
student_66374,Residential District 02
student_62641,Residential District 02
student_69314,Residential District 02
student_4583,Residential District 02
student_41080,Residential District 02
student_46467,Residential District 02
student_25495,Residential District 02
student_30026,Residential District 02
student_27563,Residential District 02
student_4014,Residential District 02
student_69297,Residential District 02
student_12651,Residential District 02
student_19996,Residential District 02
student_34867,Residential District 02
student_28399,Residential District 02
student_54187,Residential District 02
student_51565,Residential District 02
student_37134,Residential District 02
student_20631,Residential District 02
student_15069,Residential District 02
student_56645,Residential District 02
student_2839,Residential District 02
student_33755,Residential District 02
student_39844,Residential District 02
student_64911,Residential District 02
student_7153,Residential District 02
student_44942,Residential District 02
student_61928,Residential District 02
student_13321,Residential District 02
student_55624,Residential District 02
student_67705,Residential District 02
student_38048,Residential District 02
student_66833,Residential District 02
