,School District,School DBN,School Name,Category,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 Offers,Grade 9 Seats Available - Notes
74634,14,14K610,A-Tech High School,Residential District 11,,10,s,
74635,14,14K610,A-Tech High School,Residential District 12,,s,s,
74636,14,14K610,A-Tech High School,Residential District 13,,50,7,
74637,14,14K610,A-Tech High School,Residential District 14,,78,26,
74638,14,14K610,A-Tech High School,Residential District 15,,28,s,
74639,14,14K610,A-Tech High School,Residential District 16,,52,7,
74640,14,14K610,A-Tech High School,Residential District 17,,82,26,
74641,14,14K610,A-Tech High School,Residential District 18,,68,8,
74642,14,14K610,A-Tech High School,Residential District 19,,108,18,
74643,14,14K610,A-Tech High School,Residential District 20,,11,s,
74644,14,14K610,A-Tech High School,Residential District 21,,9,s,
74645,14,14K610,A-Tech High School,Residential District 22,,41,9,
74646,14,14K610,A-Tech High School,Residential District 23,,85,23,
74647,14,14K610,A-Tech High School,Residential District 24,,71,15,
74648,14,14K610,A-Tech High School,Residential District 25,,s,s,
74649,14,14K610,A-Tech High School,Residential District 26,,s,s,
74650,14,14K610,A-Tech High School,Residential District 27,,34,7,
74651,14,14K610,A-Tech High School,Residential District 28,,11,s,
74652,14,14K610,A-Tech High School,Residential District 29,,14,s,
74653,14,14K610,A-Tech High School,Residential District 30,,40,9,
74654,14,14K610,A-Tech High School,Residential District 31,,10,s,
74655,14,14K610,A-Tech High School,Residential District 32,,55,6,
74656,14,14K610,A-Tech High School,Residential District Unknown,,s,s,
56578,6,06M540,A. Philip Randolph Campus High School,Residential District 01,,8,s,
56579,6,06M540,A. Philip Randolph Campus High School,Residential District 02,,23,8,
56580,6,06M540,A. Philip Randolph Campus High School,Residential District 03,,80,9,
56581,6,06M540,A. Philip Randolph Campus High School,Residential District 04,,87,23,
56582,6,06M540,A. Philip Randolph Campus High School,Residential District 05,,219,56,
56583,6,06M540,A. Philip Randolph Campus High School,Residential District 06,,197,43,
56584,6,06M540,A. Philip Randolph Campus High School,Residential District 07,,102,18,
56585,6,06M540,A. Philip Randolph Campus High School,Residential District 08,,74,20,
56586,6,06M540,A. Philip Randolph Campus High School,Residential District 09,,170,33,
56587,6,06M540,A. Philip Randolph Campus High School,Residential District 10,,161,42,
56588,6,06M540,A. Philip Randolph Campus High School,Residential District 11,,120,24,
56589,6,06M540,A. Philip Randolph Campus High School,Residential District 12,,73,9,
56590,6,06M540,A. Philip Randolph Campus High School,Residential District 13,,s,s,
56591,6,06M540,A. Philip Randolph Campus High School,Residential District 14,,s,s,
56592,6,06M540,A. Philip Randolph Campus High School,Residential District 15,,s,s,
56593,6,06M540,A. Philip Randolph Campus High School,Residential District 16,,6,s,
56594,6,06M540,A. Philip Randolph Campus High School,Residential District 17,,11,s,
56595,6,06M540,A. Philip Randolph Campus High School,Residential District 18,,14,s,
56596,6,06M540,A. Philip Randolph Campus High School,Residential District 19,,22,s,
56597,6,06M540,A. Philip Randolph Campus High School,Residential District 20,,s,s,
56598,6,06M540,A. Philip Randolph Campus High School,Residential District 21,,s,s,
56599,6,06M540,A. Philip Randolph Campus High School,Residential District 22,,11,s,
56600,6,06M540,A. Philip Randolph Campus High School,Residential District 23,,13,s,
56601,6,06M540,A. Philip Randolph Campus High School,Residential District 24,,23,s,
56602,6,06M540,A. Philip Randolph Campus High School,Residential District 25,,s,s,
56603,6,06M540,A. Philip Randolph Campus High School,Residential District 27,,16,s,
56604,6,06M540,A. Philip Randolph Campus High School,Residential District 28,,12,s,
56605,6,06M540,A. Philip Randolph Campus High School,Residential District 29,,7,s,
56606,6,06M540,A. Philip Randolph Campus High School,Residential District 30,,27,7,
56607,6,06M540,A. Philip Randolph Campus High School,Residential District 31,,s,s,
56608,6,06M540,A. Philip Randolph Campus High School,Residential District 32,,6,s,
56609,6,06M540,A. Philip Randolph Campus High School,Residential District Unknown,,s,s,
86585,21,21K410,Abraham Lincoln High School,Residential District 01,,s,s,
86586,21,21K410,Abraham Lincoln High School,Residential District 03,,s,s,
86587,21,21K410,Abraham Lincoln High School,Residential District 04,,s,s,
86588,21,21K410,Abraham Lincoln High School,Residential District 07,,s,s,
86589,21,21K410,Abraham Lincoln High School,Residential District 08,,s,s,
86590,21,21K410,Abraham Lincoln High School,Residential District 09,,s,s,
86591,21,21K410,Abraham Lincoln High School,Residential District 11,,s,s,
86592,21,21K410,Abraham Lincoln High School,Residential District 12,,s,s,
86593,21,21K410,Abraham Lincoln High School,Residential District 13,,43,10,
86594,21,21K410,Abraham Lincoln High School,Residential District 14,,16,s,
86595,21,21K410,Abraham Lincoln High School,Residential District 15,,122,27,
86596,21,21K410,Abraham Lincoln High School,Residential District 16,,36,8,
86597,21,21K410,Abraham Lincoln High School,Residential District 17,,183,35,
86598,21,21K410,Abraham Lincoln High School,Residential District 18,,190,76,
86599,21,21K410,Abraham Lincoln High School,Residential District 19,,158,29,
86600,21,21K410,Abraham Lincoln High School,Residential District 20,,184,51,
86601,21,21K410,Abraham Lincoln High School,Residential District 21,,432,213,
86602,21,21K410,Abraham Lincoln High School,Residential District 22,,502,153,
86603,21,21K410,Abraham Lincoln High School,Residential District 23,,79,21,
86604,21,21K410,Abraham Lincoln High School,Residential District 24,,s,s,
86605,21,21K410,Abraham Lincoln High School,Residential District 25,,s,s,
86606,21,21K410,Abraham Lincoln High School,Residential District 27,,13,s,
86607,21,21K410,Abraham Lincoln High School,Residential District 28,,s,s,
86608,21,21K410,Abraham Lincoln High School,Residential District 29,,s,s,
86609,21,21K410,Abraham Lincoln High School,Residential District 30,,s,s,
86610,21,21K410,Abraham Lincoln High School,Residential District 31,,s,s,
86611,21,21K410,Abraham Lincoln High School,Residential District 32,,21,s,
86612,21,21K410,Abraham Lincoln High School,Residential District Unknown,,8,s,
103710,30,30Q301,Academy for Careers in Television and Film,Residential District 01,,11,s,
103711,30,30Q301,Academy for Careers in Television and Film,Residential District 02,,40,s,
103712,30,30Q301,Academy for Careers in Television and Film,Residential District 03,,20,s,
103713,30,30Q301,Academy for Careers in Television and Film,Residential District 04,,11,s,
103714,30,30Q301,Academy for Careers in Television and Film,Residential District 05,,6,s,
103715,30,30Q301,Academy for Careers in Television and Film,Residential District 06,,7,s,
103716,30,30Q301,Academy for Careers in Television and Film,Residential District 07,,13,s,
103717,30,30Q301,Academy for Careers in Television and Film,Residential District 08,,6,s,
103718,30,30Q301,Academy for Careers in Television and Film,Residential District 09,,24,s,
103719,30,30Q301,Academy for Careers in Television and Film,Residential District 10,,16,s,
103720,30,30Q301,Academy for Careers in Television and Film,Residential District 11,,9,s,
103721,30,30Q301,Academy for Careers in Television and Film,Residential District 12,,6,s,
103722,30,30Q301,Academy for Careers in Television and Film,Residential District 13,,22,s,
103723,30,30Q301,Academy for Careers in Television and Film,Residential District 14,,80,8,
103724,30,30Q301,Academy for Careers in Television and Film,Residential District 15,,39,s,
103725,30,30Q301,Academy for Careers in Television and Film,Residential District 16,,15,s,
103726,30,30Q301,Academy for Careers in Television and Film,Residential District 17,,22,s,
103727,30,30Q301,Academy for Careers in Television and Film,Residential District 18,,s,s,
103728,30,30Q301,Academy for Careers in Television and Film,Residential District 19,,24,s,
103729,30,30Q301,Academy for Careers in Television and Film,Residential District 20,,7,s,
103730,30,30Q301,Academy for Careers in Television and Film,Residential District 21,,s,s,
103731,30,30Q301,Academy for Careers in Television and Film,Residential District 22,,15,s,
103732,30,30Q301,Academy for Careers in Television and Film,Residential District 23,,11,s,
103733,30,30Q301,Academy for Careers in Television and Film,Residential District 24,,329,38,
103734,30,30Q301,Academy for Careers in Television and Film,Residential District 25,,34,s,
103735,30,30Q301,Academy for Careers in Television and Film,Residential District 26,,10,s,
103736,30,30Q301,Academy for Careers in Television and Film,Residential District 27,,57,7,
103737,30,30Q301,Academy for Careers in Television and Film,Residential District 28,,46,8,
103738,30,30Q301,Academy for Careers in Television and Film,Residential District 29,,51,6,
103739,30,30Q301,Academy for Careers in Television and Film,Residential District 30,,427,61,
103740,30,30Q301,Academy for Careers in Television and Film,Residential District 31,,s,s,
103741,30,30Q301,Academy for Careers in Television and Film,Residential District 32,,13,s,
103742,30,30Q301,Academy for Careers in Television and Film,Residential District Unknown,,6,s,
78690,17,17K382,Academy for College Preparation and Career Explora,Residential District 02,,s,s,
78691,17,17K382,Academy for College Preparation and Career Explora,Residential District 03,,s,s,
78692,17,17K382,Academy for College Preparation and Career Explora,Residential District 04,,s,s,
78693,17,17K382,Academy for College Preparation and Career Explora,Residential District 05,,s,s,
78694,17,17K382,Academy for College Preparation and Career Explora,Residential District 06,,s,s,
78695,17,17K382,Academy for College Preparation and Career Explora,Residential District 07,,7,s,
78696,17,17K382,Academy for College Preparation and Career Explora,Residential District 08,,s,s,
78697,17,17K382,Academy for College Preparation and Career Explora,Residential District 09,,6,s,
78698,17,17K382,Academy for College Preparation and Career Explora,Residential District 10,,s,s,
78699,17,17K382,Academy for College Preparation and Career Explora,Residential District 11,,15,s,
78700,17,17K382,Academy for College Preparation and Career Explora,Residential District 12,,6,s,
78701,17,17K382,Academy for College Preparation and Career Explora,Residential District 13,,11,s,
78702,17,17K382,Academy for College Preparation and Career Explora,Residential District 14,,s,s,
78703,17,17K382,Academy for College Preparation and Career Explora,Residential District 15,,14,s,
78704,17,17K382,Academy for College Preparation and Career Explora,Residential District 16,,7,s,
78705,17,17K382,Academy for College Preparation and Career Explora,Residential District 17,,95,31,
78706,17,17K382,Academy for College Preparation and Career Explora,Residential District 18,,40,s,
78707,17,17K382,Academy for College Preparation and Career Explora,Residential District 19,,21,s,
78708,17,17K382,Academy for College Preparation and Career Explora,Residential District 20,,14,s,
78709,17,17K382,Academy for College Preparation and Career Explora,Residential District 21,,10,s,
78710,17,17K382,Academy for College Preparation and Career Explora,Residential District 22,,83,15,
78711,17,17K382,Academy for College Preparation and Career Explora,Residential District 23,,21,s,
78712,17,17K382,Academy for College Preparation and Career Explora,Residential District 24,,7,s,
78713,17,17K382,Academy for College Preparation and Career Explora,Residential District 25,,s,s,
78714,17,17K382,Academy for College Preparation and Career Explora,Residential District 26,,s,s,
78715,17,17K382,Academy for College Preparation and Career Explora,Residential District 27,,11,s,
78716,17,17K382,Academy for College Preparation and Career Explora,Residential District 28,,s,s,
78717,17,17K382,Academy for College Preparation and Career Explora,Residential District 29,,s,s,
78718,17,17K382,Academy for College Preparation and Career Explora,Residential District 30,,s,s,
78719,17,17K382,Academy for College Preparation and Career Explora,Residential District 31,,s,s,
78720,17,17K382,Academy for College Preparation and Career Explora,Residential District 32,,7,s,
78721,17,17K382,Academy for College Preparation and Career Explora,Residential District Unknown,,s,s,
81474,18,18K637,Academy for Conservation and the Environment,Residential District 02,,s,s,
81475,18,18K637,Academy for Conservation and the Environment,Residential District 03,,s,s,
81476,18,18K637,Academy for Conservation and the Environment,Residential District 04,,s,s,
81477,18,18K637,Academy for Conservation and the Environment,Residential District 05,,s,s,
81478,18,18K637,Academy for Conservation and the Environment,Residential District 07,,s,s,
81479,18,18K637,Academy for Conservation and the Environment,Residential District 08,,s,s,
81480,18,18K637,Academy for Conservation and the Environment,Residential District 09,,s,s,
81481,18,18K637,Academy for Conservation and the Environment,Residential District 10,,s,s,
81482,18,18K637,Academy for Conservation and the Environment,Residential District 11,,s,s,
81483,18,18K637,Academy for Conservation and the Environment,Residential District 12,,s,s,
81484,18,18K637,Academy for Conservation and the Environment,Residential District 13,,8,s,
81485,18,18K637,Academy for Conservation and the Environment,Residential District 14,,6,s,
81486,18,18K637,Academy for Conservation and the Environment,Residential District 15,,7,s,
81487,18,18K637,Academy for Conservation and the Environment,Residential District 16,,s,s,
81488,18,18K637,Academy for Conservation and the Environment,Residential District 17,,52,s,
81489,18,18K637,Academy for Conservation and the Environment,Residential District 18,,147,54,
81490,18,18K637,Academy for Conservation and the Environment,Residential District 19,,95,9,
81491,18,18K637,Academy for Conservation and the Environment,Residential District 20,,11,s,
81492,18,18K637,Academy for Conservation and the Environment,Residential District 21,,21,9,
81493,18,18K637,Academy for Conservation and the Environment,Residential District 22,,121,108,
81494,18,18K637,Academy for Conservation and the Environment,Residential District 23,,63,s,
81495,18,18K637,Academy for Conservation and the Environment,Residential District 24,,s,s,
81496,18,18K637,Academy for Conservation and the Environment,Residential District 25,,s,s,
81497,18,18K637,Academy for Conservation and the Environment,Residential District 27,,13,s,
81498,18,18K637,Academy for Conservation and the Environment,Residential District 28,,s,s,
81499,18,18K637,Academy for Conservation and the Environment,Residential District 29,,s,s,
81500,18,18K637,Academy for Conservation and the Environment,Residential District 30,,8,s,
81501,18,18K637,Academy for Conservation and the Environment,Residential District 32,,18,s,
81502,18,18K637,Academy for Conservation and the Environment,Residential District Unknown,,s,s,
107459,32,32K403,Academy for Excellence in Leadership,Residential District 01,,s,s,
107460,32,32K403,Academy for Excellence in Leadership,Residential District 02,,s,s,
107461,32,32K403,Academy for Excellence in Leadership,Residential District 04,,s,s,
107462,32,32K403,Academy for Excellence in Leadership,Residential District 06,,s,s,
107463,32,32K403,Academy for Excellence in Leadership,Residential District 07,,s,s,
107464,32,32K403,Academy for Excellence in Leadership,Residential District 08,,s,s,
107465,32,32K403,Academy for Excellence in Leadership,Residential District 09,,s,s,
107466,32,32K403,Academy for Excellence in Leadership,Residential District 10,,6,s,
107467,32,32K403,Academy for Excellence in Leadership,Residential District 11,,8,s,
107468,32,32K403,Academy for Excellence in Leadership,Residential District 12,,s,s,
107469,32,32K403,Academy for Excellence in Leadership,Residential District 13,,7,s,
107470,32,32K403,Academy for Excellence in Leadership,Residential District 14,,16,s,
107471,32,32K403,Academy for Excellence in Leadership,Residential District 16,,33,s,
107472,32,32K403,Academy for Excellence in Leadership,Residential District 17,,14,s,
107473,32,32K403,Academy for Excellence in Leadership,Residential District 18,,14,s,
107474,32,32K403,Academy for Excellence in Leadership,Residential District 19,,64,6,
107475,32,32K403,Academy for Excellence in Leadership,Residential District 20,,s,s,
107476,32,32K403,Academy for Excellence in Leadership,Residential District 21,,s,s,
107477,32,32K403,Academy for Excellence in Leadership,Residential District 22,,9,s,
107478,32,32K403,Academy for Excellence in Leadership,Residential District 23,,41,s,
107479,32,32K403,Academy for Excellence in Leadership,Residential District 24,,118,18,
107480,32,32K403,Academy for Excellence in Leadership,Residential District 25,,s,s,
107481,32,32K403,Academy for Excellence in Leadership,Residential District 26,,s,s,
107482,32,32K403,Academy for Excellence in Leadership,Residential District 27,,13,s,
107483,32,32K403,Academy for Excellence in Leadership,Residential District 28,,6,s,
107484,32,32K403,Academy for Excellence in Leadership,Residential District 29,,s,s,
107485,32,32K403,Academy for Excellence in Leadership,Residential District 30,,s,s,
107486,32,32K403,Academy for Excellence in Leadership,Residential District 32,,204,31,
107487,32,32K403,Academy for Excellence in Leadership,Residential District Unknown,,s,s,
80416,17,17K751,Academy for Health Careers,Residential District 01,,s,s,
80417,17,17K751,Academy for Health Careers,Residential District 02,,s,s,
80418,17,17K751,Academy for Health Careers,Residential District 03,,s,s,
80419,17,17K751,Academy for Health Careers,Residential District 04,,s,s,
80420,17,17K751,Academy for Health Careers,Residential District 05,,s,s,
80421,17,17K751,Academy for Health Careers,Residential District 06,,s,s,
80422,17,17K751,Academy for Health Careers,Residential District 07,,s,s,
80423,17,17K751,Academy for Health Careers,Residential District 08,,6,s,
80424,17,17K751,Academy for Health Careers,Residential District 09,,s,s,
80425,17,17K751,Academy for Health Careers,Residential District 10,,7,s,
80426,17,17K751,Academy for Health Careers,Residential District 11,,8,s,
80427,17,17K751,Academy for Health Careers,Residential District 12,,s,s,
80428,17,17K751,Academy for Health Careers,Residential District 13,,23,11,
80429,17,17K751,Academy for Health Careers,Residential District 14,,15,s,
80430,17,17K751,Academy for Health Careers,Residential District 15,,9,s,
80431,17,17K751,Academy for Health Careers,Residential District 16,,43,17,
80432,17,17K751,Academy for Health Careers,Residential District 17,,88,27,
80433,17,17K751,Academy for Health Careers,Residential District 18,,63,10,
80434,17,17K751,Academy for Health Careers,Residential District 19,,88,6,
80435,17,17K751,Academy for Health Careers,Residential District 20,,13,s,
80436,17,17K751,Academy for Health Careers,Residential District 21,,s,s,
80437,17,17K751,Academy for Health Careers,Residential District 22,,48,s,
80438,17,17K751,Academy for Health Careers,Residential District 23,,70,6,
80439,17,17K751,Academy for Health Careers,Residential District 24,,19,s,
80440,17,17K751,Academy for Health Careers,Residential District 25,,s,s,
80441,17,17K751,Academy for Health Careers,Residential District 27,,22,s,
80442,17,17K751,Academy for Health Careers,Residential District 28,,9,s,
80443,17,17K751,Academy for Health Careers,Residential District 29,,8,s,
80444,17,17K751,Academy for Health Careers,Residential District 30,,6,s,
80445,17,17K751,Academy for Health Careers,Residential District 31,,6,s,
80446,17,17K751,Academy for Health Careers,Residential District 32,,29,s,
80447,17,17K751,Academy for Health Careers,Residential District Unknown,,s,s,
61491,9,09X365,Academy for Language and Technology,Residential District 04,,s,s,
61492,9,09X365,Academy for Language and Technology,Residential District 05,,7,s,
61493,9,09X365,Academy for Language and Technology,Residential District 06,,29,s,
61494,9,09X365,Academy for Language and Technology,Residential District 07,,33,s,
61495,9,09X365,Academy for Language and Technology,Residential District 08,,27,s,
61496,9,09X365,Academy for Language and Technology,Residential District 09,,225,21,
61497,9,09X365,Academy for Language and Technology,Residential District 10,,227,28,
61498,9,09X365,Academy for Language and Technology,Residential District 11,,40,s,
61499,9,09X365,Academy for Language and Technology,Residential District 12,,41,s,
61500,9,09X365,Academy for Language and Technology,Residential District 13,,s,s,
61501,9,09X365,Academy for Language and Technology,Residential District 17,,s,s,
61502,9,09X365,Academy for Language and Technology,Residential District 19,,s,s,
61503,9,09X365,Academy for Language and Technology,Residential District 24,,s,s,
61504,9,09X365,Academy for Language and Technology,Residential District 25,,s,s,
61505,9,09X365,Academy for Language and Technology,Residential District 27,,s,s,
61506,9,09X365,Academy for Language and Technology,Residential District 30,,s,s,
61507,9,09X365,Academy for Language and Technology,Residential District 32,,s,s,
61508,9,09X365,Academy for Language and Technology,Residential District Unknown,,s,s,
66923,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 01,,s,s,
66924,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 03,,s,s,
66925,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 04,,s,s,
66926,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 05,,7,s,
66927,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 06,,6,s,
66928,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 07,,28,s,
66929,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 08,,55,s,
66930,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 09,,76,7,
66931,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 10,,82,11,
66932,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 11,,403,87,
66933,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 12,,45,7,
66934,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 13,,s,s,
66935,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 14,,s,s,
66936,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 15,,s,s,
66937,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 17,,s,s,
66938,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 18,,s,s,
66939,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 19,,s,s,
66940,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 20,,s,s,
66941,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 22,,s,s,
66942,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 23,,s,s,
66943,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 24,,s,s,
66944,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 27,,6,s,
66945,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 28,,s,s,
66946,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 29,,s,s,
66947,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 30,,s,s,
66948,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 31,,s,s,
66949,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District 32,,s,s,
66950,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,Residential District Unknown,,s,s,
46782,2,02M546,Academy for Software Engineering,Residential District 01,,108,9,
46783,2,02M546,Academy for Software Engineering,Residential District 02,,238,10,
46784,2,02M546,Academy for Software Engineering,Residential District 03,,84,s,
46785,2,02M546,Academy for Software Engineering,Residential District 04,,107,s,
46786,2,02M546,Academy for Software Engineering,Residential District 05,,89,s,
46787,2,02M546,Academy for Software Engineering,Residential District 06,,153,13,
46788,2,02M546,Academy for Software Engineering,Residential District 07,,105,11,
46789,2,02M546,Academy for Software Engineering,Residential District 08,,110,7,
46790,2,02M546,Academy for Software Engineering,Residential District 09,,145,14,
46791,2,02M546,Academy for Software Engineering,Residential District 10,,169,12,
46792,2,02M546,Academy for Software Engineering,Residential District 11,,155,12,
46793,2,02M546,Academy for Software Engineering,Residential District 12,,91,6,
46794,2,02M546,Academy for Software Engineering,Residential District 13,,50,s,
46795,2,02M546,Academy for Software Engineering,Residential District 14,,38,s,
46796,2,02M546,Academy for Software Engineering,Residential District 15,,66,7,
46797,2,02M546,Academy for Software Engineering,Residential District 16,,23,s,
46798,2,02M546,Academy for Software Engineering,Residential District 17,,50,s,
46799,2,02M546,Academy for Software Engineering,Residential District 18,,39,s,
46800,2,02M546,Academy for Software Engineering,Residential District 19,,76,s,
46801,2,02M546,Academy for Software Engineering,Residential District 20,,31,s,
46802,2,02M546,Academy for Software Engineering,Residential District 21,,35,s,
46803,2,02M546,Academy for Software Engineering,Residential District 22,,47,s,
46804,2,02M546,Academy for Software Engineering,Residential District 23,,42,s,
46805,2,02M546,Academy for Software Engineering,Residential District 24,,150,7,
46806,2,02M546,Academy for Software Engineering,Residential District 25,,14,s,
46807,2,02M546,Academy for Software Engineering,Residential District 26,,s,s,
46808,2,02M546,Academy for Software Engineering,Residential District 27,,57,s,
46809,2,02M546,Academy for Software Engineering,Residential District 28,,36,s,
46810,2,02M546,Academy for Software Engineering,Residential District 29,,20,s,
46811,2,02M546,Academy for Software Engineering,Residential District 30,,204,7,
46812,2,02M546,Academy for Software Engineering,Residential District 31,,18,s,
46813,2,02M546,Academy for Software Engineering,Residential District 32,,63,s,
46814,2,02M546,Academy for Software Engineering,Residential District Unknown,,s^,s,
81844,19,19K404,Academy for Young Writers,Residential District 01,,s,s,
81845,19,19K404,Academy for Young Writers,Residential District 02,,s,s,
81846,19,19K404,Academy for Young Writers,Residential District 04,,s,s,
81847,19,19K404,Academy for Young Writers,Residential District 05,,s,s,
81848,19,19K404,Academy for Young Writers,Residential District 06,,s,s,
81849,19,19K404,Academy for Young Writers,Residential District 07,,s,s,
81850,19,19K404,Academy for Young Writers,Residential District 08,,6,s,
81851,19,19K404,Academy for Young Writers,Residential District 09,,6,s,
81852,19,19K404,Academy for Young Writers,Residential District 10,,s,s,
81853,19,19K404,Academy for Young Writers,Residential District 11,,6,s,
81854,19,19K404,Academy for Young Writers,Residential District 12,,s,s,
81855,19,19K404,Academy for Young Writers,Residential District 13,,8,s,
81856,19,19K404,Academy for Young Writers,Residential District 14,,9,s,
81857,19,19K404,Academy for Young Writers,Residential District 15,,s,s,
81858,19,19K404,Academy for Young Writers,Residential District 16,,15,s,
81859,19,19K404,Academy for Young Writers,Residential District 17,,22,s,
81860,19,19K404,Academy for Young Writers,Residential District 18,,49,16,
81861,19,19K404,Academy for Young Writers,Residential District 19,,317,73,
81862,19,19K404,Academy for Young Writers,Residential District 20,,s,s,
81863,19,19K404,Academy for Young Writers,Residential District 21,,s,s,
81864,19,19K404,Academy for Young Writers,Residential District 22,,16,s,
81865,19,19K404,Academy for Young Writers,Residential District 23,,61,7,
81866,19,19K404,Academy for Young Writers,Residential District 24,,13,s,
81867,19,19K404,Academy for Young Writers,Residential District 25,,s,s,
81868,19,19K404,Academy for Young Writers,Residential District 26,,s,s,
81869,19,19K404,Academy for Young Writers,Residential District 27,,30,s,
81870,19,19K404,Academy for Young Writers,Residential District 28,,7,s,
81871,19,19K404,Academy for Young Writers,Residential District 29,,11,s,
81872,19,19K404,Academy for Young Writers,Residential District 31,,s,s,
81873,19,19K404,Academy for Young Writers,Residential District 32,,8,s,
81874,19,19K404,Academy for Young Writers,Residential District Unknown,,s,s,
