Residential District,Total Applicants,# Matches to Choice 1-3,# Matches to Choice 1-5,# Matches to Choice 1-10,# Matches to Choice 1-12,# Matches to Any Choice (Incl. SHS & LGA),% Matches to Choice 1-3,% Matches to Choice 1-5,% Matches to Choice 1-10,% Matches to Choice 1-12,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 22,3064,3014,3034,3038,3038,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 23,1018,1009,1014,1017,1017,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 24,5038,4248,4781,4959,4959,# Matches to Any Choice (Incl. SHS & LGA),84%,95%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 25,2614,2454,2546,2553,2553,# Matches to Any Choice (Incl. SHS & LGA),94%,97%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 27,3736,3702,3724,3730,3730,# Matches to Any Choice (Incl. SHS & LGA),99%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 28,2805,2762,2777,2787,2787,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 29,2691,2678,2688,2690,2690,# Matches to Any Choice (Incl. SHS & LGA),100%,100%,100%,100%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 30,3110,2969,3016,3064,3064,# Matches to Any Choice (Incl. SHS & LGA),95%,97%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 31,4675,4531,4543,4543,4543,# Matches to Any Choice (Incl. SHS & LGA),97%,97%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 32,960,945,952,954,954,# Matches to Any Choice (Incl. SHS & LGA),98%,99%,99%,99%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District Unknown,203,190,197,197,197,# Matches to Any Choice (Incl. SHS & LGA),94%,97%,97%,97%,% Matches to Any Choice (Incl. SHS & LGA)
Residential District 26,1925,1887,1892,1892,1892,# Matches to Any Choice (Incl. SHS & LGA),98%,98%,98%,98%,% Matches to Any Choice (Incl. SHS & LGA)
Total,71349,62068,65526,67273,67301,# Matches to Any Choice (Incl. SHS & LGA),87%,92%,94%,94%,% Matches to Any Choice (Incl. SHS & LGA)
